self,children,object,symbol
26.51,79.97,python,_PyEval_EvalFrameDefault
3.67,9.08,python,gc_collect_main
2.91,2.97,python,unicodekeys_lookup_unicode
2.73,4.15,python,_PyObject_Malloc
2.14,2.32,libc-2.31.so,__nss_database_lookup
1.96,2.23,python,_PyObject_Free
1.67,3.75,python,_Py_dict_lookup
1.63,2.51,python,tupledealloc
1.55,1.62,python,visit_decref
1.53,1.85,python,_PyType_Lookup
1.42,2.28,python,sre_ucs1_match
1.32,2.55,python,_PyFrame_ClearExceptCode
1.09,1.12,python,visit_reachable
0.93,2.91,python,PyObject_GenericGetAttr
0.75,0.87,python,_PyPegen_is_memoized
0.7,1.03,python,initialize_locals
0.68,4.13,python,r_object
0.67,1.03,libc-2.31.so,pthread_attr_setschedparam
0.58,3.97,python,PyObject_RichCompareBool
0.56,0.62,python,tuple_alloc
0.55,0.96,python,_PyTuple_FromArraySteal
0.53,1.85,python,update_one_slot
0.51,3.71,python,PyObject_GetAttr
0.51,0.52,python,PyObject_GC_UnTrack
0.51,0.51,python,siphash13
0.5,0.88,python,_PyObject_GetInstanceAttribute
0.48,1.71,python,find_name_in_mro
0.46,0.6,python,_PyCode_Quicken
0.45,1.19,python,list_dealloc
0.44,1.34,python,PyDict_GetItemRef
0.41,0.42,python,_Py_NewReference
0.38,0.38,python,_PyTrash_end
0.37,0.98,python,_PyPegen_expect_token
0.37,0.81,python,_Py_hashtable_get_entry_generic
0.36,2.63,python,_PyEval_FrameClearAndPop
0.35,1.49,python,_PyEvalFramePushAndInit
0.33,0.99,python,dict_dealloc
0.32,0.92,python,dict_traverse
0.31,1.21,python,insertdict
0.31,0.68,python,PyObject_VisitManagedDict
0.31,0.31,python,_PyTrash_begin
0.31,0.31,python,PyObject_GC_Del
0.3,1.29,python,free_keys_object
0.3,0.52,python,_PyCfg_OptimizeCodeUnit
0.3,0.3,python,_PyUnicode_FromUCS1.part.0
0.29,0.8,python,type_ready
0.29,0.48,python,tok_get_normal_mode
0.29,0.34,python,_PyPegen_update_memo
0.28,1.24,python,_PyDict_GetItem_KnownHash
0.28,0.36,python,sre_ucs1_count
0.27,0.58,python,list_subscript
0.26,1.06,python,_PyObject_GenericSetAttrWithDict
0.26,0.58,python,gen_dealloc
0.25,0.85,python,_PyObject_GC_NewVar
0.25,0.61,python,code_dealloc
0.25,0.28,python,intern_string_constants
0.25,0.25,python,sre_ucs2_charset.isra.0
0.24,0.78,python,_PyObject_GetMethod
0.24,0.24,python,PySlice_AdjustIndices
0.23,1.75,python,_PyUnicode_InternInPlace
0.23,0.23,python,_Py_Dealloc
0.22,2.0,python,PyObject_GetItem
0.22,0.87,python,subtype_traverse
0.22,0.29,python,PyNumber_AsSsize_t
0.22,0.22,[kernel.kallsyms],native_irq_return_iret
0.21,2.38,python,tuplerichcompare
0.21,0.21,python,PyType_IsSubtype
0.21,0.21,python,_PyType_GetDict
0.2,0.91,python,_PyObject_GC_New
0.2,0.41,python,_PyDict_FromItems
0.2,0.36,python,_PyObject_Calloc
0.2,0.21,python,PyObject_IS_GC
0.2,0.2,python,_Py_GetBaseOpcode
0.19,0.58,python,PyType_GenericAlloc
0.19,0.48,ld-2.31.so,_dl_rtld_di_serinfo
0.19,0.26,[kernel.kallsyms],copy_user_enhanced_fast_string
0.19,0.19,libz.so.1.2.11,inflateBackEnd
0.19,0.19,python,PyUnicode_New.part.0
0.18,66.26,python,PyObject_Vectorcall
0.18,1.41,python,PyObject_SetAttr
0.18,0.4,python,list_traverse
0.18,0.37,python,PyTuple_New
0.18,0.37,python,_Py_type_getattro
0.18,0.33,python,_PyTuple_FromArray
0.18,0.23,python,tok_nextc
0.18,0.18,python,long_richcompare
0.17,2.27,python,term_rule
0.17,0.72,python,_PyObject_GenericGetAttrWithDict
0.17,0.27,python,_PyObject_Realloc
0.17,0.22,python,_PyBuildSlice_ConsumeRefs
0.17,0.18,python,set_lookkey
0.17,0.17,python,pattern_new_match.isra.0.part.0
0.17,0.17,[kernel.kallsyms],clear_page_erms
0.17,0.17,python,_PyObject_GC_Link
0.16,26.83,python,_PyObject_MakeTpCall
0.16,1.09,python,_PyEval_Vector
0.16,0.44,python,tupletraverse
0.16,0.16,[kernel.kallsyms],sync_regs
0.15,2.0,python,primary_rule
0.15,1.13,python,PyDict_SetDefault
0.15,0.63,python,_PyAssemble_MakeCodeObject
0.15,0.32,python,tuplesubscript
0.15,0.23,python,code_hash
0.15,0.19,python,ascii_decode
0.15,0.16,python,_PyThreadState_PopFrame
0.14,21.42,python,_PyObject_Call_Prepend
0.14,0.64,python,make_gen
0.14,0.36,python,_PyList_FromArraySteal
0.14,0.34,python,PyList_Append
0.14,0.24,[kernel.kallsyms],zap_pte_range.isra.0
0.14,0.2,python,_PyArena_Malloc
0.14,0.15,[kernel.kallsyms],__d_lookup_rcu
0.14,0.14,python,unicode_dealloc
0.14,0.14,python,PySequence_Contains
0.14,0.14,libc-2.31.so,malloc
0.14,0.14,python,PyObject_Hash
0.13,1.09,python,_PyPegen_fill_token
0.13,0.78,python,subtype_dealloc
0.13,0.76,python,PyObject_GetIter
0.13,0.39,python,PyObject_RichCompare
0.13,0.31,python,insert_to_emptydict
0.13,0.13,python,PyLong_AsSsize_t
0.12,1.53,python,PyObject_IsTrue
0.12,1.23,python,_PyCode_New
0.12,0.4,python,list_iter
0.12,0.26,python,_PyStack_UnpackDict
0.12,0.19,python,vgetargs1_impl
0.12,0.18,python,PyDict_SetItem
0.11,3.18,python,slot_tp_richcompare
0.11,2.14,python,list_richcompare
0.11,0.49,python,unicode_decode_utf8
0.11,0.11,python,PyErr_Occurred
0.11,0.11,python,PyDict_Next
0.11,0.11,python,convertitem.constprop.0
0.11,0.11,python,find_empty_slot
0.1,24.84,python,type_call
0.1,0.47,python,func_traverse
0.1,0.41,python,new_keys_object
0.1,0.2,python,_PyObject_StoreInstanceAttribute
0.1,0.16,python,_PyPegen_insert_memo
0.1,0.15,python,set_traverse
0.1,0.13,python,_PyThreadState_PushFrame
0.1,0.11,python,PyObject_Malloc
0.1,0.1,python,build_indices_unicode
0.1,0.1,[kernel.kallsyms],_raw_spin_lock
0.1,0.1,[kernel.kallsyms],rmqueue
0.1,0.1,python,slice_dealloc
0.1,0.1,python,_PyTrash_cond
0.1,0.1,python,PyMem_Calloc
0.09,1.25,[kernel.kallsyms],__handle_mm_fault
0.09,0.47,python,_PyObject_FreeInstanceAttributes
0.09,0.37,python,PyObject_CallFinalizerFromDealloc
0.09,0.27,python,PyFunction_NewWithQualName
0.09,0.18,python,_PyTuple_MaybeUntrack
0.09,0.11,python,PyUnicode_RichCompare
0.09,0.1,python,PyUnicode_Contains
0.09,0.09,python,PyUnicode_InternInPlace
0.08,2.83,python,inversion_rule
0.08,0.49,python,compiler_visit_expr1
0.08,0.33,python,list_sort_impl
0.08,0.32,python,allocate_from_new_pool
0.08,0.25,python,_PyCfg_OptimizedCfgToInstructionSequence
