self,children,object,symbol
22.14,85.58,python,_PyEval_EvalFrameDefault
8.75,8.75,python,_PyErr_SetObject.part.0
3.35,3.47,python,_PyObject_Free
3.08,3.64,python,_PyObject_Malloc
2.9,63.67,python,async_gen_asend_iternext
2.44,4.59,python,PyType_GenericAlloc
2.24,4.86,python,gc_collect_main
2.17,2.86,python,tupledealloc
2.01,2.01,python,StopIteration_init
1.79,1.79,python,PyErr_ExceptionMatches
1.65,1.65,python,_Py_NewReference
1.58,4.47,python,StopIteration_dealloc
1.55,1.55,python,async_gen_wrapped_val_dealloc
1.45,2.81,python,_PyTuple_FromArray
1.44,10.29,python,_PyGen_FetchStopIterationValue
1.43,5.96,python,async_gen_anext
1.42,72.21,python,_PyObject_MakeTpCall
1.42,1.71,python,_PyAsyncGenValueWrapperNew
1.38,1.76,python,async_gen_asend_dealloc
1.3,2.9,python,_PyErr_ExceptionMatches (inlined)
1.26,1.47,python,tuple_alloc
1.12,17.84,python,PyObject_CallOneArg
1.12,1.12,python,_PyErr_Restore
1.08,9.42,python,type_call
1.05,1.05,python,PyObject_GC_Del
1.01,1.01,python,PyObject_GC_UnTrack
0.93,19.91,python,_PyGen_SetStopIterationValue
0.83,0.85,libc-2.31.so,__nss_database_lookup
0.82,0.84,python,visit_reachable
0.8,0.87,python,visit_decref
0.71,0.71,python,_Py_Dealloc
0.71,0.71,python,PyType_IsSubtype
0.67,2.97,python,_PyFrame_ClearExceptCode
0.64,4.44,python,BaseException_new
0.61,0.61,python,_PyTrash_end
0.6,0.61,python,PyObject_CallFinalizerFromDealloc
0.58,0.58,python,_PyObject_GC_Link
0.57,11.32,python,_PyErr_CreateException
0.55,0.84,python,PyObject_RichCompareBool
0.54,0.56,python,initialize_locals
0.47,1.26,python,long_add
0.45,0.46,python,unicodekeys_lookup_unicode
0.43,1.15,python,PyObject_VisitManagedDict
0.43,0.43,python,_PyTrash_begin
0.4,0.4,python,_Py_CheckFunctionResult
0.37,1.39,python,subtype_traverse
0.36,3.24,python,_PyEval_FrameClearAndPop
0.36,0.53,python,compute_range_length
0.34,3.73,python,range_subscript
0.33,0.33,python,PyErr_SetObject
0.32,0.96,python,_PyEvalFramePushAndInit
0.28,1.47,python,PyNumber_Add
0.28,0.28,python,long_richcompare
0.26,0.32,python,_PyBuildSlice_ConsumeRefs
0.26,0.26,python,PyObject_Malloc
0.23,0.23,python,PyIter_Check
0.22,0.53,python,_PySlice_GetLongIndices
0.21,1.05,python,_PyObject_FreeInstanceAttributes
0.21,0.21,python,PyErr_GetRaisedException
0.2,0.57,python,_Py_dict_lookup
0.2,0.2,python,PyLong_AsLongAndOverflow
0.2,0.2,python,PyException_GetTraceback
0.19,1.09,python,slot_am_aiter
0.19,0.52,python,PyTraceBack_Here
0.18,0.18,python,set_add_entry
0.17,1.13,python,subtype_dealloc
0.17,0.98,python,_PyEval_Vector
0.17,0.18,python,long_mul
0.16,0.48,python,_PyObject_GC_NewVar
0.16,0.16,python,PyObject_Free
0.15,4.0,python,PyObject_GetItem
0.15,2.64,python,gen_dealloc
0.15,2.52,python,PyObject_ClearWeakRefs
0.15,0.15,python,_PyTrash_cond
0.14,0.94,python,r_object
0.14,0.54,python,_PyType_NewManagedObject
0.14,0.16,python,long_div
0.14,0.15,python,PyObject_IsTrue
0.13,2.51,python,PyObject_Vectorcall
0.13,0.14,python,_PyThreadState_PopFrame
0.13,0.13,python,PyArg_UnpackTuple
0.12,0.43,python,update_one_slot
0.12,0.12,python,long_dealloc
0.12,0.12,python,memset@plt
0.11,0.61,python,range_dealloc
0.11,0.4,python,weakref___new__
0.11,0.3,python,tb_dealloc
0.11,0.26,python,PyNumber_Multiply
0.11,0.11,python,PyLong_FromLong
0.11,0.11,python,set_lookkey
0.1,0.39,python,find_name_in_mro
0.1,0.29,python,dict_traverse
0.1,0.11,python,weakref_hash
0.1,0.1,python,PyThreadState_GetUnchecked
0.1,0.1,python,slice_dealloc
0.09,4.85,python,method_vectorcall
0.09,0.34,python,_PyObject_GC_New
0.09,0.28,python,make_gen
0.09,0.16,python,_PyType_Lookup
0.09,0.12,python,_PyCode_Quicken
0.09,0.1,python,_PyThreadState_PushFrame
0.09,0.09,[kernel.kallsyms],native_irq_return_iret
0.09,0.09,python,PyNumber_Index
0.09,0.09,python,PyErr_Occurred
0.08,0.7,python,compute_range_item
0.08,0.11,libc-2.31.so,pthread_attr_setschedparam
0.07,0.39,python,BaseException_clear
0.07,0.15,python,code_dealloc
0.07,0.13,python,_Py_hashtable_get_entry_generic
0.07,0.07,python,_PyFunction_Vectorcall
0.07,0.07,[kernel.kallsyms],sync_regs
0.07,0.07,python,siphash13
0.07,0.07,[kernel.kallsyms],clear_page_erms
0.07,0.07,python,PyObject_Hash
0.07,0.07,python,_PyUnicode_FromUCS1.part.0
0.07,0.07,python,async_gen_init_hooks.part.0
