self,children,object,symbol
18.26,31.38,python,gc_collect_main
15.51,18.47,python,k_mul
14.44,88.61,python,_PyEval_EvalFrameDefault
5.1,5.15,python,visit_reachable
4.81,4.98,python,visit_decref
3.51,4.98,python,_PyObject_Malloc
2.61,2.89,python,_PyObject_Free
1.65,2.01,python,PyErr_CheckSignals
1.01,2.83,python,subtype_traverse
0.9,8.65,math.cpython-313-x86_64-linux-gnu.so,factorial_partial_product
0.88,1.72,python,initialize_locals
0.85,0.89,libc-2.31.so,__nss_database_lookup
0.76,1.18,python,_PyFrame_ClearExceptCode
0.71,0.71,python,unicodekeys_lookup_unicode
0.7,2.41,python,_PyLong_New
0.65,0.72,python,_PyType_Lookup
0.63,1.51,python,set_traverse
0.62,1.17,python,_PyObject_GetMethod
0.61,0.8,python,PyThread_get_thread_ident
0.61,0.61,python,PyObject_GC_UnTrack
0.59,0.96,python,_Py_dict_lookup
0.47,1.39,python,_PyFrame_Traverse
0.44,18.73,python,long_mul
0.43,2.39,python,tupledealloc
0.42,1.95,python,_PyEval_Vector
0.42,1.84,python,gen_traverse
0.42,1.14,python,PyObject_GenericGetAttr
0.41,2.72,_asyncio.cpython-313-x86_64-linux-gnu.so,TaskObj_traverse
0.38,18.9,python,PyNumber_Multiply
0.38,2.15,python,_PyEvalFramePushAndInit
0.34,3.1,python,subtype_dealloc
0.34,1.43,python,_PyEval_FrameClearAndPop
0.33,0.33,python,_Py_NewReference
0.3,1.09,python,PyLong_FromUnsignedLong
0.29,0.41,python,long_lshift1
0.29,0.29,python,_Py_Dealloc
0.28,0.8,python,PyObject_VisitManagedDict
0.28,0.28,python,set_lookkey
0.25,0.73,python,PyObject_RichCompareBool
0.25,0.25,python,PyObject_GC_Del
0.24,78.1,python,context_run
0.24,75.22,python,_PyObject_MakeTpCall
0.24,0.24,libc-2.31.so,pthread_self
0.24,0.24,python,long_dealloc
0.24,0.24,python,PyType_GetModuleByDef
0.23,1.05,python,_PyEval_EvalFrameDefault
0.22,1.24,python,PyType_GenericAlloc
0.22,0.54,python,PyDict_GetItemRef
0.2,70.93,python,PyIter_Send
0.2,0.61,python,dict_traverse
0.19,0.92,python,_PyObject_GC_New
0.19,0.19,python,_PyTrash_end
0.19,0.19,[kernel.kallsyms],clear_page_erms
0.18,0.23,python,PyUnicode_RichCompare
0.18,0.18,python,pthread_self@plt
0.17,1.31,python,PyObject_GetAttr
0.17,0.45,python,insertdict
0.17,0.33,python,_PyArg_UnpackKeywords
0.17,0.29,python,_PyTuple_FromArray
0.17,0.22,python,gen_dealloc
0.17,0.2,python,PyObject_IS_GC
0.17,0.19,python,tuple_alloc
0.16,0.16,[kernel.kallsyms],native_irq_return_iret
0.16,0.16,python,PyObject_Malloc
0.16,0.16,python,set_add_entry
0.15,21.11,python,PyObject_VectorcallMethod
0.15,4.92,python,slot_tp_init
0.15,2.81,python,PyObject_Vectorcall
0.15,0.15,python,_PyThreadState_PopFrame
0.15,0.15,python,context_tp_traverse
0.15,0.15,python,_PyType_GetDict
0.14,0.14,python,_PyTrash_begin
0.14,0.14,python,type_is_gc
0.13,80.77,python,PyObject_Call
0.13,74.6,_asyncio.cpython-313-x86_64-linux-gnu.so,task_step_impl
0.13,22.71,math.cpython-313-x86_64-linux-gnu.so,math_factorial
0.13,0.13,[kernel.kallsyms],sync_regs
0.13,0.13,python,context_tp_dealloc
0.13,0.13,python,_PyObject_GC_Link
0.12,0.69,_asyncio.cpython-313-x86_64-linux-gnu.so,TaskStepMethWrapper_traverse
0.12,0.57,python,object_new
0.12,0.49,python,meth_dealloc
0.12,0.48,_asyncio.cpython-313-x86_64-linux-gnu.so,TaskObj_clear
0.12,0.35,python,_PyDict_GetItem_KnownHash
0.12,0.15,python,_PyObject_Calloc
0.12,0.12,python,_PyThreadState_PushFrame
0.11,22.71,python,type_call
0.11,0.8,python,_PyObject_GC_NewVar
0.11,0.46,python,allocate_from_new_pool
0.11,0.3,python,list_dealloc
0.11,0.22,python,free_keys_object
0.11,0.19,python,insert_to_emptydict
0.11,0.11,python,PyObject_Free
0.11,0.11,python,_Py_CheckFunctionResult
0.1,1.02,python,PyObject_ClearWeakRefs
0.1,0.45,python,tupletraverse
0.1,0.43,python,_PyDict_FromItems
0.1,0.1,[kernel.kallsyms],rmqueue
0.09,0.58,python,r_object
0.09,0.48,python,list_extend
0.09,0.16,python,method_traverse
0.09,0.15,python,_PyObject_Realloc
0.09,0.09,python,_PyFunction_Vectorcall
0.08,81.78,python,cfunction_vectorcall_FASTCALL_KEYWORDS
0.08,17.21,_asyncio.cpython-313-x86_64-linux-gnu.so,_asyncio_Task___init__
0.08,0.74,python,make_gen
0.08,0.66,_asyncio.cpython-313-x86_64-linux-gnu.so,future_init
0.08,0.26,python,PyCMethod_New
0.08,0.19,python,_PyObject_GetInstanceAttribute
0.08,0.14,[kernel.kallsyms],zap_pte_range.isra.0
0.08,0.11,libc-2.31.so,pthread_attr_setschedparam
0.08,0.08,python,memset@plt
0.08,0.08,[kernel.kallsyms],_raw_spin_lock
0.08,0.08,[kernel.kallsyms],free_pcppages_bulk
0.07,75.16,_asyncio.cpython-313-x86_64-linux-gnu.so,task_step
0.07,4.73,python,_PyObject_Call_Prepend
0.07,4.67,_asyncio.cpython-313-x86_64-linux-gnu.so,future_schedule_callbacks
0.07,0.44,python,func_traverse
0.07,0.26,python,update_one_slot
0.07,0.26,python,find_name_in_mro
0.07,0.23,_asyncio.cpython-313-x86_64-linux-gnu.so,_asyncio_Future_add_done_callback
0.07,0.19,python,dict_dealloc
0.07,0.16,python,type_traverse
0.07,0.13,python,_PyDict_MaybeUntrack
0.07,0.1,python,PyObject_CallFinalizerFromDealloc
0.07,0.07,[kernel.kallsyms],get_mem_cgroup_from_mm
0.07,0.07,libc-2.31.so,malloc
0.06,70.74,python,PyGen_am_send
0.06,1.5,python,method_vectorcall_FASTCALL_KEYWORDS_METHOD
0.06,0.98,[kernel.kallsyms],__handle_mm_fault
0.06,0.35,_asyncio.cpython-313-x86_64-linux-gnu.so,FutureObj_traverse
0.06,0.3,python,PyContext_CopyCurrent
0.06,0.26,python,PyList_New
0.06,0.22,python,PyLong_FromLong
0.06,0.14,python,meth_traverse
0.06,0.13,python,new_keys_object
0.06,0.08,python,_PyCode_Quicken
0.06,0.07,python,PyObject_IsTrue
0.06,0.07,python,deque_popleft
0.06,0.06,python,PyObject_Hash
0.06,0.06,math.cpython-313-x86_64-linux-gnu.so,0x00000000000036e4
0.06,0.06,_random.cpython-313-x86_64-linux-gnu.so,genrand_uint32
0.06,0.06,python,PyArg_UnpackTuple
0.05,5.08,python,method_vectorcall
0.05,1.03,python,PyObject_CallOneArg
0.05,0.3,python,weakref___new__
0.05,0.18,python,_PyTuple_FromArraySteal
0.05,0.17,[kernel.kallsyms],release_pages
0.05,0.08,[kernel.kallsyms],__pagevec_lru_add_fn
0.05,0.05,python,_PyTrash_cond
0.05,0.05,python,_PyLong_Subtract
0.05,0.05,[kernel.kallsyms],mem_cgroup_throttle_swaprate
0.05,0.05,python,PyMem_Calloc
0.05,0.05,python,find_empty_slot
0.04,14.52,_asyncio.cpython-313-x86_64-linux-gnu.so,task_call_step_soon
0.04,1.05,[kernel.kallsyms],handle_mm_fault
0.04,0.31,python,set_discard
0.04,0.23,python,unicode_decode_utf8
0.04,0.18,python,set_table_resize
0.04,0.15,[kernel.kallsyms],mem_cgroup_try_charge
0.04,0.14,python,_PyTuple_MaybeUntrack
0.04,0.12,python,_PyDict_DelItem_KnownHash
0.04,0.1,python,_PyObject_GenericSetAttrWithDict
0.04,0.09,python,_Py_hashtable_get_entry_generic
0.04,0.09,python,code_dealloc
0.04,0.05,_asyncio.cpython-313-x86_64-linux-gnu.so,FutureObj_clear
0.04,0.05,[kernel.kallsyms],try_charge
0.04,0.05,python,PyFloat_FromDouble
0.04,0.05,python,deque_append
0.04,0.04,python,PyThreadState_GetUnchecked
0.04,0.04,python,_PyUnicode_FromUCS1.part.0
0.04,0.04,python,siphash13
0.04,0.04,python,weakref_hash
0.04,0.04,python,PyUnicode_New.part.0
0.04,0.04,python,gc_traverse
0.03,1.54,[kernel.kallsyms],page_fault
0.03,1.12,[kernel.kallsyms],do_user_addr_fault
0.03,0.76,python,_Py_MakeCoro
0.03,0.36,[kernel.kallsyms],__alloc_pages_nodemask
0.03,0.29,python,_PyList_FromArraySteal
0.03,0.23,python,PyMethod_New
0.03,0.2,python,_PyUnicode_InternInPlace
0.03,0.09,python,list_traverse
0.03,0.09,python,_Py_dict_lookup
0.03,0.08,python,type_ready
0.03,0.07,_random.cpython-313-x86_64-linux-gnu.so,_random_Random_random
0.03,0.07,ld-2.31.so,_dl_rtld_di_serinfo
0.03,0.06,python,method_dealloc
0.03,0.06,_asyncio.cpython-313-x86_64-linux-gnu.so,task_wakeup
0.03,0.05,python,ascii_decode
0.03,0.04,_asyncio.cpython-313-x86_64-linux-gnu.so,FutureIter_traverse
0.03,0.04,[kernel.kallsyms],copy_user_enhanced_fast_string
0.03,0.04,[kernel.kallsyms],page_remove_rmap
0.03,0.04,python,delitem_common
0.03,0.04,python,intern_string_constants
0.03,0.04,python,PySequence_Fast
0.03,0.03,_asyncio.cpython-313-x86_64-linux-gnu.so,future_add_done_callback
0.03,0.03,python,PyType_IsSubtype
0.03,0.03,python,unicode_dealloc
0.03,0.03,python,PyDescr_IsData
0.03,0.03,[kernel.kallsyms],smp_call_function_single
0.03,0.03,[kernel.kallsyms],__count_memcg_events
0.03,0.03,math.cpython-313-x86_64-linux-gnu.so,0x0000000000003744
0.03,0.03,python,PyNumber_Index
0.03,0.03,python,_PyObject_InitializeDict
0.03,0.03,[kernel.kallsyms],copy_pte_range.isra.0
0.03,0.03,python,PyBool_FromLong
0.03,0.03,math.cpython-313-x86_64-linux-gnu.so,0x00000000000039e4
0.02,1.57,_asyncio.cpython-313-x86_64-linux-gnu.so,TaskObj_dealloc
0.02,0.78,[kernel.kallsyms],do_anonymous_page
0.02,0.39,python,set_add
0.02,0.39,_asyncio.cpython-313-x86_64-linux-gnu.so,_asyncio_Task_set_name
0.02,0.32,[kernel.kallsyms],get_page_from_freelist
0.02,0.26,python,PyObject_Str
0.02,0.25,python,deque_traverse
0.02,0.24,python,slot_tp_richcompare
0.02,0.23,python,cfunction_vectorcall_NOARGS
0.02,0.19,_heapq.cpython-313-x86_64-linux-gnu.so,siftup
0.02,0.18,python,_PyFrame_Copy
0.02,0.15,python,PyObject_SetAttr
0.02,0.15,python,_PyObject_FreeInstanceAttributes
0.02,0.12,_asyncio.cpython-313-x86_64-linux-gnu.so,TaskStepMethWrapper_dealloc
0.02,0.11,_asyncio.cpython-313-x86_64-linux-gnu.so,TaskStepMethWrapper_call
0.02,0.11,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.02,0.09,python,set_dealloc
0.02,0.09,python,_PyTuple_ClearFreeList
0.02,0.08,python,_PyCoro_GetAwaitableIter
0.02,0.08,python,_PyObject_GenericGetAttrWithDict
0.02,0.06,python,gc_collect_main
0.02,0.05,python,dict_get
0.02,0.04,python,weakref___init__
0.02,0.03,python,method_get
0.02,0.03,python,_PyGen_Finalize
0.02,0.02,[kernel.kallsyms],error_entry
0.02,0.02,_asyncio.cpython-313-x86_64-linux-gnu.so,_asyncio_Future_cancelled
0.02,0.02,python,compute_range_length
0.02,0.02,python,_Py_GetBaseOpcode
0.02,0.02,python,_Py_HashPointer
0.02,0.02,python,clear_weakref
0.02,0.02,_asyncio.cpython-313-x86_64-linux-gnu.so,_asyncio_Future_done
0.02,0.02,python,memcpy@plt
0.02,0.02,python,PyObject_ClearManagedDict
0.02,0.02,_asyncio.cpython-313-x86_64-linux-gnu.so,0x0000000000004584
0.02,0.02,[kernel.kallsyms],__mod_memcg_state
0.02,0.02,python,_PyLong_Add
0.02,0.02,[kernel.kallsyms],vmacache_find
0.01,1.18,_asyncio.cpython-313-x86_64-linux-gnu.so,_asyncio_Future_set_result
0.01,1.14,[kernel.kallsyms],do_page_fault
0.01,1.13,[kernel.kallsyms],__do_page_fault
