self,children,object,symbol
21.85,89.57,python,_PyEval_EvalFrameDefault
20.56,37.62,python,gc_collect_main
6.32,6.53,python,visit_decref
6.3,6.36,python,visit_reachable
2.52,3.95,python,_PyObject_Malloc
1.53,3.28,python,subtype_traverse
1.51,1.78,python,_PyObject_Free
1.23,2.15,python,initialize_locals
1.2,1.7,python,_PyFrame_ClearExceptCode
1.09,1.24,python,_PyType_Lookup
0.92,1.7,python,_PyObject_GetMethod
0.89,1.26,python,_Py_dict_lookup
0.89,0.9,python,unicodekeys_lookup_unicode
0.77,0.77,python,PyObject_GC_UnTrack
0.72,0.76,libc-2.31.so,__nss_database_lookup
0.66,4.03,python,tupledealloc
0.61,2.84,python,_PyEvalFramePushAndInit
0.6,3.42,_asyncio.cpython-313-x86_64-linux-gnu.so,TaskObj_traverse
0.54,2.11,python,_PyEval_FrameClearAndPop
0.54,0.54,python,context_tp_dealloc
0.53,2.57,python,_PyEval_Vector
0.44,4.9,python,subtype_dealloc
0.44,1.48,python,PyObject_GenericGetAttr
0.44,1.3,python,_PyFrame_Traverse
0.42,0.63,python,PyObject_VisitManagedDict
0.41,0.41,python,set_lookkey
0.4,1.72,python,gen_traverse
0.38,1.16,python,list_traverse
0.37,0.37,python,PyType_GetModuleByDef
0.33,1.5,python,PyType_GenericAlloc
0.33,1.25,python,PyObject_RichCompareBool
0.33,0.93,python,insertdict
0.32,60.97,python,PyIter_Send
0.32,1.29,python,_PyObject_GC_New
0.32,0.35,python,PyObject_IS_GC
0.31,67.95,python,_PyObject_MakeTpCall
0.31,0.31,python,PyObject_GC_Del
0.3,3.12,python,list_dealloc
0.3,0.82,python,dict_traverse
0.3,0.76,python,set_traverse
0.3,0.64,python,PyDict_GetItemRef
0.3,0.53,python,_PyArg_UnpackKeywords
0.3,0.3,python,_PyTrash_end
0.28,72.69,python,context_run
0.28,0.48,python,_PyTuple_FromArray
0.26,0.29,python,tuple_alloc
0.25,0.99,python,func_traverse
0.24,0.87,_asyncio.cpython-313-x86_64-linux-gnu.so,TaskObj_clear
0.24,0.24,python,_PyType_GetDict
0.23,4.82,python,PyObject_Vectorcall
0.23,0.37,python,_PyObject_Realloc
0.23,0.23,python,_PyTrash_begin
0.22,0.22,python,_PyThreadState_PopFrame
0.21,0.21,python,_Py_NewReference
0.21,0.21,python,context_tp_traverse
0.2,1.01,python,tupletraverse
0.2,0.38,python,gen_dealloc
0.2,0.25,python,PyUnicode_RichCompare
0.19,1.69,python,PyObject_GetAttr
0.19,0.57,python,PyCMethod_New
0.19,0.19,python,_Py_Dealloc
0.18,13.67,python,slot_tp_init
0.18,0.45,python,_PyObject_GenericSetAttrWithDict
0.18,0.32,python,free_keys_object
0.18,0.21,python,_PyObject_Calloc
0.18,0.18,python,type_is_gc
0.18,0.18,[kernel.kallsyms],native_irq_return_iret
0.18,0.18,[kernel.kallsyms],clear_page_erms
0.17,66.18,_asyncio.cpython-313-x86_64-linux-gnu.so,task_step_impl
0.17,36.87,python,type_call
0.17,0.75,python,meth_dealloc
0.17,0.62,python,_PyDict_FromItems
0.17,0.18,python,_PyThreadState_PushFrame
0.17,0.17,python,_PyObject_GC_Link
0.17,0.17,python,set_add_entry
0.16,0.78,python,object_new
0.16,0.56,python,_PyDict_GetItem_KnownHash
0.15,33.79,python,PyObject_VectorcallMethod
0.15,1.52,python,PyObject_ClearWeakRefs
0.15,0.67,python,list_extend
0.15,0.15,python,_PyGen_Finalize
0.14,77.6,python,PyObject_Call
0.14,13.75,python,_PyObject_Call_Prepend
0.14,1.09,_asyncio.cpython-313-x86_64-linux-gnu.so,TaskStepMethWrapper_traverse
0.14,0.85,python,_PyObject_GC_NewVar
0.13,0.49,python,allocate_from_new_pool
0.13,0.34,python,insert_to_emptydict
0.13,0.33,python,dict_dealloc
0.13,0.13,python,_Py_CheckFunctionResult
0.13,0.13,[kernel.kallsyms],sync_regs
0.12,0.12,python,PyObject_Hash
0.11,66.95,_asyncio.cpython-313-x86_64-linux-gnu.so,task_step
0.11,28.19,_asyncio.cpython-313-x86_64-linux-gnu.so,_asyncio_Task___init__
0.11,0.85,_asyncio.cpython-313-x86_64-linux-gnu.so,future_init
0.11,0.78,python,r_object
0.11,0.67,python,PyObject_SetAttr
0.11,0.32,python,new_keys_object
0.11,0.19,python,_PyDict_MaybeUntrack
0.11,0.11,python,PySequence_Contains
0.11,0.11,python,_PyFunction_Vectorcall
0.1,2.52,python,method_vectorcall_FASTCALL_KEYWORDS_METHOD
0.1,0.37,_asyncio.cpython-313-x86_64-linux-gnu.so,_asyncio_Future_add_done_callback
0.1,0.34,python,update_one_slot
