self,children,object,symbol
24.81,42.93,python,gc_collect_main
19.79,90.03,python,_PyEval_EvalFrameDefault
6.95,7.03,python,visit_reachable
6.57,6.81,python,visit_decref
2.45,4.13,python,_PyObject_Malloc
1.43,1.76,python,_PyObject_Free
1.36,4.0,python,subtype_traverse
1.12,2.19,python,initialize_locals
1.03,1.66,python,_PyFrame_ClearExceptCode
0.92,0.93,python,unicodekeys_lookup_unicode
0.88,2.04,python,set_traverse
0.88,0.95,python,_PyType_Lookup
0.83,0.88,libc-2.31.so,__nss_database_lookup
0.83,0.83,python,PyObject_GC_UnTrack
0.81,1.32,python,_Py_dict_lookup
0.77,1.46,python,_PyObject_GetMethod
0.68,2.08,python,_PyFrame_Traverse
0.61,1.62,python,PyObject_GenericGetAttr
0.59,3.62,_asyncio.cpython-313-x86_64-linux-gnu.so,TaskObj_traverse
0.58,2.7,python,gen_traverse
0.58,2.6,python,_PyEval_Vector
0.57,3.19,python,tupledealloc
0.54,2.84,python,_PyEvalFramePushAndInit
0.5,2.04,python,_PyEval_FrameClearAndPop
0.44,4.12,python,subtype_dealloc
0.44,0.45,python,set_lookkey
0.38,1.12,python,PyObject_VisitManagedDict
0.33,1.27,python,PyObject_RichCompareBool
0.31,1.59,python,PyType_GenericAlloc
0.31,0.74,python,PyDict_GetItemRef
0.3,0.3,python,PyObject_GC_Del
0.29,70.44,python,_PyObject_MakeTpCall
0.29,0.29,python,PyType_GetModuleByDef
0.27,1.18,python,_PyObject_GC_New
0.27,0.42,python,_PyTuple_FromArray
0.26,62.99,python,PyIter_Send
0.25,74.51,python,context_run
0.25,0.83,python,dict_traverse
0.25,0.25,python,_PyTrash_end
0.24,0.59,python,insertdict
0.24,0.28,python,PyObject_IS_GC
0.22,0.28,python,PyUnicode_RichCompare
0.22,0.25,python,tuple_alloc
0.22,0.22,[kernel.kallsyms],clear_page_erms
0.22,0.22,python,_Py_Dealloc
0.21,1.83,python,PyObject_GetAttr
0.21,0.22,python,_Py_NewReference
0.21,0.21,[kernel.kallsyms],native_irq_return_iret
0.21,0.21,python,context_tp_dealloc
0.2,0.42,python,_PyArg_UnpackKeywords
0.2,0.27,python,gen_dealloc
0.19,7.0,python,slot_tp_init
0.19,6.53,python,PyObject_Vectorcall
0.19,0.64,_asyncio.cpython-313-x86_64-linux-gnu.so,TaskObj_clear
0.19,0.19,python,type_is_gc
0.19,0.19,python,context_tp_traverse
0.18,0.18,python,_PyThreadState_PopFrame
0.18,0.18,python,_PyThreadState_PushFrame
0.18,0.18,python,set_add_entry
0.18,0.18,python,_PyType_GetDict
0.17,79.31,python,PyObject_Call
0.17,27.53,python,PyObject_VectorcallMethod
0.17,0.2,python,_PyObject_Calloc
0.17,0.17,python,_PyObject_GC_Link
0.17,0.17,python,_PyTrash_begin
0.16,67.6,_asyncio.cpython-313-x86_64-linux-gnu.so,task_step_impl
0.16,0.85,_asyncio.cpython-313-x86_64-linux-gnu.so,TaskStepMethWrapper_traverse
