self,children,object,symbol
23.41,40.36,python,gc_collect_main
19.2,89.09,python,_PyEval_EvalFrameDefault
6.5,6.59,python,visit_reachable
6.03,6.28,python,visit_decref
2.71,5.05,python,_PyObject_Malloc
1.63,2.07,python,_PyObject_Free
1.36,2.62,python,initialize_locals
1.16,3.1,python,subtype_traverse
1.1,1.11,python,unicodekeys_lookup_unicode
1.02,1.45,python,_PyFrame_ClearExceptCode
0.95,2.14,python,set_traverse
0.92,0.92,python,PyObject_GC_UnTrack
0.91,1.04,python,_PyType_Lookup
0.91,0.96,libc-2.31.so,__nss_database_lookup
0.9,1.76,python,_PyObject_GetMethod
0.7,1.93,python,_PyFrame_Traverse
0.64,3.58,python,tupledealloc
0.63,3.73,_asyncio.cpython-313-x86_64-linux-gnu.so,TaskObj_traverse
0.61,3.33,python,_PyEvalFramePushAndInit
0.56,2.53,python,gen_traverse
0.56,1.57,python,PyObject_GenericGetAttr
0.52,2.9,python,_PyEval_Vector
0.49,4.64,python,subtype_dealloc
0.49,1.83,python,_PyEval_FrameClearAndPop
0.49,0.8,python,_Py_dict_lookup
0.44,1.15,python,PyObject_VisitManagedDict
0.38,0.74,python,_Py_dict_lookup
0.37,0.76,python,PyObject_RichCompareBool
0.36,1.94,python,PyType_GenericAlloc
0.35,0.83,python,PyDict_GetItemRef
0.35,0.35,python,PyObject_GC_Del
0.32,69.21,python,_PyObject_MakeTpCall
0.32,0.96,python,dict_traverse
0.3,1.36,python,_PyObject_GC_New
0.3,0.75,python,insertdict
0.3,0.3,python,set_lookkey
0.29,0.29,[kernel.kallsyms],native_irq_return_iret
0.29,0.29,[kernel.kallsyms],clear_page_erms
0.28,0.47,python,_PyTuple_FromArray
0.28,0.35,python,PyUnicode_RichCompare
0.27,0.27,python,_PyTrash_end
0.26,71.71,python,context_run
0.26,0.26,python,_Py_Dealloc
0.25,0.49,python,_PyArg_UnpackKeywords
0.25,0.28,python,tuple_alloc
0.25,0.25,python,PyType_GetModuleByDef
0.24,0.24,python,_Py_NewReference
0.24,0.24,python,set_add_entry
0.23,62.42,python,PyIter_Send
0.22,1.8,python,PyObject_GetAttr
0.22,0.22,python,context_tp_traverse
0.22,0.22,[kernel.kallsyms],sync_regs
0.21,32.62,python,PyObject_VectorcallMethod
0.21,3.84,python,slot_tp_init
0.21,0.21,python,type_is_gc
0.2,4.12,python,PyObject_Vectorcall
0.2,0.26,python,gen_dealloc
0.2,0.24,python,_PyObject_Calloc
0.19,0.61,python,_PyDict_GetItem_KnownHash
0.19,0.2,python,_PyThreadState_PushFrame
0.19,0.19,python,_PyThreadState_PopFrame
0.19,0.19,python,_PyType_GetDict
0.19,0.19,python,_PyTrash_begin
0.18,0.46,python,list_dealloc
0.18,0.22,python,PyObject_IS_GC
0.18,0.18,[kernel.kallsyms],rmqueue
0.17,0.99,_asyncio.cpython-313-x86_64-linux-gnu.so,TaskStepMethWrapper_traverse
0.17,0.84,python,object_new
0.17,0.17,python,_PyObject_GC_Link
0.16,1.18,python,_PyObject_GC_NewVar
0.16,0.73,python,allocate_from_new_pool
0.16,0.66,python,_PyDict_FromItems
0.16,0.16,python,_Py_CheckFunctionResult
0.15,77.61,python,PyObject_Call
0.15,32.33,python,type_call
0.15,0.6,python,meth_dealloc
0.15,0.33,python,free_keys_object
0.14,67.71,_asyncio.cpython-313-x86_64-linux-gnu.so,task_step_impl
0.14,27.76,_asyncio.cpython-313-x86_64-linux-gnu.so,_asyncio_Task___init__
0.14,1.5,python,PyObject_ClearWeakRefs
0.14,0.69,python,list_extend
0.14,0.14,[kernel.kallsyms],_raw_spin_lock
0.13,0.92,python,r_object
0.13,0.46,python,find_name_in_mro
0.13,0.24,python,method_traverse
0.13,0.2,[kernel.kallsyms],zap_pte_range.isra.0
0.13,0.19,python,_PyObject_Realloc
0.13,0.13,python,context_tp_dealloc
0.13,0.13,python,_PyFunction_Vectorcall
0.13,0.13,python,long_dealloc
0.12,0.96,_asyncio.cpython-313-x86_64-linux-gnu.so,future_init
0.12,0.43,python,update_one_slot
0.12,0.34,python,PyCMethod_New
0.12,0.3,python,_PyObject_GetInstanceAttribute
0.12,0.22,python,_PyDict_MaybeUntrack
0.12,0.13,[kernel.kallsyms],free_pcppages_bulk
0.11,0.37,python,PyLong_FromLong
0.11,0.24,python,insert_to_emptydict
0.11,0.11,[kernel.kallsyms],get_mem_cgroup_from_mm
0.11,0.11,python,PyObject_Hash
0.11,0.11,python,PyObject_Malloc
0.1,4.23,python,method_vectorcall
0.1,3.92,python,_PyObject_Call_Prepend
0.1,1.59,[kernel.kallsyms],__handle_mm_fault
0.1,1.03,python,make_gen
0.1,0.58,_asyncio.cpython-313-x86_64-linux-gnu.so,TaskObj_clear
0.1,0.13,python,_PyCode_Quicken
0.1,0.12,python,PyObject_CallFinalizerFromDealloc
0.09,77.62,python,cfunction_vectorcall_FASTCALL_KEYWORDS
0.09,68.46,_asyncio.cpython-313-x86_64-linux-gnu.so,task_step
0.09,6.06,_asyncio.cpython-313-x86_64-linux-gnu.so,future_schedule_callbacks
0.09,0.63,python,func_traverse
0.09,0.4,python,PyList_New
0.09,0.33,_asyncio.cpython-313-x86_64-linux-gnu.so,_asyncio_Future_add_done_callback
0.09,0.27,python,dict_dealloc
0.09,0.23,python,type_traverse
0.09,0.21,python,new_keys_object
0.09,0.15,python,meth_traverse
0.09,0.14,libc-2.31.so,pthread_attr_setschedparam
0.09,0.11,python,PyObject_IsTrue
0.09,0.09,python,find_empty_slot
0.09,0.09,python,PyArg_UnpackTuple
0.08,23.6,_asyncio.cpython-313-x86_64-linux-gnu.so,task_call_step_soon
0.08,1.59,python,PyObject_CallOneArg
0.08,1.45,python,method_vectorcall_FASTCALL_KEYWORDS_METHOD
0.08,0.48,python,PyContext_CopyCurrent
0.08,0.44,python,weakref___new__
0.08,0.12,[kernel.kallsyms],__pagevec_lru_add_fn
0.08,0.09,python,deque_popleft
0.08,0.08,python,PyMem_Calloc
0.07,1.71,[kernel.kallsyms],handle_mm_fault
0.07,0.45,_asyncio.cpython-313-x86_64-linux-gnu.so,FutureObj_traverse
0.07,0.29,[kernel.kallsyms],release_pages
0.07,0.26,python,_PyTuple_FromArraySteal
0.07,0.26,[kernel.kallsyms],mem_cgroup_try_charge
0.07,0.15,python,code_dealloc
0.07,0.14,python,_Py_hashtable_get_entry_generic
0.07,0.08,[kernel.kallsyms],try_charge
0.07,0.07,python,memset@plt
0.07,0.07,[kernel.kallsyms],mem_cgroup_throttle_swaprate
0.07,0.07,python,_PyTrash_cond
0.07,0.07,python,_PyLong_Subtract
0.07,0.07,python,PyUnicode_New.part.0
0.07,0.07,python,siphash13
0.06,62.2,python,PyGen_am_send
0.06,0.58,[kernel.kallsyms],__alloc_pages_nodemask
0.06,0.36,python,unicode_decode_utf8
0.06,0.35,python,set_discard
0.06,0.15,python,tupletraverse
0.06,0.08,_asyncio.cpython-313-x86_64-linux-gnu.so,FutureObj_clear
0.06,0.07,python,deque_append
0.06,0.06,python,PyObject_Free
0.06,0.06,python,_PyUnicode_FromUCS1.part.0
0.06,0.06,python,PyThreadState_GetUnchecked
0.06,0.06,python,gc_traverse
0.05,1.06,python,_Py_MakeCoro
0.05,0.62,python,set_add
0.05,0.61,_asyncio.cpython-313-x86_64-linux-gnu.so,_asyncio_Task_set_name
0.05,0.45,python,_PyList_FromArraySteal
0.05,0.34,python,PyMethod_New
0.05,0.29,python,set_table_resize
0.05,0.15,python,type_ready
0.05,0.15,python,_PyDict_DelItem_KnownHash
0.05,0.14,python,list_traverse
0.05,0.11,ld-2.31.so,_dl_rtld_di_serinfo
0.05,0.09,python,method_dealloc
0.05,0.06,python,intern_string_constants
0.05,0.06,[kernel.kallsyms],page_remove_rmap
0.05,0.05,python,weakref_hash
0.05,0.05,python,unicode_dealloc
0.05,0.05,[kernel.kallsyms],smp_call_function_single
0.05,0.05,python,clear_weakref
0.05,0.05,python,delitem_common
0.04,2.47,[kernel.kallsyms],page_fault
0.04,0.41,python,PyObject_Str
0.04,0.26,python,_PyFrame_Copy
0.04,0.06,python,ascii_decode
0.04,0.06,_asyncio.cpython-313-x86_64-linux-gnu.so,FutureIter_traverse
0.04,0.06,python,PySequence_Fast
0.04,0.06,[kernel.kallsyms],copy_user_enhanced_fast_string
0.04,0.04,[kernel.kallsyms],__count_memcg_events
0.04,0.04,_asyncio.cpython-313-x86_64-linux-gnu.so,future_add_done_callback
0.04,0.04,[kernel.kallsyms],__d_lookup_rcu
0.04,0.04,python,PyBool_FromLong
0.03,2.18,_asyncio.cpython-313-x86_64-linux-gnu.so,TaskObj_dealloc
0.03,1.8,[kernel.kallsyms],do_user_addr_fault
0.03,1.29,[kernel.kallsyms],do_anonymous_page
0.03,0.52,[kernel.kallsyms],get_page_from_freelist
0.03,0.34,python,deque_traverse
0.03,0.33,python,_PyUnicode_InternInPlace
0.03,0.25,python,_PyCode_New
0.03,0.24,_asyncio.cpython-313-x86_64-linux-gnu.so,TaskStepMethWrapper_dealloc
0.03,0.18,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.03,0.15,python,_PyLong_New
0.03,0.05,[kernel.kallsyms],error_entry
0.03,0.04,python,_PyObject_InitializeDict
0.03,0.04,python,compute_range_length
0.03,0.03,python,_Py_GetBaseOpcode
