self,children,object,symbol
38.54,39.13,libc-2.31.so,__nss_database_lookup
26.15,26.19,libcrypto.so.1.1,CRYPTO_secure_actual_size
11.32,11.33,[kernel.kallsyms],copy_user_enhanced_fast_string
3.81,97.36,python,_PyEval_EvalFrameDefault
2.88,2.88,[kernel.kallsyms],clear_page_erms
0.86,42.88,libssl.so.1.1,SSL_rstate_string
0.59,0.67,libc-2.31.so,pthread_attr_setschedparam
0.44,0.44,libcrypto.so.1.1,AES_unwrap_key
0.43,5.53,libssl.so.1.1,DTLSv1_client_method
0.29,0.29,libcrypto.so.1.1,CRYPTO_gcm128_release
0.27,0.55,python,_PyObject_Malloc
0.27,0.27,libpthread-2.31.so,__pthread_mutex_lock
0.22,27.44,libcrypto.so.1.1,EVP_MD_CTX_ctrl
0.2,0.21,python,unicodekeys_lookup_unicode
0.18,9.81,[kernel.kallsyms],tcp_sendmsg_locked
0.17,0.26,python,_PyObject_Free
0.16,0.19,[kernel.kallsyms],rmqueue
0.16,0.16,libcrypto.so.1.1,OPENSSL_cleanse
0.15,0.15,libc-2.31.so,malloc
0.14,21.45,libcrypto.so.1.1,BIO_s_log
0.14,0.39,python,gc_collect_main
0.14,0.32,python,_PyFrame_ClearExceptCode
0.13,0.17,python,_PyType_Lookup
0.12,21.45,libcrypto.so.1.1,ERR_load_BIO_strings
0.12,0.22,python,_PyObject_GetMethod
0.12,0.12,libc-2.31.so,free
0.11,0.3,python,PyObject_GenericGetAttr
0.11,0.2,[kernel.kallsyms],__free_pages_ok
0.1,0.48,python,PyObject_GetAttr
0.1,0.3,python,tupledealloc
0.1,0.22,python,_Py_dict_lookup
0.1,0.1,libpthread-2.31.so,pthread_mutex_unlock
0.09,0.16,python,vgetargs1_impl
0.09,0.09,libcrypto.so.1.1,BN_X931_generate_prime_ex
0.09,0.09,[kernel.kallsyms],_raw_spin_lock
0.09,0.09,[kernel.kallsyms],native_irq_return_iret
0.08,0.39,[kernel.kallsyms],skb_release_data
0.08,0.14,[kernel.kallsyms],__check_object_size
0.08,0.13,python,_PyObject_Realloc
0.08,0.09,[kernel.kallsyms],prep_new_page
0.08,0.08,python,convertitem.constprop.0
0.07,0.09,python,PyObject_IsTrue
0.07,0.07,python,visit_decref
0.07,0.07,python,_Py_Dealloc
0.06,1.24,[kernel.kallsyms],__tcp_transmit_skb
0.06,1.03,[kernel.kallsyms],ip_finish_output2
0.06,0.33,python,PyUnicode_FromFormatV
0.06,0.1,libc-2.31.so,psiginfo
0.06,0.07,[kernel.kallsyms],free_one_page
0.06,0.06,python,PyType_GetModuleByDef
0.06,0.06,[kernel.kallsyms],sync_regs
0.06,0.06,[kernel.kallsyms],__virt_addr_valid
0.06,0.06,[kernel.kallsyms],__fget_light
0.05,92.83,python,context_run
0.05,40.46,python,PyObject_Vectorcall
0.05,21.41,_ssl.cpython-313-x86_64-linux-gnu.so,_ssl__SSLSocket_read
0.05,13.53,libcrypto.so.1.1,EVP_CIPHER_CTX_free
0.05,13.4,libcrypto.so.1.1,EVP_DecryptUpdate
0.05,5.3,[kernel.kallsyms],__skb_datagram_iter
0.05,0.33,python,subtype_dealloc
0.05,0.29,libcrypto.so.1.1,EVP_CipherInit_ex
0.05,0.26,libcrypto.so.1.1,CRYPTO_gcm128_decrypt_ctr32
0.05,0.25,libcrypto.so.1.1,CRYPTO_gcm128_finish
0.05,0.13,python,list_dealloc
0.05,0.12,python,PyDict_GetItemRef
0.05,0.08,python,initialize_locals
0.05,0.08,[kernel.kallsyms],__kmalloc_node_track_caller
0.05,0.06,[kernel.kallsyms],kmem_cache_alloc_node
0.05,0.06,python,PyBuffer_Release
0.05,0.06,python,visit_reachable
0.05,0.05,libcrypto.so.1.1,CRYPTO_gcm128_aad
0.05,0.05,python,PyType_IsSubtype
0.04,65.01,python,method_vectorcall
0.04,31.52,python,method_vectorcall_VARARGS
0.04,17.85,[kernel.kallsyms],do_syscall_64
0.04,7.35,[kernel.kallsyms],tcp_recvmsg
0.04,0.35,python,_PyEval_FrameClearAndPop
0.04,0.34,python,take_gil
0.04,0.27,python,r_object
0.04,0.22,libcrypto.so.1.1,CRYPTO_gcm128_setiv
0.04,0.19,[kernel.kallsyms],__dev_queue_xmit
0.04,0.14,python,find_name_in_mro
0.04,0.12,python,update_one_slot
0.04,0.09,python,insertdict
0.04,0.08,[kernel.kallsyms],sock_poll
0.04,0.05,[kernel.kallsyms],kfree
0.04,0.04,python,PyObject_Size
0.04,0.04,[kernel.kallsyms],__ksize
0.04,0.04,[kernel.kallsyms],__netif_receive_skb_core
0.04,0.04,libcrypto.so.1.1,CRYPTO_free
0.04,0.04,python,PyObject_GC_UnTrack
0.04,0.04,[vdso],__vdso_clock_gettime
0.04,0.04,[kernel.kallsyms],__cgroup_bpf_run_filter_skb
0.04,0.04,libcrypto.so.1.1,EVP_CIPHER_flags
0.04,0.04,[kernel.kallsyms],skb_try_coalesce
0.03,94.54,python,PyObject_Call
0.03,27.67,_asyncio.cpython-313-x86_64-linux-gnu.so,task_step_impl
0.03,27.62,python,PyIter_Send
0.03,19.81,libssl.so.1.1,SSL_get_default_timeout
0.03,5.12,[kernel.kallsyms],_copy_to_iter
0.03,3.23,[kernel.kallsyms],__alloc_pages_nodemask
0.03,0.64,select.cpython-313-x86_64-linux-gnu.so,select_epoll_poll
0.03,0.62,[kernel.kallsyms],tcp_rcv_established
0.03,0.21,[kernel.kallsyms],tcp_write_xmit
0.03,0.19,[kernel.kallsyms],tcp_ack
