self,children,object,symbol
45.16,86.34,python,_PyEval_EvalFrameDefault
2.46,2.56,python,_PyObject_Free
2.42,2.96,python,_PyObject_Malloc
1.88,1.88,python,_PyLong_Subtract
1.83,1.83,python,PyType_IsSubtype
1.75,4.0,python,_PyFrame_ClearExceptCode
1.26,1.26,python,_PyLong_Add
1.15,1.72,python,float_div
1.14,1.14,python,float_dealloc
1.09,1.15,libc-2.31.so,__nss_database_lookup
1.07,1.44,python,compute_range_length
1.05,3.06,python,gc_collect_main
1.04,1.06,python,unicodekeys_lookup_unicode
1.04,1.04,python,PyLong_AsDouble
1.03,1.43,python,float_richcompare
0.99,1.54,python,range_iter
0.99,1.28,python,PyFloat_FromDouble
0.86,1.45,python,float_sub
0.85,0.85,libm-2.31.so,f64xsubf128
0.8,3.15,python,subtype_dealloc
0.75,4.58,python,_PyEval_FrameClearAndPop
0.7,2.06,python,_PyType_NewManagedObject
0.7,0.71,python,_Py_NewReference
0.64,1.88,python,float_pow
0.64,0.68,python,PyLong_FromLong
0.57,0.88,python,tupledealloc
0.56,5.32,python,PyNumber_Subtract
0.54,0.57,python,visit_decref
0.52,2.35,python,PyNumber_TrueDivide
0.48,0.64,python,_PyType_Lookup
0.46,1.04,python,_PyObject_FreeInstanceAttributes
0.45,0.5,python,initialize_locals
0.45,0.46,python,visit_reachable
0.44,0.44,python,PyLong_AsLongAndOverflow
0.42,1.26,python,_Py_dict_lookup
0.39,1.89,python,PyObject_RichCompare
0.37,2.44,python,range_vectorcall
0.37,2.16,python,r_object
0.34,0.35,python,_PyThreadState_PopFrame
0.32,0.32,python,PyObject_GC_UnTrack
0.3,0.3,python,PyLong_AsLong
0.29,1.09,python,_PyObject_New
0.29,0.34,python,tuple_alloc
0.27,0.27,python,PyObject_GC_Del
0.26,0.41,python,float_mul
0.26,0.26,python,PyNumber_Index
0.25,0.88,python,_PyEvalFramePushAndInit
0.25,0.87,python,update_one_slot
0.25,0.32,python,PyObject_ClearWeakRefs
0.25,0.25,python,_PyTrash_end
0.24,0.24,python,_PyTrash_begin
0.23,1.84,python,PyObject_GetIter
0.23,0.39,libc-2.31.so,pthread_attr_setschedparam
0.23,0.28,python,_PyCode_Quicken
0.23,0.23,python,_Py_Dealloc
0.23,0.23,python,_PyObject_GC_Link
0.22,1.11,python,list_dealloc
0.22,0.69,python,_PyObject_InitInlineValues
0.22,0.44,python,_PyTuple_FromArraySteal
0.21,0.81,python,find_name_in_mro
0.17,0.17,python,siphash13
0.17,0.17,python,_PyFloat_ExactDealloc
0.16,1.58,python,PyNumber_Multiply
0.16,0.34,python,_Py_hashtable_get_entry_generic
0.16,0.16,python,range_dealloc
0.15,0.91,python,PyObject_GenericGetAttr
0.14,2.01,python,_PyNumber_PowerNoMod
0.14,0.2,python,_PyList_FromArraySteal
0.14,0.14,python,PyObject_Malloc
0.14,0.14,python,_PyLong_NumBits
0.14,0.14,[kernel.kallsyms],native_irq_return_iret
0.14,0.14,python,_PyUnicode_FromUCS1.part.0
0.12,0.59,python,_PyEval_Vector
0.12,0.52,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.12,0.46,python,insertdict
0.12,0.33,python,dict_traverse
0.12,0.22,python,_PyTuple_FromArray
0.12,0.13,python,intern_string_constants
0.12,0.12,python,vectorcall_maybe.constprop.0
0.11,0.62,python,_PyDict_GetItem_KnownHash
0.11,0.37,python,type_ready
0.11,0.28,python,PyDict_GetItemRef
0.11,0.27,python,code_dealloc
0.1,55.73,python,_PyObject_MakeTpCall
0.1,0.21,ld-2.31.so,_dl_rtld_di_serinfo
0.1,0.21,python,_PyList_AppendTakeRefListResize
0.1,0.1,python,PyObject_Free
0.1,0.1,python,PyBool_FromLong
0.09,53.55,python,_PyObject_Call_Prepend
0.09,0.47,python,free_keys_object
0.09,0.23,python,tupletraverse
0.09,0.13,[kernel.kallsyms],copy_user_enhanced_fast_string
0.09,0.11,math.cpython-313-x86_64-linux-gnu.so,math_sqrt
0.09,0.1,python,PyObject_IsTrue
0.09,0.1,python,PyObject_IS_GC
0.09,0.09,[kernel.kallsyms],sync_regs
0.09,0.09,python,PyUnicode_New.part.0
0.08,50.61,python,slot_tp_call
0.08,1.19,python,PyObject_GetAttr
0.08,0.34,python,_PyObject_GC_New
0.08,0.27,python,meth_dealloc
0.08,0.12,python,_PyThreadState_PushFrame
0.08,0.08,python,_PyFunction_Vectorcall
0.08,0.08,python,memset@plt
0.08,0.08,python,long_sub
0.07,74.41,python,PyObject_Vectorcall
0.07,0.3,python,_PyObject_GenericGetAttrWithDict
0.07,0.28,python,func_traverse
0.07,0.22,python,PyCMethod_New
0.07,0.11,python,_PyObject_Realloc
0.07,0.07,[kernel.kallsyms],smp_call_function_single
0.07,0.07,libmagic.so.1.0.0,0x000000000000f936
0.07,0.07,python,_PyTrash_cond
0.07,0.07,libm-2.31.so,pow
0.07,0.07,_random.cpython-313-x86_64-linux-gnu.so,genrand_uint32
0.06,0.71,python,_PyUnicode_InternInPlace
0.06,0.55,python,_PyCode_New
0.06,0.19,python,dict_dealloc
0.06,0.15,_random.cpython-313-x86_64-linux-gnu.so,_random_Random_getrandbits
0.06,0.13,[kernel.kallsyms],zap_pte_range.isra.0
0.06,0.1,python,PyNumber_Long
0.06,0.07,python,_PyPegen_is_memoized
0.06,0.06,python,PyLong_FromSsize_t
0.06,0.06,python,unicode_dealloc
0.06,0.06,python,PyThreadState_GetUnchecked
0.06,0.06,python,PyObject_Size
0.06,0.06,[kernel.kallsyms],clear_page_erms
0.06,0.06,python,_Py_GetBaseOpcode
0.05,0.53,[kernel.kallsyms],__handle_mm_fault
0.05,0.4,python,PyDict_SetDefault
0.05,0.17,python,unicode_decode_utf8
0.05,0.15,python,PyTuple_New
0.05,0.12,python,PyList_Append
0.05,0.1,python,PyObject_VisitManagedDict
0.05,0.05,[kernel.kallsyms],rmqueue
0.05,0.05,python,PyErr_Occurred
0.05,0.05,libmagic.so.1.0.0,0x000000000000f932
0.05,0.05,python,_Py_CheckFunctionResult
