self,children,object,symbol
39.22,85.18,python,_PyEval_EvalFrameDefault
3.26,3.93,python,_PyObject_Malloc
2.91,3.05,python,_PyObject_Free
2.8,3.22,python,_Py_dict_lookup
2.76,3.6,python,_Py_dict_lookup
1.89,4.81,python,dict_get
1.78,2.55,python,PyObject_RichCompareBool
1.59,1.61,python,unicodekeys_lookup_unicode
1.34,1.38,libc-2.31.so,__nss_database_lookup
1.32,2.17,python,_PyObject_Realloc
1.24,3.2,python,PyDict_GetItemRef
1.18,2.69,python,list_dealloc
1.07,3.06,python,gc_collect_main
1.06,5.02,python,_PyFrame_ClearExceptCode
1.03,2.64,python,insertdict
0.95,3.12,python,PyFunction_NewWithQualName
0.91,0.91,python,PyObject_GC_Del
0.85,0.85,python,PyObject_Hash
0.8,2.27,python,_PyObject_GC_New
0.8,0.96,python,_PyType_Lookup
0.78,1.12,python,tupledealloc
0.75,1.99,python,unsafe_tuple_compare
0.73,0.74,python,long_hash
0.63,3.09,python,_PyList_AppendTakeRefListResize
0.6,3.38,python,gen_dealloc
0.58,3.36,python,list_sort_impl
0.58,0.6,python,visit_decref
0.51,1.18,python,func_dealloc
0.51,0.51,python,_PyObject_GC_Link
0.5,1.73,python,list_iter
0.49,0.49,python,long_richcompare
0.46,0.46,python,long_richcompare
0.44,0.51,python,_PyList_FromArraySteal
0.43,0.54,python,PyObject_RichCompare
0.43,0.45,python,visit_reachable
0.42,0.46,python,func_clear
0.41,0.84,python,_Py_type_getattro
0.4,0.97,python,_PyObject_GC_NewVar
0.39,8.43,python,gen_iternext
0.39,4.31,python,_PyEval_FrameClearAndPop
0.38,0.62,python,_PyTuple_FromArraySteal
0.36,2.19,python,PyObject_GetIter
0.35,1.99,python,free_keys_object
0.34,2.17,python,r_object
0.33,0.89,python,_PyEval_BuiltinsFromGlobals
0.33,0.33,python,listiter_dealloc
0.32,1.12,python,make_gen
0.32,1.0,python,update_one_slot
0.31,0.33,python,PyObject_IsTrue
0.3,6.85,python,builtin_any
0.29,0.32,python,tuple_alloc
0.29,0.3,python,PyObject_GC_UnTrack
0.29,0.29,python,_Py_Dealloc
0.25,0.42,python,tuplesubscript
0.25,0.25,python,find_empty_slot
0.24,0.87,python,find_name_in_mro
0.24,0.48,python,_PyDict_SetItem_Take2
0.24,0.24,python,_PyTrash_begin
0.23,0.33,libc-2.31.so,pthread_attr_setschedparam
0.23,0.31,python,_PyCode_Quicken
