self,children,object,symbol
23.9,79.33,python,_PyEval_EvalFrameDefault
2.01,2.63,python,_PyObject_Malloc
1.79,1.98,python,_PyObject_Free
1.73,4.28,python,_PyFrame_ClearExceptCode
1.4,2.19,python,tupledealloc
1.2,1.6,python,_PyType_Lookup
1.2,1.22,python,unicodekeys_lookup_unicode
1.06,1.13,libc-2.31.so,__nss_database_lookup
0.94,1.18,python,initialize_locals
0.8,1.73,python,_Py_dict_lookup
0.78,1.4,[kernel.kallsyms],zap_pte_range.isra.0
0.72,4.84,python,_PyEval_FrameClearAndPop
0.66,1.89,python,PyObject_GenericGetAttr
0.65,0.86,libc-2.31.so,pthread_attr_setschedparam
0.63,1.9,python,gc_collect_main
0.57,2.46,python,_PyEvalFramePushAndInit
0.54,2.24,python,subtype_dealloc
0.51,2.84,python,PyObject_GetAttr
0.51,0.68,[kernel.kallsyms],psi_task_change
0.5,0.59,python,tuple_alloc
0.49,0.49,[kernel.kallsyms],copy_page
0.45,0.47,python,PyObject_GC_UnTrack
0.45,0.46,[kernel.kallsyms],_raw_spin_lock
0.45,0.46,[kernel.kallsyms],_raw_spin_lock_irqsave
0.44,0.45,[kernel.kallsyms],syscall_return_via_sysret
0.44,0.44,python,PyObject_GC_Del
0.42,0.42,[kernel.kallsyms],native_irq_return_iret
0.4,0.41,[kernel.kallsyms],clear_page_erms
0.4,0.4,[kernel.kallsyms],acpi_os_read_memory
0.38,0.64,python,_Py_type_getattro
0.38,0.38,python,_PyTrash_end
0.38,0.38,libpthread-2.31.so,pthread_mutex_unlock
0.37,1.04,python,PyDict_GetItemRef
0.37,0.82,[kernel.kallsyms],update_cfs_group
0.37,0.37,[vdso],__vdso_clock_gettime
0.36,31.54,python,PyObject_Vectorcall
0.35,0.36,python,visit_decref
0.35,0.35,libpthread-2.31.so,__pthread_mutex_lock
0.32,2.09,python,_PyEval_Vector
0.32,1.12,python,list_dealloc
0.31,0.32,[kernel.kallsyms],switch_fpu_return
0.31,0.31,python,_Py_Dealloc
0.3,0.87,python,_PyObject_GC_New
0.3,0.37,python,_Py_NewReference
0.29,1.56,[kernel.kallsyms],do_sys_poll
0.29,0.99,[kernel.kallsyms],native_write_msr
0.29,0.29,libc-2.31.so,free
0.29,0.29,python,_PyTrash_begin
0.28,0.44,[kernel.kallsyms],reweight_entity
0.27,20.91,[kernel.kallsyms],do_syscall_64
0.27,1.86,python,_PyObject_GenericGetAttrWithDict
