self,children,object,symbol
43.29,85.45,python,_PyEval_EvalFrameDefault
5.14,6.32,python,gen_dealloc
3.61,4.16,python,_PyObject_Malloc
3.36,3.43,libc-2.31.so,__nss_database_lookup
3.2,8.52,python,make_gen
2.88,2.98,python,_PyObject_Free
2.6,6.4,python,_PyObject_GC_NewVar
2.05,2.37,python,_PyFrame_ClearExceptCode
1.8,1.8,python,_PyLong_Subtract
1.59,3.71,python,_PyEval_FrameClearAndPop
1.47,1.48,python,_PyLong_Add
1.36,1.59,python,PyObject_CallFinalizerFromDealloc
1.29,1.29,python,PyObject_GC_Del
1.27,3.71,python,gc_collect_main
1.22,1.25,python,unicodekeys_lookup_unicode
0.98,0.98,python,_PyObject_GC_Link
0.92,0.92,python,_PyCoro_GetAwaitableIter
0.8,8.96,python,_Py_MakeCoro
0.8,3.67,python,_PyFrame_Copy
0.69,0.72,python,visit_decref
0.56,0.57,python,visit_reachable
0.54,1.57,python,_Py_dict_lookup
0.53,0.54,python,_PyThreadState_PopFrame
0.49,0.49,python,_PyGen_Finalize
0.44,0.44,python,_Py_NewReference
0.35,2.62,python,r_object
0.32,0.53,python,tupledealloc
0.3,1.07,python,update_one_slot
0.28,0.47,python,_PyType_Lookup
0.27,0.34,python,_PyCode_Quicken
0.26,0.26,python,PyObject_Malloc
0.23,0.23,python,PyObject_Free
0.22,0.98,python,find_name_in_mro
0.2,0.2,python,_PyUnicode_FromUCS1.part.0
0.19,0.19,python,siphash13
0.18,0.18,python,memcpy@plt
0.18,0.18,python,_PyGen_yf
0.17,0.77,python,_PyDict_GetItem_KnownHash
0.17,0.35,python,_Py_hashtable_get_entry_generic
0.17,0.29,libc-2.31.so,pthread_attr_setschedparam
0.17,0.17,[kernel.kallsyms],native_irq_return_iret
0.16,0.46,python,dict_traverse
0.15,0.52,python,insertdict
0.15,0.33,python,code_dealloc
0.15,0.3,ld-2.31.so,_dl_rtld_di_serinfo
0.14,0.67,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.14,0.45,python,type_ready
0.13,0.19,[kernel.kallsyms],copy_user_enhanced_fast_string
0.13,0.15,python,intern_string_constants
0.12,0.71,python,_PyCode_New
0.12,0.23,python,list_dealloc
0.12,0.2,python,initialize_locals
0.11,0.32,python,PyDict_GetItemRef
0.11,0.11,python,PyObject_IS_GC
0.1,0.24,python,tupletraverse
0.1,0.1,libmagic.so.1.0.0,0x000000000000f936
0.1,0.1,[kernel.kallsyms],smp_call_function_single
0.09,0.1,python,PyObject_GC_UnTrack
0.09,0.09,[kernel.kallsyms],sync_regs
0.08,0.86,python,_PyUnicode_InternInPlace
0.08,0.55,python,free_keys_object
0.08,0.35,python,_PyObject_GenericGetAttrWithDict
0.08,0.16,[kernel.kallsyms],zap_pte_range.isra.0
0.08,0.11,python,set_traverse
0.08,0.08,python,build_indices_unicode
0.07,0.55,python,PyDict_SetDefault
0.07,0.34,python,_PyEvalFramePushAndInit
0.07,0.25,python,_PyObject_GC_New
0.07,0.09,python,tuple_alloc
0.07,0.08,[kernel.kallsyms],__d_lookup_rcu
0.07,0.07,python,PyUnicode_New.part.0
0.07,0.07,python,_Py_GetBaseOpcode
0.07,0.07,[kernel.kallsyms],rmqueue
0.07,0.07,python,PyType_IsSubtype
0.07,0.07,[kernel.kallsyms],clear_page_erms
0.07,0.07,python,unicode_dealloc
0.06,0.18,python,subtype_traverse
0.06,0.12,python,PyObject_VisitManagedDict
0.06,0.11,python,_PyTuple_FromArraySteal
0.06,0.09,python,r_string (inlined)
0.06,0.06,python,_Py_Dealloc
0.06,0.06,python,_PyIO_find_line_ending
0.06,0.06,python,_PyTrash_end
0.06,0.06,python,find_empty_slot
0.05,0.67,python,PyObject_GenericGetAttr
0.05,0.62,[kernel.kallsyms],__handle_mm_fault
0.05,0.41,python,func_dealloc
0.05,0.28,python,func_traverse
0.05,0.25,python,_PyObject_GetMethod
0.05,0.22,python,dict_dealloc
0.05,0.18,python,PyTuple_New
0.05,0.16,python,PyType_GenericAlloc
0.05,0.16,python,PyFunction_NewWithQualName
0.05,0.11,python,type_traverse
0.05,0.09,python,_PyTuple_MaybeUntrack
0.05,0.09,python,_PyObject_Realloc
0.05,0.07,python,ascii_decode
0.05,0.05,libmagic.so.1.0.0,0x000000000000f932
0.05,0.05,[kernel.kallsyms],_raw_spin_lock
0.05,0.05,python,_PyPegen_is_memoized
