self,children,object,symbol
15.41,78.1,python,_PyEval_EvalFrameDefault
6.43,6.43,python,call_instrumentation_vector.part.0
6.03,25.79,tracer.cpython-313-x86_64-linux-gnu.so,CTracer_trace
4.92,5.19,python,unicodekeys_lookup_unicode
2.98,7.22,python,_Py_call_instrumentation_line
2.73,7.02,python,_Py_dict_lookup
2.56,2.7,python,_PyObject_Free
2.46,2.46,python,siphash13
2.32,3.06,python,_PyObject_Malloc
1.73,1.75,python,PyLong_FromLong
1.7,1.78,libc-2.31.so,__nss_database_lookup
1.66,4.73,python,gc_collect_main
1.59,3.55,python,PyDict_GetItem
1.24,2.42,python,_PyObject_GenericSetAttrWithDict
1.15,1.15,python,set_add_entry
0.92,3.46,python,_PyFrame_ClearExceptCode
0.89,0.93,python,visit_decref
0.87,7.25,python,_PyUnicode_InternInPlace
0.86,3.58,python,_Py_hashtable_get_entry_generic
0.83,1.06,python,_PyType_Lookup
0.81,2.84,python,unicode_decode_utf8
0.79,1.6,python,PySet_Add
0.74,2.14,python,frame_dealloc
0.72,0.74,python,visit_reachable
0.66,1.63,python,_PyObject_GC_NewVar
0.65,0.96,python,ascii_decode
0.6,3.24,python,PyDict_SetDefault
0.6,0.6,python,PyObject_Hash
0.59,2.1,python,_Py_call_instrumentation_jump
0.58,22.24,python,sys_trace_start
0.58,1.26,python,sys_trace_return
0.58,0.58,python,PyUnicode_New.part.0
0.57,0.57,python,PyObject_GC_Del
0.49,1.51,python,update_one_slot
0.49,0.49,python,_PyCode_GetCode
0.48,3.3,python,r_object
0.42,2.01,python,PyEval_GetFrame
0.41,3.72,python,_PyEval_FrameClearAndPop
0.41,2.99,python,PyObject_SetAttr
0.4,10.14,python,PyUnicode_InternFromString
0.4,0.7,python,tupledealloc
0.39,1.3,python,find_name_in_mro
0.39,0.39,python,_PyLong_Subtract
0.38,3.73,python,_Py_call_instrumentation_arg
0.38,0.38,python,PyFrame_GetCode
0.36,0.36,tracer.cpython-313-x86_64-linux-gnu.so,CTracer_set_pdata_stack
0.35,0.97,python,_PyDict_LoadGlobal
0.33,0.33,python,_PyType_GetDict
0.32,0.42,python,_PyCode_Quicken
0.32,0.32,python,long_hash
0.32,0.32,python,_Py_CheckFunctionResult
0.31,0.38,python,initialize_locals
0.31,0.31,python,_PyLong_Add
0.3,12.68,python,PyObject_SetAttrString
0.29,0.46,libc-2.31.so,pthread_attr_setschedparam
0.29,0.29,python,_PyTrash_end
0.28,0.28,python,_PyObject_GC_Link
0.28,0.28,python,unicode_dealloc
0.27,1.74,python,_PyFrame_MakeAndSetFrameObject
0.26,2.74,python,hashtable_unicode_hash
0.24,0.25,python,_Py_NewReference
0.24,0.24,python,getset_set
0.23,24.65,python,_Py_call_instrumentation
0.23,0.23,python,_PyTrash_begin
0.23,0.23,tracer.cpython-313-x86_64-linux-gnu.so,DataStack_grow
0.22,3.6,python,_Py_hashtable_get
0.22,0.65,python,dict_traverse
0.21,0.8,python,insertdict
0.21,0.21,python,_PyUnicode_FromUCS1.part.0
0.2,2.71,python,_Py_HashBytes
0.2,0.22,python,intern_string_constants
0.2,0.2,python,frame_settrace
0.2,0.2,python,_Py_Dealloc
0.19,1.39,python,_PyFrame_New_NoTrack
0.19,0.92,python,_PyDict_GetItem_KnownHash
0.19,0.2,python,_PyThreadState_PopFrame
0.19,0.19,python,set_lookkey
0.18,0.67,python,_PyEvalFramePushAndInit
0.17,0.4,python,code_dealloc
0.17,0.18,python,_PyErr_SetRaisedException
0.16,0.66,python,free_keys_object
0.16,0.51,python,type_ready
0.16,0.22,[kernel.kallsyms],copy_user_enhanced_fast_string
0.16,0.16,[kernel.kallsyms],native_irq_return_iret
0.15,0.41,python,PyDict_GetItemRef
0.15,0.36,python,tupletraverse
0.14,0.31,ld-2.31.so,_dl_rtld_di_serinfo
0.14,0.14,python,PyObject_Malloc
0.14,0.14,python,pysiphash
0.13,0.27,python,list_dealloc
0.13,0.14,python,PyObject_IS_GC
0.13,0.13,python,PyErr_GetRaisedException
0.13,0.13,[kernel.kallsyms],sync_regs
0.12,0.6,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.12,0.12,python,PyFrame_GetLasti
0.12,0.12,python,_Py_GetBaseOpcode
0.12,0.12,python,PyUnicode_InternInPlace
0.11,1.05,python,slot_tp_hash
0.11,0.29,python,PyTuple_New
0.11,0.13,python,tuple_alloc
0.11,0.11,python,PyObject_GC_UnTrack
0.1,0.53,python,_PyEval_Vector
0.1,0.19,[kernel.kallsyms],zap_pte_range.isra.0
0.1,0.13,python,_PyThreadState_PushFrame
0.1,0.11,python,_PyPegen_is_memoized
0.1,0.1,[kernel.kallsyms],clear_page_erms
0.1,0.1,[kernel.kallsyms],__d_lookup_rcu
0.1,0.1,python,_PyErr_GetRaisedException
0.1,0.1,python,PyObject_Free
0.1,0.1,python,PyType_IsSubtype
0.1,0.1,python,PyLong_AsSsize_t
0.09,0.85,python,_PyCode_New
0.09,0.4,python,func_traverse
0.09,0.13,python,vgetargs1_impl
0.09,0.09,python,PyErr_SetRaisedException
0.09,0.09,python,build_indices_unicode
0.09,0.09,[kernel.kallsyms],smp_call_function_single
0.09,0.09,python,PyFrame_GetLineNumber
0.09,0.09,tracer.cpython-313-x86_64-linux-gnu.so,0x0000000000002434
0.09,0.09,tracer.cpython-313-x86_64-linux-gnu.so,0x0000000000002364
0.09,0.09,python,clone_combined_dict_keys.isra.0
0.09,0.09,python,_PyTrash_cond
0.08,3.43,python,PyObject_CallOneArg
0.08,0.15,python,_PyObject_Realloc
0.08,0.14,python,_PyTuple_FromArray
0.08,0.14,python,sre_ucs1_match
0.08,0.09,[kernel.kallsyms],copy_pte_range.isra.0
0.08,0.08,libmagic.so.1.0.0,0x000000000000f936
0.08,0.08,python,listiter_next
0.08,0.08,[kernel.kallsyms],rmqueue
0.08,0.08,python,PyThreadState_GetUnchecked
0.07,0.41,python,_PyObject_GenericGetAttrWithDict
0.07,0.3,[kernel.kallsyms],link_path_walk.part.0
0.07,0.24,python,subtype_traverse
0.07,0.19,python,PyType_GenericAlloc
0.07,0.17,python,PyList_Append
0.07,0.15,python,_PyPegen_expect_token
0.07,0.13,python,_PyTuple_MaybeUntrack
0.07,0.07,python,find_empty_slot
0.07,0.07,tracer.cpython-313-x86_64-linux-gnu.so,0x0000000000002594
0.07,0.07,python,sre_ucs2_charset.isra.0
0.06,11.52,python,PyObject_Vectorcall
0.06,1.17,python,PyObject_GetAttr
0.06,0.48,python,func_dealloc
0.06,0.38,python,subtype_dealloc
0.06,0.34,python,dict_dealloc
0.06,0.29,python,_PyObject_GC_New
0.06,0.2,python,_Py_type_getattro
0.06,0.2,python,PyFunction_NewWithQualName
0.06,0.14,python,PyObject_VisitManagedDict
0.06,0.12,python,type_traverse
0.06,0.08,python,tok_get_normal_mode
0.06,0.07,python,_Py_Instrument
0.06,0.07,python,PyDict_SetItem
0.06,0.06,tracer.cpython-313-x86_64-linux-gnu.so,0x0000000000002484
0.06,0.06,libc-2.31.so,malloc
0.06,0.06,[kernel.kallsyms],_raw_spin_lock
0.06,0.06,python,PyErr_Occurred
0.06,0.06,python,r_string
0.05,11.09,python,_PyObject_MakeTpCall
0.05,1.19,python,set_isdisjoint
0.05,0.75,[kernel.kallsyms],__handle_mm_fault
0.05,0.29,python,_PyObject_GetMethod
0.05,0.22,ld-2.31.so,_dl_catch_error
0.05,0.17,python,list_sort_impl
0.05,0.1,python,set_traverse
0.05,0.09,python,do_mkvalue
0.05,0.06,python,_PyIO_find_line_ending
0.05,0.05,python,convertitem.constprop.0
0.05,0.05,[kernel.kallsyms],memset_erms
0.05,0.05,python,memcpy@plt
0.05,0.05,python,PyObject_GenericSetAttr
0.05,0.05,python,tailmatch
0.05,0.05,tracer.cpython-313-x86_64-linux-gnu.so,0x0000000000002480
0.05,0.05,python,type_is_gc
0.05,0.05,python,PyDict_Next
0.05,0.05,python,memcmp@plt
0.05,0.05,tracer.cpython-313-x86_64-linux-gnu.so,0x0000000000002554
0.05,0.05,libmagic.so.1.0.0,0x000000000000f932
0.04,0.76,python,PyObject_GenericGetAttr
0.04,0.22,python,PyIter_Next
0.04,0.13,[kernel.kallsyms],release_pages
0.04,0.12,python,PyDict_GetItemWithError
0.04,0.11,python,PyObject_RichCompareBool
0.04,0.11,[kernel.kallsyms],do_wp_page
0.04,0.09,python,_PyObject_Calloc
0.04,0.09,python,func_clear
0.04,0.09,python,_PyTuple_FromArraySteal
0.04,0.08,python,_PyDict_MaybeUntrack
0.04,0.08,python,_PyCfg_OptimizeCodeUnit
0.04,0.07,[kernel.kallsyms],kmem_cache_alloc
0.04,0.05,python,_PyPegen_update_memo
0.04,0.05,python,code_hash
0.04,0.05,[kernel.kallsyms],find_get_entry
0.04,0.05,[kernel.kallsyms],page_remove_rmap
0.04,0.04,python,dictiter_iternextitem
0.04,0.04,libz.so.1.2.11,inflateBackEnd
0.04,0.04,python,hashtable_unicode_compare
0.04,0.04,python,_PyUnicode_JoinArray.part.0
0.04,0.04,[kernel.kallsyms],free_pcppages_bulk
0.04,0.04,libpthread-2.31.so,pthread_mutex_unlock
0.04,0.04,tracer.cpython-313-x86_64-linux-gnu.so,0x0000000000002440
0.04,0.04,tracer.cpython-313-x86_64-linux-gnu.so,0x0000000000002394
0.04,0.04,libpthread-2.31.so,__pthread_mutex_lock
0.04,0.04,python,_PyUnicode_FromUCS4.part.0
0.04,0.04,python,sre_ucs1_count
0.04,0.04,python,strlen@plt
0.04,0.04,python,long_dealloc
0.04,0.04,tracer.cpython-313-x86_64-linux-gnu.so,0x00000000000024a4
0.04,0.04,python,_PyFunction_Vectorcall
0.04,0.04,python,PyCode_GetCode
0.04,0.04,python,_copy_characters.part.0.constprop.0
0.03,3.91,python,list_extend
0.03,2.55,python,PyObject_IsTrue
0.03,2.3,python,type_new
0.03,0.83,python,PyObject_GetItem
0.03,0.8,[kernel.kallsyms],handle_mm_fault
0.03,0.43,python,PyObject_GetOptionalAttr
0.03,0.33,python,term_rule
0.03,0.23,python,PyBytes_FromStringAndSize
0.03,0.22,python,dict_merge
0.03,0.19,python,_PyPegen_fill_token
0.03,0.17,[kernel.kallsyms],walk_component
0.03,0.16,python,allocate_from_new_pool
0.03,0.16,python,new_keys_object
0.03,0.16,[kernel.kallsyms],lookup_fast
0.03,0.11,python,_PyLong_New
0.03,0.11,python,structseq_dealloc
0.03,0.09,python,list_traverse
0.03,0.08,python,meth_dealloc
0.03,0.08,python,PyUnicode_FromFormatV
0.03,0.08,[kernel.kallsyms],inode_permission
0.03,0.08,[kernel.kallsyms],strncpy_from_user
0.03,0.08,python,insert_to_emptydict
0.03,0.07,python,_PyTuple_ClearFreeList
0.03,0.06,python,_PyList_FromArraySteal
0.03,0.06,python,set_dealloc
0.03,0.06,python,_PyDict_FromItems
0.03,0.06,[kernel.kallsyms],__pagevec_lru_add_fn
0.03,0.06,python,k_mul
0.03,0.05,[kernel.kallsyms],find_vma
0.03,0.05,[kernel.kallsyms],filemap_map_pages
0.03,0.05,libpython3.11.so.1.0,PyObject_Malloc
0.03,0.05,python,_PyObject_GetInstanceAttribute
0.03,0.04,python,_PyUnicode_Equal
0.03,0.04,python,getset_get
0.03,0.03,python,PyUnicode_Contains
0.03,0.03,python,replace
0.03,0.03,python,PySlice_AdjustIndices
0.03,0.03,python,PySequence_Contains
0.03,0.03,python,r_byte
0.03,0.03,python,memset@plt
0.03,0.03,tracer.cpython-313-x86_64-linux-gnu.so,0x0000000000002444
0.03,0.03,libpython3.11.so.1.0,_PyDict_GetItem_KnownHash
0.03,0.03,[kernel.kallsyms],get_mem_cgroup_from_mm
0.03,0.03,tracer.cpython-313-x86_64-linux-gnu.so,0x0000000000002544
0.03,0.03,[kernel.kallsyms],syscall_return_via_sysret
0.03,0.03,python,_PyDict_Next.part.0
