self,children,object,symbol
14.36,45.2,python,_PyEval_EvalFrameDefault
9.94,35.85,python,_PyEval_EvalFrameDefault
5.14,13.27,python,gc_collect_main
2.81,3.92,python,_PyObject_Malloc
2.56,2.62,python,visit_decref
2.49,2.6,python,unicodekeys_lookup_unicode
2.24,2.51,python,_PyObject_Free
1.98,2.02,python,visit_reachable
1.93,2.05,libc-2.31.so,__nss_database_lookup
1.46,3.18,python,tupledealloc
1.4,3.05,python,_PyFrame_ClearExceptCode
1.32,3.55,python,_Py_dict_lookup
1.13,2.03,python,initialize_locals
0.97,1.2,python,_PyType_Lookup
0.65,0.66,python,PyObject_GC_UnTrack
0.58,2.31,python,dict_dealloc
0.56,0.73,libc-2.31.so,pthread_attr_setschedparam
0.55,1.59,python,insertdict
0.51,0.52,python,PyBytes_Repr
0.5,0.55,python,tuple_alloc
0.49,2.66,python,_PyEvalFramePushAndInit
0.49,0.52,python,PyObject_IS_GC
0.48,0.48,python,siphash13
0.47,0.9,python,PyObject_RichCompareBool
0.46,2.02,python,free_keys_object
0.46,1.37,python,PyDict_GetItemRef
0.45,0.57,python,set_traverse
0.41,0.41,python,_Py_NewReference
0.41,0.41,python,PyObject_GC_Del
0.41,0.41,python,_PyTrash_end
0.4,3.37,python,_PyEval_FrameClearAndPop
0.39,1.43,python,list_dealloc
0.39,1.43,python,_PyObject_GC_New
0.35,1.51,python,tupletraverse
0.35,1.05,python,dict_traverse
0.32,0.32,libcrypto.so.1.1,MD4
0.31,0.75,python,_PyObject_GetMethod
0.31,0.74,python,_PyDict_FromItems
0.31,0.32,python,PyBytes_Repr
0.3,0.33,python,_PyPegen_is_memoized
0.3,0.3,python,_PyTrash_begin
0.29,2.03,python,r_object
0.29,0.85,_cmsgpack.cpython-313-x86_64-linux-gnu.so,__pyx_f_7msgpack_9_cmsgpack_6Packer__pack
0.29,0.29,python,_Py_Dealloc
0.28,1.16,python,PyObject_GenericGetAttr
0.28,0.63,python,_Py_hashtable_get_entry_generic
0.28,0.52,python,_PyTuple_FromArray
0.28,0.28,python,PyType_IsSubtype
0.26,1.97,python,_PyEval_Vector
0.26,0.84,python,PyType_GenericAlloc
0.26,0.55,python,_PyTuple_FromArraySteal
0.25,0.5,python,set_dealloc
0.25,0.25,python,setiter_iternext
0.24,2.25,_cmsgpack.cpython-313-x86_64-linux-gnu.so,unpack_execute<true>
0.24,0.88,python,update_one_slot
0.24,0.72,python,PyObject_VisitManagedDict
0.24,0.69,python,dict_merge
0.24,0.24,[vdso],__vdso_clock_gettime
0.23,2.03,python,subtype_dealloc
0.23,0.9,python,find_name_in_mro
0.23,0.33,python,_PyObject_Calloc
0.22,1.84,python,PyObject_GetAttr
0.22,0.27,python,_PyCode_Quicken
0.22,0.23,python,set_lookkey
0.21,0.21,[kernel.kallsyms],native_irq_return_iret
0.2,23.91,python,_PyObject_MakeTpCall
0.2,0.34,python,PyTuple_New
0.2,0.26,python,ascii_decode
0.19,43.46,python,method_vectorcall
0.19,1.36,python,PyObject_IsTrue
0.18,1.03,python,subtype_traverse
0.18,0.6,python,_PyObject_GenericGetAttrWithDict
0.18,0.18,python,_PyObject_GC_Link
0.17,0.81,python,_PyDict_GetItem_KnownHash
0.17,0.35,python,set_update_internal
0.17,0.33,python,_PyObject_Realloc
0.17,0.17,python,vgetargskeywords.constprop.0
0.17,0.17,python,set_add_entry
0.17,0.17,python,PyDict_Next
0.17,0.17,python,quorem
0.17,0.17,python,PyUnicode_New.part.0
0.16,0.52,python,_Py_dg_dtoa
0.16,0.38,python,_Py_type_getattro
0.16,0.2,[kernel.kallsyms],copy_user_enhanced_fast_string
0.16,0.16,libc-2.31.so,malloc
0.15,7.62,python,PyObject_Vectorcall
0.15,0.41,python,insert_to_emptydict
0.15,0.34,python,code_dealloc
0.15,0.16,python,_PyThreadState_PopFrame
0.14,2.41,python,list_extend
0.14,0.49,python,meth_dealloc
0.14,0.44,python,new_keys_object
0.14,0.36,python,_PyPegen_expect_token
0.14,0.24,python,_PyCfg_OptimizeCodeUnit
0.14,0.23,python,tok_get_normal_mode
0.14,0.16,python,_PyThreadState_PushFrame
0.14,0.14,python,PyObject_Hash
0.14,0.14,[kernel.kallsyms],sync_regs
0.14,0.14,python,find_empty_slot
0.14,0.14,python,unicode_dealloc
0.13,1.4,python,_PyUnicode_InternInPlace
0.13,0.41,python,_PyTuple_MaybeUntrack
0.13,0.36,python,PyCMethod_New
0.13,0.13,[kernel.kallsyms],clear_page_erms
0.13,0.13,python,_PyUnicode_FromUCS1.part.0
0.12,0.71,python,func_traverse
0.12,0.65,python,unicode_decode_utf8
0.12,0.65,python,_PyObject_FreeInstanceAttributes
0.12,0.42,python,PyList_New
0.12,0.21,python,PyDict_New
0.12,0.16,python,PyUnicode_RichCompare
0.12,0.14,python,_PyPegen_update_memo
0.12,0.12,python,PyObject_Malloc
0.11,42.8,python,PyObject_Call
0.11,0.26,[kernel.kallsyms],zap_pte_range.isra.0
0.11,0.14,python,PyDict_SetItem
0.11,0.13,[kernel.kallsyms],psi_task_change
0.11,0.13,python,intern_string_constants
0.11,0.11,python,dictiter_iternextitem
0.11,0.11,python,_PyType_GetDict
0.11,0.11,[kernel.kallsyms],__d_lookup_rcu
0.1,0.78,python,func_dealloc
0.1,0.49,python,_PyList_FromArraySteal
0.1,0.46,python,dict_get
0.1,0.38,python,list_traverse
0.1,0.27,python,type_ready
0.1,0.26,python,_PyObject_LookupSpecial
0.1,0.19,_cmsgpack.cpython-313-x86_64-linux-gnu.so,__Pyx_dict_iter_next
0.1,0.11,python,type_is_gc
0.1,0.1,[kernel.kallsyms],_raw_spin_lock
0.1,0.1,python,build_indices_unicode
0.1,0.1,python,PyMem_Calloc
0.1,0.1,python,_Py_CheckFunctionResult
0.1,0.1,python,_PyFunction_Vectorcall
0.1,0.1,python,PyObject_Free
0.09,11.88,python,PyObject_Vectorcall
0.09,4.54,python,map_next
0.09,0.92,python,slot_tp_hash
0.09,0.54,python,slot_sq_contains
0.09,0.38,python,_PyObject_GC_NewVar
0.09,0.31,python,_PyAssemble_MakeCodeObject
0.09,0.23,python,_PyStack_UnpackDict
0.09,0.2,python,type_traverse
0.09,0.09,python,convertitem.constprop.0
0.09,0.09,python,PyThreadState_GetUnchecked
0.09,0.09,python,PyLong_AsSsize_t
0.09,0.09,python,_PyTrash_cond
0.09,0.09,libc-2.31.so,clock_gettime
0.09,0.09,python,clone_combined_dict_keys.isra.0
0.08,9.92,python,type_call
0.08,0.87,python,PyDict_SetDefault
0.08,0.84,python,cfunction_vectorcall_NOARGS
0.08,0.83,[kernel.kallsyms],__handle_mm_fault
0.08,0.16,python,_PyLong_Add
0.08,0.15,python,_PyDict_MaybeUntrack
0.08,0.13,python,tuplerichcompare
0.08,0.13,python,code_hash
0.08,0.12,python,PyLong_FromSsize_t
0.08,0.1,python,diff
0.08,0.09,python,_Py_GetBaseOpcode
0.08,0.08,libpthread-2.31.so,sem_post@@GLIBC_2.2.5
0.08,0.08,libz.so.1.2.11,inflateBackEnd
0.08,0.08,python,PyType_GetModuleByDef
0.08,0.08,python,PySequence_Contains
0.08,0.08,[kernel.kallsyms],rmqueue
0.08,0.08,[kernel.kallsyms],switch_fpu_return
0.08,0.08,python,memset@plt
0.07,55.3,python,context_run
0.07,34.46,python,PyObject_Call
0.07,4.16,python,slot_tp_call
0.07,1.48,python,PyObject_GetOptionalAttr
0.07,0.83,python,primary_rule
0.07,0.53,python,_PyObject_GenericSetAttrWithDict
0.07,0.51,python,PyObject_GetIter
0.07,0.45,python,frame_dealloc
0.07,0.39,python,func_clear
0.07,0.32,python,PyDict_Contains
0.07,0.26,python,PyObject_RichCompare
0.07,0.24,python,PyUnicode_FromFormatV
0.07,0.18,python,method_dealloc
0.07,0.16,python,PyList_Append
0.07,0.12,python,PyLong_FromLong
0.07,0.1,python,PyTuple_Pack
0.07,0.1,python,tok_nextc
0.07,0.09,python,_PyIO_find_line_ending
0.07,0.09,python,getset_get
0.07,0.08,python,listiter_next
0.07,0.07,python,method_get
0.07,0.07,python,long_dealloc
0.07,0.07,python,_PyUnicode_JoinArray.part.0
0.07,0.07,[kernel.kallsyms],copy_pte_range.isra.0
0.07,0.07,python,_PyFunction_Vectorcall
0.07,0.07,python,multadd
0.07,0.07,python,_PyDict_Next.part.0
0.07,0.07,python,float_dealloc
0.07,0.07,python,long_richcompare
0.07,0.07,libpthread-2.31.so,__pthread_mutex_lock
0.07,0.07,libpthread-2.31.so,sem_trywait@@GLIBC_2.2.5
0.07,0.07,python,_Py_HashPointer
0.06,6.29,python,slot_tp_init
0.06,3.23,python,method_vectorcall_VARARGS_KEYWORDS
0.06,1.67,python,dict_update
0.06,1.15,python,PyThread_acquire_lock_timed_with_retries
0.06,0.45,python,_PyPegen_fill_token
0.06,0.25,python,cell_dealloc
0.06,0.22,python,tuplehash
0.06,0.14,ld-2.31.so,_dl_rtld_di_serinfo
0.06,0.11,[kernel.kallsyms],do_wp_page
0.06,0.1,python,_PyTuple_ClearFreeList
0.06,0.08,python,_PyArena_Malloc
0.06,0.08,python,_PyUnicode_Equal
0.06,0.06,python,_PyTime_AsSecondsDouble
0.06,0.06,[kernel.kallsyms],syscall_return_via_sysret
0.06,0.06,libc-2.31.so,free
0.06,0.06,python,PyUnicode_Contains
0.06,0.06,libpthread-2.31.so,pthread_mutex_unlock
0.06,0.06,python,Balloc
0.06,0.06,[kernel.kallsyms],memcg_kmem_get_cache
0.05,1.57,python,cfunction_call
0.05,0.92,python,term_rule
0.05,0.53,python,unicode_hash (inlined)
0.05,0.35,python,PyArg_ParseTupleAndKeywords
0.05,0.27,[kernel.kallsyms],link_path_walk.part.0
0.05,0.24,python,allocate_from_new_pool
0.05,0.22,python,object_new
0.05,0.22,python,tuple_iter
0.05,0.19,python,PyDict_GetItemWithError
0.05,0.17,python,PyFunction_NewWithQualName
0.05,0.17,python,list_sort_impl
0.05,0.16,python,set_iter
0.05,0.13,python,_PyCfg_OptimizedCfgToInstructionSequence
0.05,0.13,python,resize_compact
0.05,0.12,[kernel.kallsyms],update_cfs_group
0.05,0.11,python,_PyObject_GetInstanceAttribute
0.05,0.1,python,do_mkvalue
0.05,0.1,python,sre_ucs1_match
0.05,0.09,python,vgetargs1_impl
0.05,0.08,python,PyFloat_FromDouble
0.05,0.08,[kernel.kallsyms],entry_SYSCALL_64
0.05,0.07,python,delitem_common
0.05,0.06,python,deque_append
0.05,0.05,python,tupleiter_next
0.05,0.05,python,dictiter_iternextvalue
0.05,0.05,python,_copy_characters.part.0.constprop.0
0.05,0.05,[kernel.kallsyms],__switch_to
0.05,0.05,python,PySequence_Contains
0.05,0.05,[kernel.kallsyms],free_pcppages_bulk
0.05,0.05,python,PyUnicode_AsUTF8AndSize
0.05,0.05,[kernel.kallsyms],smp_call_function_single
0.04,13.0,python,object_vacall
0.04,6.1,python,_PyObject_Call_Prepend
0.04,4.03,[kernel.kallsyms],do_syscall_64
0.04,2.99,python,builtin_sum
0.04,1.01,python,shift_expr_rule
0.04,0.96,python,sum_rule
0.04,0.91,[kernel.kallsyms],handle_mm_fault
0.04,0.81,_asyncio.cpython-313-x86_64-linux-gnu.so,future_schedule_callbacks
0.04,0.73,python,PyObject_SetAttr
0.04,0.57,python,take_gil
0.04,0.54,python,_Py_HashBytes
0.04,0.46,[kernel.kallsyms],__schedule
0.04,0.39,python,dictresize
0.04,0.33,python,PyObject_GetIter
0.04,0.31,python,_PyCode_New
0.04,0.27,python,deque_traverse
0.04,0.26,python,object_isinstance
0.04,0.22,python,set_contains
0.04,0.22,python,compiler_visit_expr1
0.04,0.19,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.04,0.17,python,_PyLong_New
0.04,0.16,python,PyObject_ClearWeakRefs
0.04,0.14,python,list_iter
0.04,0.14,_cmsgpack.cpython-313-x86_64-linux-gnu.so,msgpack_pack_write
0.04,0.13,python,PyTraceBack_Here
0.04,0.13,python,PyFunction_NewWithQualName
0.04,0.12,[kernel.kallsyms],release_pages
0.04,0.12,[kernel.kallsyms],update_load_avg
0.04,0.1,[kernel.kallsyms],update_curr
0.04,0.08,python,PyNumber_AsSsize_t
0.04,0.07,python,symtable_visit_expr
0.04,0.07,[kernel.kallsyms],kmem_cache_alloc
0.04,0.07,[kernel.kallsyms],reweight_entity
0.04,0.06,[kernel.kallsyms],find_vma
0.04,0.06,python,_PyPegen_insert_memo
0.04,0.06,[kernel.kallsyms],native_write_msr
0.04,0.05,python,PySequence_Fast
0.04,0.05,_cmsgpack.cpython-313-x86_64-linux-gnu.so,msgpack_pack_raw
0.04,0.04,python,float_richcompare
0.04,0.04,python,PyContext_CopyCurrent
0.04,0.04,[kernel.kallsyms],__update_load_avg_se
0.04,0.04,python,PyUnicode_InternInPlace
0.04,0.04,python,tupleiter_dealloc
0.04,0.04,python,PyArg_UnpackTuple
0.04,0.04,[kernel.kallsyms],mem_cgroup_throttle_swaprate
0.04,0.04,python,list_to_tuple
0.04,0.04,libc-2.31.so,pthread_self
0.04,0.04,[kernel.kallsyms],get_mem_cgroup_from_mm
0.04,0.04,python,PySlice_AdjustIndices
0.04,0.04,[kernel.kallsyms],page_remove_rmap
0.04,0.04,python,_PyErr_SetObject.part.0
0.04,0.04,python,dictiter_iternextkey
0.04,0.04,python,scan_block_for_locals
0.04,0.04,python,PyErr_Occurred
0.04,0.04,python,PyMem_Free
0.04,0.04,python,memcpy@plt
0.03,73.1,python,cfunction_vectorcall_FASTCALL_KEYWORDS
0.03,49.45,_asyncio.cpython-313-x86_64-linux-gnu.so,task_step_impl
0.03,12.14,python,PyImport_ImportModuleLevelObject
0.03,5.1,python,_PyObject_Call_Prepend
0.03,2.47,python,PyObject_CallOneArg
0.03,2.05,python,PyObject_CallOneArg
0.03,1.67,python,PyIter_Next
0.03,1.32,python,type_new
0.03,1.25,python,method_vectorcall_VARARGS
0.03,1.17,python,slot_mp_subscript
0.03,1.15,python,inversion_rule
0.03,1.06,python,lock_PyThread_acquire_lock
0.03,1.02,[kernel.kallsyms],do_user_addr_fault
0.03,0.84,python,PyObject_GetItem
0.03,0.59,python,PyOS_double_to_string
0.03,0.52,[kernel.kallsyms],futex_wait
0.03,0.43,[kernel.kallsyms],futex_wake
0.03,0.38,python,set_vectorcall
0.03,0.32,python,hashtable_unicode_hash
0.03,0.31,python,_PySys_GetSizeOf
0.03,0.3,python,rlock_acquire
0.03,0.28,python,set_add
0.03,0.28,[kernel.kallsyms],__alloc_pages_nodemask
0.03,0.26,python,_PyCode_New
0.03,0.19,python,tb_dealloc
0.03,0.18,python,_PyTime_GetMonotonicClock
0.03,0.18,python,dict_pop
0.03,0.17,[kernel.kallsyms],lookup_fast
0.03,0.15,python,_PyTime_GetSystemClockWithInfo
0.03,0.15,python,dict_subscript
0.03,0.15,python,dictitems_iter
0.03,0.13,python,_PyDict_SetItem_Take2 (inlined)
0.03,0.12,[kernel.kallsyms],pick_next_task_fair
0.03,0.11,python,do_super_lookup
0.03,0.11,ld-2.31.so,_dl_catch_error
0.03,0.1,python,object_richcompare
0.03,0.1,python,dictiter_dealloc
0.03,0.09,python,PyMethod_New
0.03,0.09,python,dictitems_new
0.03,0.08,python,bytearray_ass_subscript
0.03,0.08,python,set_table_resize
0.03,0.08,python,PySequence_Fast
0.03,0.07,_pickle.cpython-313-x86_64-linux-gnu.so,load
0.03,0.07,[kernel.kallsyms],inode_permission
0.03,0.06,python,dict_popitem
0.03,0.06,python,split
0.03,0.05,python,PyFloat_FromDouble
0.03,0.05,python,PyNumber_AsSsize_t
0.03,0.05,[kernel.kallsyms],__pagevec_lru_add_fn
0.03,0.05,python,gen_dealloc
0.03,0.05,python,_PyLong_Subtract
0.03,0.05,python,_PyArg_UnpackKeywords
0.03,0.04,python,hashtable_unicode_compare
0.03,0.04,python,float_div
0.03,0.04,[kernel.kallsyms],kmem_cache_free
0.03,0.04,[kernel.kallsyms],try_charge
0.03,0.04,python,astfold_expr
0.03,0.03,python,PyErr_Occurred
0.03,0.03,[kernel.kallsyms],__fget_light
0.03,0.03,[kernel.kallsyms],rb_erase
0.03,0.03,[kernel.kallsyms],_raw_spin_lock_irqsave
0.03,0.03,libz.so.1.2.11,adler32_combine64
0.03,0.03,python,unicode_repr
0.03,0.03,libpthread-2.31.so,pthread_cond_signal@@GLIBC_2.3.2
0.03,0.03,python,PyUnicode_FromWideChar
0.03,0.03,[kernel.kallsyms],memset_erms
0.03,0.03,[kernel.kallsyms],__update_load_avg_cfs_rq
0.03,0.03,[kernel.kallsyms],native_sched_clock
0.03,0.03,python,context_tp_dealloc
0.03,0.03,python,_PyBuildSlice_ConsumeRefs
0.03,0.03,libpthread-2.31.so,pthread_cond_timedwait@@GLIBC_2.3.2
0.03,0.03,python,setiter_dealloc
0.03,0.03,python,set_clear_internal
0.03,0.03,[e1000e],e1000e_update_stats
0.03,0.03,[kernel.kallsyms],timerqueue_add
0.03,0.03,[kernel.kallsyms],__count_memcg_events
0.03,0.03,[kernel.kallsyms],vmacache_find
0.03,0.03,python,_PyUnicode_FromUCS4.part.0
0.03,0.03,python,pysiphash
0.03,0.03,python,PyObject_Size
0.03,0.03,[kernel.kallsyms],rb_insert_color
0.03,0.03,python,_PyDict_Pop_KnownHash.part.0
0.02,49.57,_asyncio.cpython-313-x86_64-linux-gnu.so,task_step
0.02,30.85,python,PyIter_Send
0.02,30.84,python,PyGen_am_send
0.02,4.09,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe
0.02,3.66,python,gen_iternext
0.02,2.71,python,PyIter_Next
0.02,1.72,python,list_vectorcall
0.02,1.51,[kernel.kallsyms],page_fault
0.02,1.26,python,expression_rule
0.02,1.23,python,PyObject_VectorcallMethod
0.02,1.17,python,conjunction_rule
0.02,1.11,python,bitwise_or_rule
0.02,1.08,python,infinite_lru_cache_wrapper
0.02,1.06,python,bitwise_xor_rule
0.02,1.05,python,method_vectorcall_FASTCALL_KEYWORDS_METHOD
0.02,1.03,python,bitwise_and_rule
0.02,1.02,[kernel.kallsyms],__x64_sys_futex
0.02,0.99,[kernel.kallsyms],do_futex
0.02,0.98,python,zip_next
0.02,0.86,python,PySequence_Tuple
0.02,0.85,python,factor_rule
0.02,0.83,python,await_primary_rule
0.02,0.7,python,PyObject_GetItem
0.02,0.67,python,t_primary_rule
0.02,0.61,python,_Py_hashtable_get
0.02,0.57,python,_PyThreadState_Attach
0.02,0.56,python,atom_rule
0.02,0.5,python,_PyPegen_name_token
