self,children,object,symbol
25.15,89.22,python,_PyEval_EvalFrameDefault
6.7,10.27,python,sre_ucs1_match
5.98,12.58,python,gc_collect_main
3.44,4.04,python,_PyObject_Malloc
3.05,3.11,python,unicodekeys_lookup_unicode
2.7,2.93,python,_PyObject_Free
2.4,4.46,python,_PyType_Lookup
2.15,2.19,python,visit_decref
2.02,2.06,libc-2.31.so,__nss_database_lookup
1.59,1.59,python,sre_ucs2_charset.isra.0
1.46,2.95,python,_PyFrame_ClearExceptCode
1.44,3.16,python,_Py_dict_lookup
1.42,6.11,python,PyObject_GenericGetAttr
1.32,1.33,python,visit_reachable
1.26,2.02,python,list_dealloc
0.87,1.43,python,tupledealloc
0.79,1.33,python,_PyObject_GetInstanceAttribute
0.75,7.07,python,PyObject_GetAttr
0.68,1.12,python,initialize_locals
0.63,0.69,libc-2.31.so,pthread_attr_setschedparam
0.62,0.62,python,PyType_IsSubtype
0.57,1.59,python,list_traverse
0.57,1.56,python,_PyObject_GetMethod
0.55,0.55,python,list_slice.isra.0
0.54,1.26,python,dict_traverse
0.5,2.13,python,_PyObject_GenericGetAttrWithDict
0.5,0.5,python,PyObject_GC_Del
0.47,1.17,python,PyUnicode_Format
0.47,0.47,python,_PyUnicode_JoinArray.part.0
0.47,0.47,python,PyObject_GC_UnTrack
0.46,0.5,python,tuple_alloc
0.45,0.45,python,sre_ucs1_count
0.43,1.58,python,_PyObject_GC_New
0.42,1.97,python,list_extend
0.42,1.01,python,PyObject_VisitManagedDict
0.41,3.24,python,_PyEval_FrameClearAndPop
0.41,0.41,python,_Py_NewReference
0.38,2.14,python,find_name_in_mro
0.38,0.38,python,_copy_characters.part.0.constprop.0
0.37,0.37,python,_PyTrash_end
0.33,1.29,python,subtype_traverse
0.33,0.9,python,PyDict_GetItemRef
0.32,1.56,python,_PyDict_GetItem_KnownHash
0.32,0.93,python,insertdict
0.32,0.71,python,PyType_GenericAlloc
0.32,0.53,python,split
0.31,1.61,python,_PyEvalFramePushAndInit
0.31,1.49,python,_PyObject_GenericSetAttrWithDict
0.3,9.44,python,sre_search
0.29,0.58,python,_Py_type_getattro
0.28,1.06,python,dict_dealloc
0.28,0.44,python,_PyObject_StoreInstanceAttribute
0.27,3.2,python,_PyUnicode_TranslateCharmap
0.27,0.61,python,_PyList_FromArraySteal
