self,children,object,symbol
36.89,89.37,python,_PyEval_EvalFrameDefault
8.32,8.32,python,PySlice_AdjustIndices
5.19,6.16,python,list_ass_slice
5.09,16.81,python,list_subscript
3.71,7.28,python,list_dealloc
3.22,3.24,python,_PyObject_Free
3.01,3.52,python,_PyBuildSlice_ConsumeRefs
2.89,5.23,python,_PyEval_SliceIndex
2.41,2.41,python,slice_dealloc
2.31,3.18,python,PyNumber_AsSsize_t
2.08,2.25,python,_PyObject_Malloc
1.98,2.41,python,PySlice_New
1.94,1.94,python,_Py_NewReference
1.94,1.94,python,_PyLong_Add
1.88,6.09,python,PySlice_Unpack
1.45,12.15,python,list_ass_subscript
1.39,1.39,python,PyLong_AsSsize_t
0.96,17.49,python,PyObject_GetItem
0.93,1.11,python,list_insert
0.69,0.69,python,PyObject_GC_UnTrack
0.63,0.65,libc-2.31.so,__nss_database_lookup
0.62,0.62,python,_PyTrash_end
0.61,0.61,python,PyObject_SetItem
0.6,0.6,python,_PyLong_Subtract
0.55,0.86,python,list_pop
0.55,0.55,python,list_slice.isra.0
0.43,0.43,python,_PyTrash_begin
0.38,1.11,python,gc_collect_main
0.36,0.38,python,PySequence_Fast
0.36,0.37,python,unicodekeys_lookup_unicode
0.25,0.26,python,_PyNumber_Index
0.2,0.21,python,visit_decref
0.18,0.18,python,_PyTrash_cond
0.16,0.46,python,_Py_dict_lookup
0.16,0.16,python,visit_reachable
0.14,0.14,python,PyMem_Malloc
0.13,0.13,python,PyMem_Free
0.12,0.76,python,r_object
0.12,0.12,python,PyThreadState_GetUnchecked
0.1,0.17,python,tupledealloc
0.1,0.15,python,_PyType_Lookup
0.09,0.31,python,update_one_slot
0.09,0.21,python,_PyFrame_ClearExceptCode
0.09,0.09,python,memcpy@plt
0.08,0.12,libc-2.31.so,pthread_attr_setschedparam
0.08,0.1,python,_PyCode_Quicken
0.07,0.29,python,find_name_in_mro
0.07,0.12,python,_Py_hashtable_get_entry_generic
0.05,0.22,python,_PyDict_GetItem_KnownHash
0.05,0.13,python,dict_traverse
0.05,0.08,python,initialize_locals
0.05,0.05,[kernel.kallsyms],smp_call_function_single
0.05,0.05,python,_PyUnicode_FromUCS1.part.0
0.04,0.19,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.04,0.17,python,free_keys_object
0.04,0.17,python,insertdict
0.04,0.11,python,type_ready
0.04,0.1,python,PyDict_GetItemRef
0.04,0.09,python,code_dealloc
0.04,0.05,python,intern_string_constants
0.04,0.04,python,siphash13
0.03,0.23,python,_PyEval_FrameClearAndPop
0.03,0.12,python,_PyEvalFramePushAndInit
0.03,0.08,python,tupletraverse
0.03,0.07,ld-2.31.so,_dl_rtld_di_serinfo
0.03,0.04,[kernel.kallsyms],copy_user_enhanced_fast_string
0.03,0.04,python,_PyIO_find_line_ending
0.03,0.03,python,PyUnicode_New.part.0
0.03,0.03,[kernel.kallsyms],native_irq_return_iret
0.03,0.03,python,_PyUnicode_FromUCS4.part.0
0.03,0.03,python,PyObject_IS_GC
0.03,0.03,python,memmove@plt
0.03,0.03,python,PyObject_GC_Del
0.03,0.03,libmagic.so.1.0.0,0x000000000000f936
0.02,85.57,python,PyObject_Vectorcall
0.02,0.26,python,_PyUnicode_InternInPlace
0.02,0.22,python,PyObject_GenericGetAttr
0.02,0.2,python,_PyCode_New
