self,children,object,symbol
28.25,69.17,python,gc_collect_main
13.82,14.17,python,visit_reachable
12.83,13.45,python,visit_decref
7.87,86.91,python,_PyEval_EvalFrameDefault
4.09,12.49,python,dict_traverse
1.69,6.96,python,func_traverse
1.68,3.57,python,PyObject_VisitManagedDict
1.63,2.8,python,_PyDict_MaybeUntrack
1.63,1.88,python,PyObject_IS_GC
1.48,4.73,python,subtype_traverse
1.44,2.55,python,set_traverse
1.37,1.76,python,_PyObject_Malloc
1.07,1.07,python,type_is_gc
0.9,0.98,python,_PyObject_Free
0.81,2.07,python,type_traverse
0.8,0.82,python,unicodekeys_lookup_unicode
0.72,1.86,python,tupletraverse
0.62,1.65,python,list_traverse
0.62,0.91,python,_PyFrame_ClearExceptCode
0.55,0.58,libc-2.31.so,__nss_database_lookup
0.46,1.24,python,subtype_dealloc
0.4,0.62,python,meth_traverse
0.37,1.58,python,_PyType_NewManagedObject
0.34,1.16,python,_PyEval_FrameClearAndPop
0.3,0.3,python,gc_traverse
0.29,0.95,python,_Py_dict_lookup
0.25,1.15,python,PyObject_ClearManagedDict
0.24,0.24,python,descr_traverse
0.23,1.56,python,r_object
0.23,0.53,python,module_traverse
0.23,0.37,python,tupledealloc
0.21,0.78,python,_PyTuple_MaybeUntrack
0.21,0.35,python,_PyType_Lookup
0.19,0.65,python,update_one_slot
0.19,0.64,python,_PyObject_InitInlineValues
0.19,0.19,python,PyType_IsSubtype
0.18,1.47,python,subtype_clear
0.17,0.24,libc-2.31.so,pthread_attr_setschedparam
0.17,0.17,python,_PyObject_GC_Link
0.17,0.17,python,PyObject_GC_Del
0.16,0.62,python,find_name_in_mro
0.16,0.21,python,_PyCode_Quicken
0.16,0.18,python,_PyThreadState_PopFrame
0.13,0.25,python,_Py_hashtable_get_entry_generic
0.13,0.17,python,PyObject_ClearWeakRefs
0.13,0.14,python,PyLong_FromLong
0.13,0.13,python,siphash13
0.13,0.13,python,_PyTrash_end
0.12,0.18,python,initialize_locals
0.12,0.13,python,PyObject_GC_UnTrack
0.11,0.24,python,list_dealloc
0.1,0.45,python,_PyDict_GetItem_KnownHash
0.1,0.1,python,_PyUnicode_FromUCS1.part.0
0.1,0.1,python,_PyTrash_begin
0.09,0.24,python,type_ready
0.09,0.23,python,code_dealloc
0.09,0.1,python,intern_string_constants
0.09,0.09,[kernel.kallsyms],native_irq_return_iret
0.08,0.34,python,insertdict
0.08,0.22,python,PyDict_GetItemRef
0.08,0.1,[kernel.kallsyms],copy_user_enhanced_fast_string
