self,children,object,symbol
29.24,29.38,python,visit_reachable
19.58,23.23,python,visit_decref
15.96,51.29,python,list_traverse
11.16,73.63,python,gc_collect_main
4.63,85.93,python,_PyEval_EvalFrameDefault
1.65,4.94,python,dict_traverse
0.74,0.87,python,PyObject_IS_GC
0.68,2.91,python,func_traverse
0.66,1.14,python,_PyObject_Malloc
0.66,0.78,python,_PyObject_Free
0.63,1.12,python,_PyDict_MaybeUntrack
0.59,0.6,python,unicodekeys_lookup_unicode
0.57,1.01,python,set_traverse
0.45,0.84,python,PyObject_VisitManagedDict
0.44,0.44,python,type_is_gc
0.42,0.69,python,PyLong_FromLong
0.34,0.88,python,type_traverse
0.34,0.36,libc-2.31.so,__nss_database_lookup
0.32,0.48,python,list_dealloc
0.31,1.12,python,subtype_traverse
0.3,0.79,python,tupletraverse
0.25,0.76,python,_Py_dict_lookup
0.22,0.5,libc-2.31.so,pthread_attr_setschedparam
0.18,0.27,python,tupledealloc
0.17,1.21,python,r_object
0.17,0.67,python,_PyFrame_ClearExceptCode
0.16,0.49,python,update_one_slot
0.16,0.29,python,_PyType_Lookup
0.15,0.23,python,meth_traverse
0.12,0.48,python,find_name_in_mro
0.12,0.39,python,_PyTuple_MaybeUntrack
0.11,0.21,python,_Py_hashtable_get_entry_generic
0.11,0.14,python,_PyCode_Quicken
0.11,0.11,python,descr_traverse
0.11,0.11,python,long_dealloc
0.11,0.11,python,gc_traverse
0.09,0.21,python,module_traverse
0.09,0.09,python,siphash13
0.09,0.09,python,_PyUnicode_FromUCS1.part.0
0.09,0.09,[kernel.kallsyms],native_irq_return_iret
0.08,0.12,python,initialize_locals
0.08,0.08,python,_Py_NewReference
0.08,0.08,[kernel.kallsyms],smp_call_function_single
0.07,0.36,python,_PyDict_GetItem_KnownHash
0.07,0.27,python,insertdict
0.07,0.21,python,type_ready
0.07,0.16,python,code_dealloc
0.07,0.07,python,intern_string_constants
0.07,0.07,[kernel.kallsyms],sync_regs
0.07,0.07,[kernel.kallsyms],clear_page_erms
0.06,0.31,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.06,0.29,python,list_repeat
0.06,0.28,python,free_keys_object
0.06,0.18,python,PyDict_GetItemRef
0.06,0.09,[kernel.kallsyms],copy_user_enhanced_fast_string
0.06,0.06,python,PyUnicode_New.part.0
0.06,0.06,python,_PyIO_find_line_ending
0.06,0.06,python,PyObject_GC_Del
0.05,0.21,python,_PyObject_GenericGetAttrWithDict
0.05,0.13,ld-2.31.so,_dl_rtld_di_serinfo
0.05,0.09,[kernel.kallsyms],zap_pte_range.isra.0
0.05,0.05,python,PyObject_GC_UnTrack
0.05,0.05,python,_PyUnicode_FromUCS4.part.0
0.05,0.05,python,PyObject_Malloc
0.04,0.69,python,_PyEval_FrameClearAndPop
0.04,0.44,python,_PyUnicode_InternInPlace
0.04,0.41,[kernel.kallsyms],__handle_mm_fault
0.04,0.32,python,_PyCode_New
0.04,0.32,python,_PyTrash_end
0.04,0.19,python,_PyEvalFramePushAndInit
0.04,0.14,python,_PyObject_GC_New
0.04,0.14,python,_PyObject_GetMethod
0.04,0.09,python,sre_ucs1_match
0.04,0.07,python,_PyTuple_FromArray
0.04,0.04,python,tuple_alloc
0.04,0.04,python,PyType_IsSubtype
0.04,0.04,libc-2.31.so,malloc
0.04,0.04,[kernel.kallsyms],__d_lookup_rcu
0.04,0.04,python,_Py_GetBaseOpcode
0.04,0.04,python,_Py_Dealloc
0.03,6.02,python,PyObject_Vectorcall
0.03,3.88,python,_PyObject_MakeTpCall
0.03,0.35,python,PyObject_GenericGetAttr
0.03,0.23,python,PyDict_SetDefault
0.03,0.18,python,subtype_dealloc
0.03,0.13,python,dict_dealloc
0.03,0.09,python,_Py_type_getattro
0.03,0.09,python,PyType_GenericAlloc
0.03,0.07,python,PyFunction_NewWithQualName
0.03,0.06,python,_PyObject_Realloc
0.03,0.05,python,sm_traverse
0.03,0.04,python,vgetargs1_impl
0.03,0.04,python,ascii_decode
0.03,0.03,[kernel.kallsyms],rmqueue
0.03,0.03,libmagic.so.1.0.0,0x000000000000f936
0.03,0.03,python,unicode_dealloc
0.03,0.03,libmagic.so.1.0.0,0x000000000000f932
0.03,0.03,[kernel.kallsyms],_raw_spin_lock
0.03,0.03,[kernel.kallsyms],free_pcppages_bulk
0.03,0.03,python,_PyTrash_begin
0.03,0.03,python,find_empty_slot
