self,children,object,symbol
36.2,83.76,python,_PyEval_EvalFrameDefault
5.21,5.21,python,sre_ucs2_charset.isra.0
3.34,7.97,python,gc_collect_main
2.58,3.95,python,_PyObject_Malloc
2.24,2.3,python,unicodekeys_lookup_unicode
1.96,2.27,python,_PyObject_Free
1.52,3.29,python,_Py_dict_lookup
1.51,1.59,libc-2.31.so,__nss_database_lookup
1.28,1.32,python,visit_decref
1.25,2.42,python,_PyFrame_ClearExceptCode
0.97,2.44,python,PyDict_GetItemRef
0.84,0.86,python,visit_reachable
0.72,1.08,python,tupledealloc
0.7,0.7,python,sre_ucs1_count
0.68,1.06,python,PyObject_RichCompareBool
0.67,0.88,python,_PyType_Lookup
0.63,0.74,libc-2.31.so,pthread_attr_setschedparam
0.57,0.66,python,initialize_locals
0.56,2.01,python,PyObject_GenericGetAttr
0.54,1.38,python,insertdict
0.44,1.01,python,list_dealloc
0.43,2.76,python,_PyEval_FrameClearAndPop
0.41,0.5,python,set_lookkey
0.4,2.86,python,_PyUnicode_TranslateCharmap
0.38,2.51,python,r_object
0.36,2.59,python,PyObject_GetAttr
0.36,1.16,python,_PyEvalFramePushAndInit
0.35,3.58,python,PyObject_GetItem
0.35,0.38,python,tuple_alloc
0.34,0.4,python,PyObject_IsTrue
0.34,0.34,python,siphash13
0.33,1.13,python,_PyObject_GC_New
0.33,1.06,python,update_one_slot
0.33,0.64,python,list_subscript
0.32,0.68,python,list_contains
0.32,0.45,python,_PyUnicode_Equal
0.32,0.32,python,PyObject_GC_UnTrack
0.32,0.32,python,PyObject_GC_Del
0.31,1.29,python,sre_ucs1_match
0.3,1.0,python,free_keys_object
0.3,0.38,python,PyNumber_AsSsize_t
0.3,0.3,python,_Py_NewReference
0.28,0.96,python,_PyDict_FromItems
0.28,0.83,python,dict_dealloc
0.28,0.28,python,_PyTrash_end
0.27,0.98,python,find_name_in_mro
0.27,0.66,python,PyType_GenericAlloc
0.27,0.43,python,_PyLong_Add
0.27,0.27,python,PySequence_Contains
0.27,0.27,python,PyType_IsSubtype
0.25,0.25,python,PyUnicode_New.part.0
0.24,0.34,python,_PyCode_Quicken
0.24,0.24,libc-2.31.so,malloc
0.24,0.24,python,unicode_dealloc
0.24,0.24,python,_PyUnicode_JoinArray.part.0
0.24,0.24,python,_PyTrash_begin
0.23,0.59,python,dict_traverse
0.21,2.23,python,_sre_SRE_Pattern_match
