self,children,object,symbol
12.01,19.64,_json.cpython-313-x86_64-linux-gnu.so,scanstring_unicode
7.64,83.66,python,_PyEval_EvalFrameDefault
6.49,50.21,_json.cpython-313-x86_64-linux-gnu.so,scan_once_unicode
6.0,7.82,python,_PyObject_Malloc
5.31,5.31,python,siphash13
4.61,4.63,python,unicodekeys_lookup_unicode
4.31,4.95,python,_PyObject_Free
3.04,13.52,python,PyDict_SetDefault
2.62,7.16,python,insertdict
2.47,5.99,python,_Py_dict_lookup
2.32,3.37,python,PyLong_FromString
2.08,2.13,libc-2.31.so,__nss_database_lookup
2.03,6.25,python,PyUnicode_Substring
2.0,2.15,libc-2.31.so,pthread_attr_setschedparam
1.75,5.06,python,free_keys_object
1.71,1.71,python,PyUnicode_New.part.0
1.48,1.48,python,find_empty_slot
1.19,1.19,python,build_indices_unicode
0.92,0.93,python,PyObject_IS_GC
0.88,0.88,python,PyDict_SetItem
0.85,2.41,python,gc_collect_main
0.74,4.68,python,_sre_SRE_Pattern_match
0.63,0.94,python,tupledealloc
0.63,0.63,python,unicode_dealloc
0.59,1.64,python,new_keys_object
0.55,1.85,python,sre_ucs1_match
0.55,0.55,python,_Py_NewReference
0.54,1.42,python,initialize_locals
0.54,1.0,python,_PyFrame_ClearExceptCode
0.48,1.08,python,PyDict_GetItemRef
0.46,0.48,python,visit_decref
0.46,0.46,libc-2.31.so,malloc
0.45,3.15,python,dictresize
0.42,5.72,python,unicode_hash
0.4,0.4,python,pattern_new_match.isra.0.part.0
0.36,5.31,python,dict_dealloc
0.35,1.18,python,_PyLong_New
0.35,1.05,python,resize_compact
0.35,0.35,python,visit_reachable
0.35,0.35,python,PyObject_Malloc
0.33,0.33,python,_Py_Dealloc
0.32,1.08,python,PyBytes_FromStringAndSize
0.28,0.28,python,convertitem.constprop.0
0.27,0.77,python,_PyObject_GC_NewVar
0.27,0.51,python,_PyObject_Realloc
0.27,0.27,python,vgetargskeywords.constprop.0
0.26,12.64,python,PyObject_Vectorcall
0.26,0.29,python,tuple_alloc
0.26,0.26,python,PyObject_Hash
0.26,0.26,python,_PyUnicodeWriter_Init
0.24,5.54,python,_Py_HashBytes
0.24,0.55,python,insert_to_emptydict
0.24,0.38,python,_PyType_Lookup
0.22,1.53,python,_PyUnicodeWriter_WriteSubstring
0.22,0.34,python,vgetargs1_impl
0.22,0.23,python,PyObject_GC_UnTrack
0.22,0.22,python,long_dealloc
0.21,0.22,python,_PyTrash_end
0.2,1.6,python,r_object
0.2,0.67,python,update_one_slot
0.2,0.24,python,PyUnicode_Splitlines
0.2,0.2,python,PyObject_Free
0.19,1.65,python,_PyEvalFramePushAndInit
0.19,0.38,python,_PyTuple_FromArray
0.19,0.19,python,sre_ucs1_count
0.18,0.35,python,PyTuple_New
0.18,0.29,python,PyDict_New
0.17,0.62,python,find_name_in_mro
0.17,0.22,python,_PyCode_Quicken
0.16,0.42,python,PyLong_FromSsize_t
0.16,0.16,python,pysiphash
0.15,0.2,python,_PyUnicodeWriter_WriteChar
0.15,0.15,python,_PyTrash_begin
0.15,0.15,python,PyObject_GC_Del
0.14,1.11,python,_PyEval_FrameClearAndPop
0.14,0.16,python,PyObject_IsTrue
0.13,51.7,_json.cpython-313-x86_64-linux-gnu.so,scanner_call
0.13,1.06,python,_PyUnicodeWriter_PrepareInternal
0.13,0.53,python,unicode_startswith
0.13,0.22,python,_PyTuple_FromArraySteal
0.13,0.2,[kernel.kallsyms],copy_user_enhanced_fast_string
0.13,0.13,python,_PyUnicode_FromUCS1.part.0
0.13,0.13,python,memcpy@plt
0.12,0.25,python,_Py_hashtable_get_entry_generic
0.12,0.12,python,_copy_characters.part.0.constprop.0
