self,children,object,symbol
13.26,22.07,_json.cpython-313-x86_64-linux-gnu.so,scanstring_unicode
7.11,8.28,python,_PyObject_Malloc
6.99,56.75,_json.cpython-313-x86_64-linux-gnu.so,scan_once_unicode
6.33,6.33,python,siphash13
6.31,6.68,python,unicodekeys_lookup_unicode
5.76,82.51,python,_PyEval_EvalFrameDefault
4.96,5.35,python,_PyObject_Free
3.18,9.45,python,PyUnicode_Substring
2.83,8.19,python,_Py_dict_lookup
2.82,8.74,python,insertdict
2.49,14.26,python,PyDict_SetDefault
2.49,2.49,python,PyUnicode_New.part.0
2.37,2.42,libc-2.31.so,__nss_database_lookup
2.24,3.17,python,PyLong_FromString
1.28,1.28,python,find_empty_slot
0.99,0.99,python,build_indices_unicode
0.92,1.0,libc-2.31.so,pthread_attr_setschedparam
0.9,3.84,python,free_keys_object
0.89,2.6,python,gc_collect_main
0.83,0.83,python,PyDict_SetItem
0.79,0.79,python,unicode_dealloc
0.74,0.75,python,PyObject_IS_GC
0.6,0.6,python,_Py_NewReference
0.51,0.53,python,visit_decref
0.46,0.7,python,tupledealloc
0.45,6.72,python,unicode_hash
0.44,0.44,python,_Py_Dealloc
0.42,0.42,python,_PyUnicodeWriter_Init
0.39,2.32,python,_sre_SRE_Pattern_match
0.37,0.76,python,_PyFrame_ClearExceptCode
0.37,0.37,python,PyObject_Malloc
0.35,0.76,python,PyList_Append
0.34,0.35,python,visit_reachable
0.34,0.34,libc-2.31.so,malloc
0.33,1.5,python,new_keys_object
0.33,0.83,python,initialize_locals
0.31,0.67,python,PyDict_GetItemRef
0.29,6.59,python,_Py_HashBytes
0.29,0.97,python,_PyLong_New
0.29,0.92,python,sre_ucs1_match
0.28,2.82,python,dictresize
0.28,1.16,python,PyBytes_FromStringAndSize
0.27,2.99,python,list_dealloc
0.27,0.27,python,PyObject_Hash
0.26,1.83,python,r_object
0.25,0.42,python,_PyObject_Realloc
0.24,0.42,python,_PyType_Lookup
0.23,0.23,python,pattern_new_match.isra.0.part.0
0.23,0.23,python,PyObject_Free
0.2,3.89,python,dict_dealloc
0.2,0.71,python,find_name_in_mro
0.19,0.71,python,update_one_slot
0.19,0.19,python,convertitem.constprop.0
0.18,0.22,python,_PyCode_Quicken
0.17,0.18,python,PyObject_GC_UnTrack
0.16,0.16,_json.cpython-313-x86_64-linux-gnu.so,0x0000000000002674
0.16,0.16,python,pysiphash
0.15,0.44,python,_PyObject_GC_NewVar
0.15,0.15,python,memcpy@plt
0.15,0.15,python,long_dealloc
0.14,0.4,python,insert_to_emptydict
0.14,0.29,python,_Py_hashtable_get_entry_generic
0.14,0.22,python,vgetargs1_impl
0.14,0.14,_json.cpython-313-x86_64-linux-gnu.so,0x0000000000002464
0.14,0.14,python,_PyTrash_end
0.13,1.01,python,_PyEvalFramePushAndInit
0.13,0.32,python,PyTuple_New
0.13,0.14,python,sre_ucs1_count
0.13,0.13,python,vgetargskeywords.constprop.0
0.12,0.14,python,tuple_alloc
0.11,74.99,python,PyObject_Vectorcall
0.11,0.85,python,_PyEval_FrameClearAndPop
0.11,0.53,python,_PyDict_GetItem_KnownHash
0.11,0.25,python,code_dealloc
0.11,0.19,python,_PyTuple_FromArray
0.11,0.11,python,_PyTrash_begin
0.11,0.11,python,_PyUnicode_FromUCS1.part.0
0.11,0.11,python,PyObject_GC_Del
0.1,0.45,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.1,0.33,python,dict_traverse
0.09,0.29,python,type_ready
0.09,0.17,python,PyLong_FromSsize_t
0.09,0.15,python,PyList_New
0.09,0.14,python,PyDict_New
0.09,0.1,python,intern_string_constants
0.09,0.09,[kernel.kallsyms],native_irq_return_iret
0.08,0.15,python,_PyTuple_FromArraySteal
0.08,0.12,[kernel.kallsyms],copy_user_enhanced_fast_string
0.08,0.08,libc-2.31.so,free
0.08,0.08,_json.cpython-313-x86_64-linux-gnu.so,0x00000000000025c4
0.08,0.08,_json.cpython-313-x86_64-linux-gnu.so,0x0000000000002544
0.08,0.08,python,_PyUnicode_FromUCS4.part.0
0.07,62.65,python,_PyObject_MakeTpCall
0.07,0.67,python,_PyUnicode_InternInPlace
0.07,0.16,ld-2.31.so,_dl_rtld_di_serinfo
0.07,0.07,python,_PyIO_find_line_ending
0.07,0.07,[kernel.kallsyms],sync_regs
0.06,0.28,python,unicode_startswith
0.06,0.09,python,set_traverse
0.06,0.08,python,PyObject_IsTrue
0.06,0.06,_json.cpython-313-x86_64-linux-gnu.so,0x0000000000002414
0.06,0.06,[kernel.kallsyms],smp_call_function_single
0.06,0.06,python,PyErr_Occurred
0.06,0.06,[kernel.kallsyms],__d_lookup_rcu
0.06,0.06,python,PyType_IsSubtype
0.05,2.23,python,cfunction_vectorcall_FASTCALL_KEYWORDS_METHOD
0.05,0.81,python,PyObject_GetAttr
0.05,0.63,python,method_vectorcall_VARARGS
0.05,0.45,python,_PyCode_New
0.05,0.23,python,match_dealloc
0.05,0.14,python,tupletraverse
0.05,0.12,python,allocate_from_new_pool
0.05,0.08,python,_PyTuple_MaybeUntrack
0.05,0.05,libmagic.so.1.0.0,0x000000000000f936
0.05,0.05,python,memset@plt
0.05,0.05,python,_Py_GetBaseOpcode
0.05,0.05,libmagic.so.1.0.0,0x000000000000f932
0.05,0.05,python,_PyObject_GC_Link
0.05,0.05,python,_PyType_GetDict
0.05,0.05,python,PyBool_FromLong
0.04,57.04,_json.cpython-313-x86_64-linux-gnu.so,scanner_call
0.04,0.53,python,PyObject_GenericGetAttr
0.04,0.26,python,_PyObject_GenericGetAttrWithDict
