self,children,object,symbol
27.91,47.27,python,tuplehash
15.38,80.94,python,_PyEval_EvalFrameDefault
13.78,13.79,python,PyObject_Hash
10.4,10.41,python,long_hash
5.82,8.89,python,_Py_dict_lookup
2.95,4.42,python,PyObject_RichCompareBool
1.83,2.85,python,tuplerichcompare
1.24,1.25,python,_PyObject_Free
1.18,1.24,python,_PyObject_Malloc
1.14,35.27,python,dict_subscript
0.92,1.02,python,_PyLong_GCD
0.77,0.78,libc-2.31.so,__nss_database_lookup
0.72,6.35,python,PyDict_GetItemRef
0.63,1.56,python,_PyFrame_ClearExceptCode
0.62,0.62,python,unicodekeys_lookup_unicode
0.49,36.19,python,gen_iternext
0.47,0.73,python,tupledealloc
0.45,32.41,python,builtin_sum
0.42,0.45,python,set_lookkey
0.4,0.71,python,subtype_dealloc
0.36,1.78,python,insertdict
0.33,35.51,python,PyObject_GetItem
0.33,0.98,python,PyFunction_NewWithQualName
0.32,0.33,python,_PyType_Lookup
0.31,0.37,python,PyFloat_FromDouble
0.26,0.26,python,PyObject_GC_Del
0.25,0.77,python,_PyObject_GC_New
0.23,0.99,python,do_super_lookup
0.23,0.31,python,long_div
0.22,0.22,python,_Py_NewReference
0.21,2.31,python,_PyEval_FrameClearAndPop
0.21,0.36,python,_PyLong_Multiply
0.19,0.25,python,PyLong_FromLong
0.19,0.2,python,unicode_hash (inlined)
0.18,35.92,python,PyIter_Next
0.18,0.23,python,gen_dealloc
0.17,7.77,python,_PyObject_MakeTpCall
0.17,0.44,python,gc_collect_main
0.17,0.22,python,initialize_locals
0.16,0.19,python,tuple_alloc
0.15,0.34,python,func_clear
0.15,0.15,python,_PyObject_GC_Link
0.14,0.14,python,_PyTrash_end
0.14,0.14,python,_Py_Dealloc
0.14,0.14,python,PyObject_GC_UnTrack
0.14,0.14,python,PyObject_SetItem
0.13,5.29,python,dict_ass_sub
0.13,4.98,python,min_max
0.13,0.47,python,func_dealloc
0.13,0.37,python,PyType_GenericAlloc
0.13,0.34,python,_Py_type_getattro
0.12,0.39,python,_PyObject_GC_NewVar
0.12,0.2,python,_PyTuple_FromArraySteal
0.11,0.52,python,PyObject_GetIter
0.11,0.37,python,_PyObject_GetMethod
0.11,0.26,python,PyObject_GenericGetAttr
0.11,0.19,python,_PyTuple_FromArray
0.11,0.11,python,PyType_IsSubtype
0.11,0.11,python,vgetargskeywords.constprop.0
0.1,1.1,math.cpython-313-x86_64-linux-gnu.so,math_gcd
0.1,0.37,python,PyNumber_FloorDivide
0.1,0.34,python,_PyEvalFramePushAndInit
0.1,0.1,python,_PyTrash_begin
0.09,0.81,python,tp_new_wrapper
0.09,0.17,python,float_add
0.09,0.09,python,vectorcall_maybe.constprop.0
0.09,0.09,python,visit_decref
