self,children,object,symbol
17.52,85.74,python,_PyEval_EvalFrameDefault
4.5,5.28,python,_PyObject_Malloc
4.22,4.44,python,_PyObject_Free
1.63,1.65,python,unicodekeys_lookup_unicode
1.39,1.43,libc-2.31.so,__nss_database_lookup
1.31,2.99,python,_PyFrame_ClearExceptCode
1.25,1.25,[kernel.kallsyms],__d_lookup_rcu
1.18,2.49,python,initialize_locals
1.17,1.17,libpthread-2.31.so,__pthread_mutex_lock
1.15,1.3,python,_PyType_Lookup
1.01,1.38,[kernel.kallsyms],__ext4fs_dirhash
0.97,1.74,[kernel.kallsyms],ext4_htree_store_dirent
0.96,2.74,python,gc_collect_main
0.93,0.93,libpthread-2.31.so,pthread_mutex_unlock
0.91,0.92,[kernel.kallsyms],memset_erms
0.85,2.16,python,_Py_dict_lookup
0.85,1.2,python,tupledealloc
0.8,3.43,python,_PyEvalFramePushAndInit
0.72,1.47,python,PyDict_GetItemRef
0.68,2.3,python,_PyLong_New
0.67,0.68,python,_Py_NewReference
0.62,1.34,[kernel.kallsyms],strncpy_from_user
0.62,1.12,python,sre_ucs1_match
0.62,0.81,[kernel.kallsyms],filldir64
0.6,1.71,python,subtype_dealloc
0.58,0.66,libc-2.31.so,pthread_attr_setschedparam
0.56,0.56,python,_Py_Dealloc
0.55,1.23,python,k_mul
0.53,0.84,python,_Py_type_getattro
0.52,3.37,python,_PyEval_FrameClearAndPop
0.51,1.52,python,list_dealloc
0.51,0.53,python,visit_decref
0.5,0.5,python,_PyUnicode_JoinArray.part.0
0.49,0.53,python,tuple_alloc
0.47,2.02,[kernel.kallsyms],link_path_walk.part.0
0.46,0.49,[kernel.kallsyms],copy_user_enhanced_fast_string
0.45,0.87,python,_PyTuple_FromArraySteal
0.44,0.46,[kernel.kallsyms],__slab_free
0.44,0.44,[kernel.kallsyms],syscall_return_via_sysret
0.43,0.57,[kernel.kallsyms],kmem_cache_alloc
0.42,4.61,python,fill_time
0.42,1.99,python,take_gil
0.42,0.58,[kernel.kallsyms],security_inode_getattr
0.4,0.4,[kernel.kallsyms],__virt_addr_valid
0.39,0.4,[kernel.kallsyms],rb_next
0.39,0.39,[kernel.kallsyms],rb_insert_color
0.38,0.58,[kernel.kallsyms],entry_SYSCALL_64
0.38,0.39,[kernel.kallsyms],str2hashbuf_signed
0.37,0.96,python,_PyObject_GenericGetAttrWithDict
0.36,2.26,python,_PyEval_Vector
0.36,2.08,python,slot_tp_str
0.36,0.42,[kernel.kallsyms],ext4_getattr
0.35,2.21,python,structseq_dealloc
0.35,2.05,python,_sre_SRE_Pattern_match
0.35,0.35,python,visit_reachable
0.34,0.34,python,long_dealloc
0.34,0.34,python,PyObject_GC_Del
0.33,0.38,python,_PyArg_UnpackKeywords
0.33,0.35,python,PyFloat_FromDouble
0.33,0.33,python,_PyTrash_end
0.32,1.43,python,do_super_lookup
0.32,0.82,python,x_add
