self,children,object,symbol
40.73,88.73,python,_PyEval_EvalFrameDefault
4.49,4.66,python,_PyObject_Malloc
3.48,3.52,python,_PyObject_Free
3.26,6.41,python,_PyFrame_ClearExceptCode
2.19,2.21,python,_PyType_Lookup
2.11,3.63,python,tupledealloc
1.8,2.53,python,_Py_type_getattro_impl
1.72,1.85,libc-2.31.so,__nss_database_lookup
1.49,2.15,python,_Py_type_getattro
1.36,1.36,python,_PyUnicode_JoinArray.part.0
1.15,1.24,python,_Py_dict_lookup
1.11,3.36,python,long_to_decimal_string_internal
1.08,1.77,python,_PyTuple_FromArraySteal
0.99,1.14,python,tuple_alloc
0.98,0.98,python,set_lookkey
0.96,4.45,python,PyUnicode_Format
0.84,7.06,python,_PyEval_FrameClearAndPop
0.69,1.51,python,resize_compact
0.64,0.64,python,_PyTrash_end
0.6,0.6,python,_copy_characters.part.0.constprop.0
0.59,0.6,python,initialize_locals
0.59,0.59,python,_Py_NewReference
0.54,0.99,python,subtype_dealloc
0.53,1.79,python,list_dealloc
0.53,0.53,python,PyObject_GC_UnTrack
0.51,0.51,python,PyUnicode_New.part.0
0.5,0.5,python,_PyTrash_begin
0.48,0.92,python,_PyObject_Realloc
0.48,0.49,python,PyObject_IsSubclass
0.47,10.34,python,list_sort_impl
0.46,1.77,python,PyObject_GenericGetAttr
0.45,1.11,python,_PyEvalFramePushAndInit
0.45,1.04,python,PyCMethod_New
0.45,0.64,python,PyErr_CheckSignals
0.44,0.44,python,PySequence_Contains
0.43,4.14,python,PyObject_GetAttr
0.43,0.43,python,_PyUnicodeWriter_WriteSubstring.part.0
0.42,1.47,python,_PyObject_GC_New
0.42,0.74,python,list_append
0.4,0.4,python,long_hash
0.39,0.39,python,PyObject_GC_Del
0.38,0.97,python,insertdict
0.36,2.7,python,PyObject_GetOptionalAttr
0.36,0.7,python,PyType_GenericAlloc
0.35,1.04,python,_PyLong_New
0.35,0.35,python,_Py_Dealloc
0.34,5.9,python,_PyObject_MakeTpCall
0.33,0.99,python,PyUnicode_New
0.33,0.33,python,unicode_dealloc
0.32,4.21,python,PyObject_Repr
0.32,0.32,python,_PyThreadState_PopFrame
0.31,1.2,python,set_contains
0.3,1.26,python,_PyEval_Vector
0.3,0.53,python,_PyTuple_FromArray
0.3,0.42,python,_PyList_FromArraySteal
0.3,0.3,python,PyObject_Hash
0.28,2.04,python,slot_tp_richcompare
0.27,2.71,python,slot_tp_init
0.27,2.24,python,meth_dealloc
0.27,0.27,python,PyType_IsSubtype
0.26,0.26,python,wrapperdescr_get
0.25,0.44,python,recursive_issubclass
0.24,2.79,python,builtin_getattr
0.24,0.24,python,PyObject_Malloc
0.24,0.24,python,PyDescr_IsData
0.23,0.97,python,_PyUnicodeWriter_PrepareInternal
0.23,0.4,python,unicode_repr
0.22,2.43,python,_PyObject_Call_Prepend
0.22,0.22,python,delitem_common
0.22,0.22,python,PyObject_DelItem
0.21,0.29,python,PyThread_get_thread_ident
0.2,0.77,python,builtin_issubclass
0.2,0.2,python,_PyTrash_cond
0.19,0.43,python,list_iter
0.19,0.19,python,_PyObject_GC_Link
0.18,0.18,python,_PyArg_UnpackKeywords
0.17,0.71,python,_PyDict_DelItem_KnownHash
0.17,0.17,python,PyObject_Free
0.16,0.57,python,_PyUnicodeWriter_WriteStr
0.16,0.22,python,PyTuple_Pack
0.16,0.16,python,_PyLong_Add
0.16,0.16,python,sys_audit_tstate
0.15,87.05,python,PyObject_Vectorcall
0.15,1.45,python,PyObject_RichCompareBool
0.15,0.15,python,listiter_next
0.15,0.15,python,memcpy@plt
0.14,12.2,python,builtin_sorted
0.14,3.78,python,type_call
0.14,0.28,python,dict_ass_sub
0.14,0.22,python,dictiter_iternextitem
0.13,1.77,python,unicode_join
0.13,0.13,python,_PyThreadState_PushFrame
0.13,0.13,python,PyThreadState_GetUnchecked
0.12,6.6,python,PyObject_CallOneArg
0.12,3.34,python,long_to_decimal_string
0.12,0.79,python,object_new
0.12,0.2,python,PyTuple_GetSlice
0.12,0.15,python,PyList_New
0.12,0.12,python,tupleiter_next
0.12,0.12,python,_PyFunction_Vectorcall
0.12,0.12,python,PyBool_FromLong
0.11,4.47,python,PyNumber_Remainder
0.11,1.26,python,PyObject_GetIter
0.11,0.62,python,PyDict_Contains
0.11,0.42,python,PyLong_FromVoidPtr
0.11,0.34,python,gc_collect_main
0.11,0.12,python,unicodekeys_lookup_unicode
0.11,0.11,python,find_empty_slot
0.1,0.4,python,tuple_iter
0.1,0.2,python,PySys_Audit
