self,children,object,symbol
33.93,89.19,python,_PyEval_EvalFrameDefault
11.42,14.07,python,sre_ucs1_match
4.57,8.19,python,gc_collect_main
2.62,4.59,python,_PyObject_Malloc
2.34,3.03,python,_PyObject_Free
2.21,2.32,libc-2.31.so,pthread_attr_setschedparam
2.09,3.34,python,_Py_dict_lookup
1.64,1.67,python,unicodekeys_lookup_unicode
1.24,1.26,python,visit_decref
1.14,1.37,python,_PyFrame_ClearExceptCode
1.12,2.74,python,PyDict_GetItemRef
1.12,1.13,python,visit_reachable
1.12,1.12,python,PySlice_AdjustIndices
1.1,1.11,libc-2.31.so,__nss_database_lookup
0.99,2.36,python,subtype_traverse
0.91,0.92,python,initialize_locals
0.85,0.9,python,_PyType_Lookup
0.82,3.0,python,subtype_dealloc
0.82,1.09,python,list_ass_slice
0.82,0.82,python,pattern_new_match.isra.0.part.0
0.79,15.51,python,_sre_SRE_Pattern_match
0.76,0.76,python,sre_ucs1_count
0.57,1.2,python,_PyObject_GenericGetAttrWithDict
0.54,1.57,python,_PyEvalFramePushAndInit
0.51,3.49,python,list_dealloc
0.47,1.43,python,dict_get
0.47,1.12,python,_PyObject_FreeInstanceAttributes
0.45,1.71,python,_PyEval_FrameClearAndPop
0.44,1.2,python,PyType_GenericAlloc
0.44,0.58,python,PyNumber_AsSsize_t
0.43,0.43,python,PyObject_GC_UnTrack
0.43,0.43,python,sre_ucs2_charset.isra.0
0.42,1.59,python,list_subscript
0.4,21.48,python,PyObject_Vectorcall
0.4,0.4,python,_Py_NewReference
0.38,0.38,libc-2.31.so,malloc
0.36,0.46,python,long_neg
0.36,0.42,python,PySlice_New
0.33,2.26,python,slot_mp_ass_subscript
0.32,0.33,python,slice_dealloc
0.32,0.32,python,PySequence_Contains
0.31,2.5,python,list_ass_subscript
0.3,0.58,python,_PyObject_GetMethod
0.3,0.4,python,tupledealloc
0.3,0.3,python,list_slice.isra.0
0.29,7.42,python,_PyObject_MakeTpCall
0.28,0.84,python,_PyObject_InitializeDict
0.27,0.57,python,_PyEval_SliceIndex
0.26,0.67,python,PySlice_Unpack
0.25,0.68,python,PyObject_GenericGetAttr
0.25,0.53,python,insertdict
0.24,1.17,python,_PyEval_Vector
0.23,0.23,python,PyType_IsSubtype
0.22,0.22,python,PyLong_AsSsize_t
0.22,0.22,python,PyObject_GC_Del
0.21,5.91,python,type_call
0.21,2.09,python,object_new
0.21,0.22,python,PyObject_ClearWeakRefs
0.21,0.21,python,_PyTrash_end
0.21,0.21,python,PyUnicode_Contains
0.2,0.28,python,_PyBuildSlice_ConsumeRefs
0.19,1.3,python,PyObject_GetOptionalAttr
0.19,0.26,python,getset_get
0.18,0.71,python,_PyDict_FromItems
0.18,0.58,python,free_keys_object
0.18,0.41,python,list_traverse
0.18,0.23,python,_PyObject_Realloc
0.18,0.18,python,PyNumber_Negative
0.18,0.18,python,_Py_Dealloc
0.18,0.18,python,_PyObject_GC_Link
0.17,1.78,python,PyObject_GetItem
0.17,0.86,python,PyObject_GetAttr
0.17,0.4,python,_PyStack_UnpackDict
0.17,0.28,python,vgetargs1_impl
0.17,0.17,python,PyObject_Hash
0.17,0.17,python,_PyLong_Subtract
0.16,3.25,python,_PyObject_Call_Prepend
0.16,0.18,python,PyObject_IsTrue
0.16,0.17,python,_PyThreadState_PopFrame
0.16,0.16,python,_PyThreadState_PushFrame
0.16,0.16,python,_PyTrash_begin
0.15,18.19,python,method_vectorcall_FASTCALL_KEYWORDS_METHOD
0.15,1.21,python,object_isinstance
0.15,0.15,python,convertitem.constprop.0
0.15,0.15,python,PyObject_SetItem
0.14,3.27,python,slot_tp_init
0.14,0.66,python,dict_dealloc
0.14,0.15,python,tuple_alloc
0.14,0.14,python,PyObject_DelItem
0.14,0.14,python,_PyFunction_Vectorcall
0.13,2.57,python,_sre_SRE_Pattern_match
0.13,0.7,python,vectorcall_method
0.13,0.33,python,_PyObject_GC_NewVar
0.13,0.13,python,_PyType_GetDict
0.12,0.46,python,_PyObject_GC_New
0.12,0.33,python,PyLong_FromSsize_t
0.12,0.21,python,_PyObject_GetInstanceAttribute
0.12,0.12,python,PyObject_IS_GC
0.12,0.12,python,long_hash
0.11,1.28,python,method_vectorcall_VARARGS
0.11,0.23,python,_PyTuple_FromArray
0.11,0.11,python,long_dealloc
0.11,0.11,python,siphash13
0.11,0.11,python,_Py_CheckFunctionResult
0.1,0.54,python,PyDict_Contains
0.1,0.24,python,insert_to_emptydict
0.1,0.1,python,PyErr_Occurred
0.1,0.1,libc-2.31.so,free
0.1,0.1,python,PyDict_Next
0.09,0.19,python,PyObject_IsInstance
0.09,0.09,python,PyObject_Malloc
0.09,0.09,python,memset@plt
0.08,0.39,python,_PyEval_EvalFrameDefault
0.08,0.15,python,_PyLong_Add
0.08,0.08,python,PyObject_GC_Track
0.07,0.27,python,list_iter
0.07,0.22,python,match_getslice_by_index
0.07,0.19,python,dict_traverse
0.07,0.18,python,PyUnicode_Substring
0.07,0.15,python,any_find_slice
0.07,0.07,python,PyMem_Free
0.06,0.23,python,match_dealloc
0.06,0.22,python,_PyList_FromArraySteal
0.06,0.15,python,new_keys_object
0.06,0.09,python,PyTuple_New
0.06,0.06,python,listiter_dealloc
0.06,0.06,python,_PyTrash_cond
0.06,0.06,python,find_empty_slot
0.06,0.06,python,PyDescr_IsData
0.05,0.77,python,slot_sq_length
0.05,0.6,python,unicode_rfind
0.05,0.36,python,PyObject_GetIter
0.05,0.34,python,r_object
0.05,0.24,python,_PyLong_New
0.05,0.18,python,dict_vectorcall
0.05,0.15,python,update_one_slot
0.05,0.13,python,PyList_New
0.05,0.09,python,type_is_gc
0.05,0.06,python,_PyObject_Calloc
0.05,0.05,python,PyMem_Malloc
0.05,0.05,python,listreviter_next
0.05,0.05,python,_PyNumber_Index
0.05,0.05,python,PyThreadState_GetUnchecked
0.05,0.05,python,PyObject_Size
0.05,0.05,python,object_init
0.04,0.32,python,builtin_getattr
0.04,0.31,python,match_group
0.04,0.31,python,PyArg_ParseTuple
0.04,0.16,python,find_name_in_mro
0.04,0.09,python,PyObject_RichCompareBool
0.04,0.04,python,_PyCode_Quicken
0.04,0.04,python,PyObject_Free
0.04,0.04,python,PyUnicode_New.part.0
0.04,0.04,python,unicode_dealloc
0.04,0.04,[kernel.kallsyms],native_irq_return_iret
0.03,0.16,python,_Py_HashBytes
0.03,0.12,python,_PyDict_GetItem_KnownHash
0.03,0.09,python,meth_dealloc
0.03,0.07,python,PyObject_VisitManagedDict
0.03,0.06,python,_PyObject_LookupSpecial
0.03,0.05,python,_Py_hashtable_get_entry_generic
0.03,0.04,[kernel.kallsyms],copy_user_enhanced_fast_string
0.03,0.03,python,memcpy@plt
0.03,0.03,python,object_get_class
0.03,0.03,python,_PyMem_RawMalloc
0.03,0.03,python,PyMember_GetOne
0.03,0.03,python,PyBool_FromLong
0.03,0.03,python,_sre_SRE_Match_end
0.03,0.03,python,PyMem_Realloc
