self,children,object,symbol
44.63,90.72,python,_PyEval_EvalFrameDefault
3.91,5.25,python,list_ass_slice
3.85,5.63,python,list_dealloc
3.78,4.59,python,_PyObject_Free
2.96,5.25,python,_PyObject_Malloc
2.95,3.67,python,list_concat
2.39,2.44,libc-2.31.so,pthread_attr_setschedparam
2.26,2.82,python,PyNumber_AsSsize_t
1.73,1.73,python,list_slice.isra.0
1.41,1.46,libc-2.31.so,__nss_database_lookup
1.15,2.15,python,_PyFrame_ClearExceptCode
1.13,2.19,python,_PyLong_Add
1.05,1.24,python,_PyLong_Subtract
1.01,1.01,python,PyLong_AsSsize_t
0.91,0.91,python,PySlice_AdjustIndices
0.85,2.4,python,list_sort_impl
0.83,1.81,python,stringlib_bytes_join
0.81,1.45,python,long_lshift
0.74,0.75,python,_Py_NewReference
0.73,3.12,python,bytes_subscript
0.71,0.89,python,_PyBuildSlice_ConsumeRefs
0.68,2.69,python,_PyEval_FrameClearAndPop
0.6,7.3,python,PyObject_GetItem
0.6,0.6,python,unsafe_long_compare
0.58,0.7,python,long_lshift1
0.51,0.51,python,long_dealloc
0.49,1.24,python,PyLong_FromSsize_t
0.45,0.96,python,_PyLong_New
0.43,0.78,python,slice_dealloc
0.4,1.09,python,gc_collect_main
0.4,0.4,python,PyBuffer_Release
0.38,1.14,python,_PyEval_SliceIndex
0.38,0.39,python,unicodekeys_lookup_unicode
0.35,1.44,python,PyNumber_Lshift
0.35,0.37,python,long_and
0.34,0.59,python,long_rshift
0.33,0.65,python,_PyBytes_FromList
0.26,1.27,python,PySlice_Unpack
0.26,0.51,python,PyNumber_And
0.26,0.26,python,PyObject_Malloc
0.25,3.72,python,list_subscript
0.25,0.27,python,long_rshift1
0.24,0.25,python,_PyThreadState_PopFrame
0.23,0.7,python,enum_next
0.22,0.3,python,gallop_left
0.21,0.21,python,visit_decref
0.21,0.21,libc-2.31.so,malloc
0.2,0.37,python,PyLong_FromLong
0.2,0.3,python,gallop_right
0.18,0.49,python,_Py_dict_lookup
0.18,0.39,python,_PyObject_GetMethod
0.18,0.25,python,_PyType_Lookup
0.17,0.69,python,PyNumber_Rshift
0.17,0.17,python,striter_next
0.17,0.17,python,PyObject_Free
