self,children,object,symbol
39.97,86.34,python,_PyEval_EvalFrameDefault
3.48,4.7,python,sre_ucs1_match
3.45,4.02,python,_PyObject_Malloc
3.07,3.23,python,_PyObject_Free
1.86,4.73,python,_PyFrame_ClearExceptCode
1.46,1.54,libc-2.31.so,__nss_database_lookup
1.27,1.47,python,PyNumber_AsSsize_t
1.17,2.22,python,tupledealloc
1.08,1.11,python,unicodekeys_lookup_unicode
1.06,1.22,python,_PyType_Lookup
0.98,2.72,python,gc_collect_main
0.77,2.01,python,bytearray_ass_subscript
0.73,0.73,python,sre_ucs2_charset.isra.0
0.68,1.2,python,PyLong_FromLong
0.62,5.21,python,_PyEval_FrameClearAndPop
0.61,1.8,python,list_dealloc
0.58,0.72,python,initialize_locals
0.58,0.65,python,tuple_alloc
0.56,1.47,python,_Py_dict_lookup
0.54,5.18,python,sre_search
0.5,0.5,python,PyObject_GC_Del
0.49,1.18,python,_PyObject_GenericGetAttrWithDict
0.49,0.49,python,PyUnicode_Contains
0.47,0.49,python,visit_decref
0.46,1.86,python,PyObject_GenericGetAttr
0.45,0.45,python,PyObject_SetItem
0.44,0.44,python,_Py_NewReference
0.44,0.44,python,PyObject_GC_UnTrack
0.42,1.42,python,_PyObject_GC_New
0.42,0.53,libc-2.31.so,pthread_attr_setschedparam
0.4,2.14,python,min_max
0.39,0.4,python,visit_reachable
0.38,0.38,python,PySequence_Contains
0.37,0.37,python,PyLong_AsLongAndOverflow
0.36,1.14,python,_PyEvalFramePushAndInit
0.36,0.56,python,_PyObject_Realloc
0.35,0.78,python,list_append
0.34,0.34,python,siphash13
0.33,0.34,python,PyType_IsSubtype
0.33,0.33,python,_PyTrash_end
0.3,0.3,python,_Py_Dealloc
0.3,0.3,python,_PyTrash_begin
0.3,0.3,python,set_lookkey
0.3,0.3,python,PyLong_AsSsize_t
0.29,0.57,python,_PyTuple_FromArray
0.29,0.31,python,sre_ucs1_count
0.29,0.3,python,_PyLong_Add
0.28,0.62,python,_PyTuple_FromArraySteal
0.28,0.28,python,vgetargskeywords.constprop.0
0.27,1.8,python,r_object
0.26,10.78,python,_PyObject_MakeTpCall
0.26,0.37,python,compute_range_length
0.24,2.31,python,PyObject_GetAttr
0.24,0.24,python,_PyObject_GC_Link
0.23,1.38,python,subtype_dealloc
0.23,0.71,python,update_one_slot
0.23,0.48,python,PyObject_RichCompareBool
0.23,0.24,python,_PyThreadState_PopFrame
0.23,0.23,python,long_dealloc
0.23,0.23,python,PyObject_Malloc
0.21,0.55,python,PyType_GenericAlloc
0.2,0.63,python,PyDict_GetItemRef
0.2,0.27,python,_PyUnicode_Equal
0.2,0.2,python,_PyType_GetDict
0.19,1.28,python,PyObject_GetOptionalAttr
0.19,1.24,python,PyObject_GetIter
0.19,1.06,python,_PyEval_Vector
0.19,0.67,python,find_name_in_mro
0.19,0.19,python,long_richcompare
0.19,0.19,python,PyLong_AsUnsignedLong
0.18,3.44,python,slot_sq_item
0.18,1.2,python,object_isinstance
0.18,0.5,python,set_contains
0.18,0.43,python,frame_dealloc
0.18,0.37,python,_PyList_FromArraySteal
0.18,0.19,python,_validate_inner
0.17,13.99,python,PyObject_Vectorcall
0.17,0.21,python,_PyCode_Quicken
0.17,0.17,python,PyObject_Free
0.17,0.17,python,PyObject_Size
0.16,0.53,python,meth_dealloc
0.16,0.18,python,PyLong_FromString
0.15,1.46,python,PyNumber_And
0.15,0.15,python,PyObject_Hash
0.14,2.36,python,PyObject_GetItem
0.14,0.44,python,tuple_iter
0.14,0.34,python,PyTraceBack_Here
0.14,0.3,python,_Py_hashtable_get_entry_generic
0.14,0.21,python,getset_get
0.14,0.15,python,long_and
0.13,1.09,python,_PyObject_FreeInstanceAttributes
0.13,1.06,python,vectorcall_method
0.13,0.52,python,PyObject_IsInstance
0.13,0.51,python,_PyObject_GC_NewVar
0.13,0.28,python,PyIter_Next
0.13,0.13,python,PyLong_FromSsize_t
0.13,0.13,python,_Py_CheckFunctionResult
0.13,0.13,python,_PyTrash_cond
0.12,0.38,python,PyMethod_New
0.11,0.47,python,_PyDict_GetItem_KnownHash
0.11,0.41,python,insertdict
0.11,0.32,python,type_ready
0.11,0.32,python,dict_traverse
0.11,0.25,python,_Py_type_getattro
0.11,0.19,python,range_iter
0.11,0.11,python,_PyUnicode_FromUCS1.part.0
0.11,0.11,python,intern_string_constants
0.11,0.11,python,PyErr_Occurred
0.11,0.11,python,_PyLong_Subtract
0.11,0.11,python,long_hash
0.1,0.62,python,PyObject_IsTrue
0.1,0.49,python,free_keys_object
0.1,0.44,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.1,0.1,python,BaseException_init
0.1,0.1,libc-2.31.so,malloc
0.1,0.1,python,_PyFunction_Vectorcall
0.09,6.03,python,type_call
0.09,0.48,python,_sre_compile
0.09,0.31,python,PyCMethod_New
0.09,0.27,python,list_iter
0.09,0.25,python,tuplehash
0.09,0.23,python,code_dealloc
0.09,0.19,ld-2.31.so,_dl_rtld_di_serinfo
0.09,0.18,python,method_dealloc
0.09,0.15,python,vgetargs1_impl
0.09,0.12,[kernel.kallsyms],copy_user_enhanced_fast_string
0.09,0.11,python,_PyThreadState_PushFrame
0.09,0.09,python,tupleiter_next
0.09,0.09,python,tupleiter_dealloc
0.09,0.09,python,_PyIO_find_line_ending
0.09,0.09,python,PyUnicode_New.part.0
0.09,0.09,[kernel.kallsyms],native_irq_return_iret
0.09,0.09,python,long_add
0.09,0.09,python,PyThreadState_GetUnchecked
0.08,1.16,python,slot_sq_length
0.08,0.53,python,range_subscript
0.08,0.46,python,PyArg_ParseTupleAndKeywords
0.08,0.45,python,tb_dealloc
0.08,0.23,python,dict_dealloc
0.08,0.19,python,PyNumber_Add
0.08,0.16,python,_PyObject_GetInstanceAttribute
0.08,0.09,python,PyObject_IS_GC
0.08,0.08,python,unicode_dealloc
0.08,0.08,python,_PyErr_SetObject.part.0
0.07,3.28,python,slot_tp_init
0.07,2.6,python,cfunction_call
0.07,1.68,python,pattern_subx
0.07,0.7,python,_PyUnicode_InternInPlace
0.07,0.33,python,_PyObject_GetMethod
0.07,0.32,python,_PyObject_New
0.07,0.08,python,_PyBuildSlice_ConsumeRefs
0.07,0.07,python,PySlice_AdjustIndices
0.07,0.07,[kernel.kallsyms],sync_regs
0.07,0.07,python,listiter_dealloc
0.06,4.6,python,_PyObject_Call_Prepend
0.06,4.05,python,iter_iternext
0.06,2.56,python,list_extend
0.06,0.71,python,BaseException_clear
0.06,0.59,python,list_subscript
0.06,0.29,python,_PyList_AppendTakeRefListResize
0.06,0.17,python,tupletraverse
0.06,0.13,python,PyTuple_New
0.06,0.12,[kernel.kallsyms],zap_pte_range.isra.0
0.06,0.11,python,_PySlice_GetLongIndices
0.06,0.11,python,PyNumber_Multiply
0.06,0.08,python,PySlice_New
0.06,0.06,python,PyDescr_IsData
0.06,0.06,[kernel.kallsyms],__d_lookup_rcu
0.06,0.06,[kernel.kallsyms],smp_call_function_single
0.06,0.06,python,builtin_ord
0.06,0.06,python,listiter_next
0.06,0.06,python,convertitem.constprop.0
0.06,0.06,python,pattern_new_match.isra.0.part.0
0.06,0.06,python,PyBool_FromLong
0.05,3.77,python,_sre_SRE_Pattern_search
0.05,0.44,python,_PyCode_New
0.05,0.28,python,object_new
0.05,0.23,python,find_internal
0.05,0.22,python,unicode_decode_utf8
0.05,0.15,python,PyObject_RichCompare
0.05,0.13,python,PyList_New
0.05,0.09,python,_PyObject_Calloc
0.05,0.07,python,ascii_decode
0.05,0.06,python,list_repeat
0.05,0.06,python,method_get
0.05,0.05,python,_PyUnicode_FromUCS4.part.0
0.05,0.05,python,PySequence_GetItem
0.05,0.05,python,find_empty_slot
0.05,0.05,python,_PyPegen_is_memoized
0.05,0.05,python,object_get_class
0.05,0.05,libmagic.so.1.0.0,0x000000000000f936
0.05,0.05,python,_Py_GetBaseOpcode
0.05,0.05,[kernel.kallsyms],clear_page_erms
0.05,0.05,python,list_length
0.05,0.05,python,PyObject_GC_Track
0.05,0.05,libmagic.so.1.0.0,0x000000000000f932
0.05,0.05,[kernel.kallsyms],copy_pte_range.isra.0
0.04,1.2,python,PyObject_CallOneArg
0.04,0.84,python,BaseException_dealloc
0.04,0.46,[kernel.kallsyms],__handle_mm_fault
0.04,0.39,python,PyDict_SetDefault
0.04,0.32,python,range_vectorcall
0.04,0.28,python,unicode_subscript
0.04,0.28,python,BaseException_new
0.04,0.24,python,PyDict_Contains
0.04,0.2,python,func_traverse
0.04,0.18,python,dict_get
0.04,0.16,python,new_keys_object
0.04,0.13,python,subtype_traverse
0.04,0.13,python,insert_to_emptydict
0.04,0.11,python,PyList_Append
0.04,0.1,python,_PyDict_FromItems
0.04,0.09,python,_PyEval_SliceIndex
0.04,0.09,python,_PyObject_LookupSpecial
0.04,0.07,python,set_traverse
0.04,0.05,python,slice_dealloc
