self,children,object,symbol
32.94,38.1,python,sre_ucs1_match
26.09,26.09,python,sre_ucs2_charset.isra.0
7.33,81.31,python,_PyEval_EvalFrameDefault
6.44,53.87,python,sre_search
3.03,3.03,libm-2.31.so,__fmod_finite
1.45,2.85,_bisect.cpython-313-x86_64-linux-gnu.so,_bisect_bisect_right
1.24,1.36,libc-2.31.so,__nss_database_lookup
0.97,6.36,python,pattern_subx
0.74,3.85,python,float_rem
0.71,2.08,python,gc_collect_main
0.67,1.25,python,_PyObject_Malloc
0.66,0.67,python,unicodekeys_lookup_unicode
0.6,0.61,python,float_richcompare
0.49,0.64,python,_PyObject_Free
0.44,0.44,python,float_dealloc
0.43,0.45,python,float_div
0.43,0.43,python,list_item
0.42,1.29,python,stringlib_bytes_join
0.4,0.49,libc-2.31.so,pthread_attr_setschedparam
0.39,0.41,python,visit_decref
0.36,0.63,python,bytearray_ass_subscript
0.29,0.84,python,_Py_dict_lookup
0.27,0.27,python,visit_reachable
0.25,0.25,python,PyBuffer_Release
0.21,0.47,python,_PyFrame_ClearExceptCode
0.2,1.37,python,r_object
0.2,0.2,python,_Py_NewReference
0.19,0.31,python,tupledealloc
0.19,0.3,python,_PyType_Lookup
0.18,0.44,python,list_dealloc
0.18,0.18,python,PyLong_AsLongAndOverflow
0.16,0.21,python,PyNumber_AsSsize_t
0.16,0.17,python,PyLong_FromLong
0.15,0.57,python,update_one_slot
0.15,0.15,python,PyObject_SetItem
0.15,0.15,python,PySequence_Size
0.14,0.56,python,find_name_in_mro
0.14,0.53,python,PyNumber_TrueDivide
0.14,0.19,python,PyFloat_FromDouble
0.14,0.14,python,Py_EnterRecursiveCall
0.13,3.92,python,PyNumber_Remainder
0.13,0.21,python,PyList_Append
0.13,0.18,python,_PyCode_Quicken
0.12,0.12,python,siphash13
0.11,0.22,python,_Py_hashtable_get_entry_generic
0.11,0.17,python,initialize_locals
0.11,0.11,[kernel.kallsyms],smp_call_function_single
0.11,0.11,python,Py_LeaveRecursiveCall
0.11,0.11,[kernel.kallsyms],native_irq_return_iret
0.11,0.11,python,PyBool_FromLong
0.1,0.1,python,_PyUnicode_FromUCS1.part.0
0.09,0.63,python,PyBytes_FromStringAndSize
0.09,0.26,python,dict_traverse
0.09,0.19,python,code_dealloc
0.08,0.42,python,_PyDict_GetItem_KnownHash
0.08,0.09,python,PyLong_FromSsize_t
0.08,0.08,python,PyLong_AsSsize_t
0.08,0.08,[kernel.kallsyms],clear_page_erms
0.08,0.08,python,_Py_Dealloc
0.07,0.31,python,free_keys_object
0.07,0.3,python,insertdict
0.07,0.21,python,type_ready
0.07,0.08,python,intern_string_constants
0.07,0.07,python,PyErr_Occurred
0.07,0.07,[kernel.kallsyms],sync_regs
0.06,0.51,python,_PyUnicode_InternInPlace
0.06,0.25,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.06,0.14,ld-2.31.so,_dl_rtld_di_serinfo
0.06,0.1,[kernel.kallsyms],zap_pte_range.isra.0
0.06,0.08,[kernel.kallsyms],copy_user_enhanced_fast_string
0.06,0.06,python,_PyUnicode_FromUCS4.part.0
0.06,0.06,python,_PyIO_find_line_ending
0.06,0.06,python,PyObject_GC_UnTrack
0.06,0.06,python,PyObject_IS_GC
0.06,0.06,[kernel.kallsyms],__d_lookup_rcu
0.05,0.28,python,PyDict_SetDefault
0.05,0.26,python,_PyEvalFramePushAndInit
0.05,0.17,python,PyDict_GetItemRef
0.05,0.12,python,tupletraverse
0.05,0.09,python,_PyObject_Realloc
0.05,0.05,libm-2.31.so,fmod
