self,children,object,symbol
50.95,85.26,python,_PyEval_EvalFrameDefault
5.04,5.08,python,unicodekeys_lookup_unicode
3.83,5.36,python,_PyType_Lookup
2.75,3.22,python,_PyFrame_ClearExceptCode
2.43,7.58,python,PyObject_GenericGetAttr
1.75,4.28,python,_PyObject_GetMethod
1.75,3.63,python,_PyObject_GetInstanceAttribute
1.45,4.36,python,_PyEval_FrameClearAndPop
1.27,3.63,python,gc_collect_main
1.24,8.37,python,PyObject_GetAttr
1.17,1.77,python,_PyObject_Malloc
1.03,1.14,python,_PyObject_Free
0.95,1.0,libc-2.31.so,__nss_database_lookup
0.93,2.41,python,_Py_dict_lookup
0.71,0.72,python,visit_decref
0.65,0.75,python,initialize_locals
0.55,0.56,python,_PyThreadState_PopFrame
0.48,0.49,python,visit_reachable
0.47,2.24,python,find_name_in_mro
0.47,1.77,python,_PyDict_GetItem_KnownHash
0.43,0.43,python,_PyType_GetDict
0.4,1.25,python,_PyEvalFramePushAndInit
0.38,0.6,python,tupledealloc
0.37,1.4,python,_PyObject_GenericSetAttrWithDict
0.33,2.26,python,r_object
0.29,0.89,python,update_one_slot
0.28,0.49,python,_PyObject_StoreInstanceAttribute
0.27,0.4,libc-2.31.so,pthread_attr_setschedparam
0.25,0.4,python,_PyLong_Add
0.22,1.75,python,PyObject_SetAttr
0.22,0.28,python,_PyCode_Quicken
0.21,0.97,python,_PyUnicode_InternInPlace
0.2,0.38,python,_Py_hashtable_get_entry_generic
0.18,0.18,python,siphash13
0.16,0.57,python,insertdict
0.16,0.44,python,dict_traverse
0.16,0.16,python,_PyUnicode_FromUCS1.part.0
0.15,0.33,python,code_dealloc
0.14,0.31,python,list_dealloc
0.14,0.16,python,intern_string_constants
0.14,0.14,python,_Py_NewReference
0.13,0.61,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.13,0.32,python,PyDict_GetItemRef
0.12,0.24,ld-2.31.so,_dl_rtld_di_serinfo
0.12,0.12,python,PyErr_Occurred
0.12,0.12,python,PyObject_GC_UnTrack
0.12,0.12,python,_PyIO_find_line_ending
0.12,0.12,python,PyUnicode_New.part.0
0.11,0.55,python,free_keys_object
0.11,0.37,python,type_ready
0.11,0.37,python,_Py_Specialize_LoadAttr
0.11,0.14,python,_PyThreadState_PushFrame
0.11,0.11,python,long_dealloc
0.11,0.11,python,PyObject_GC_Del
0.11,0.11,[kernel.kallsyms],native_irq_return_iret
0.1,0.18,python,_PyLong_Subtract
0.1,0.15,python,PyLong_FromLong
0.1,0.11,python,tuple_alloc
0.1,0.1,[kernel.kallsyms],sync_regs
0.09,0.13,[kernel.kallsyms],copy_user_enhanced_fast_string
0.09,0.09,python,PyObject_IS_GC
0.09,0.09,[kernel.kallsyms],clear_page_erms
0.09,0.09,[kernel.kallsyms],__d_lookup_rcu
0.09,0.09,python,_Py_Dealloc
0.09,0.09,libmagic.so.1.0.0,0x000000000000f936
0.09,0.09,python,memset@plt
0.08,0.3,python,func_traverse
0.08,0.19,python,analyze_descriptor
0.08,0.14,python,long_div
0.08,0.13,python,_PyTuple_FromArray
0.08,0.08,python,_PyTrash_end
0.08,0.08,[kernel.kallsyms],smp_call_function_single
0.08,0.08,python,PyType_IsSubtype
0.08,0.08,python,_PyUnicode_FromUCS4.part.0
0.07,74.63,python,PyObject_Vectorcall
0.07,0.38,python,subtype_dealloc
0.07,0.26,python,dict_dealloc
0.07,0.23,python,tupletraverse
0.07,0.17,python,sre_ucs1_match
0.07,0.14,[kernel.kallsyms],zap_pte_range.isra.0
0.07,0.09,python,ascii_decode
0.07,0.07,python,PyObject_Malloc
0.07,0.07,python,_Py_GetBaseOpcode
0.06,0.61,python,_PyCode_New
0.06,0.58,[kernel.kallsyms],__handle_mm_fault
0.06,0.36,python,_PyObject_GenericGetAttrWithDict
0.06,0.3,python,_PyObject_GC_New
0.06,0.17,python,PyFunction_NewWithQualName
0.06,0.17,python,PyTuple_New
0.06,0.14,python,_PyObject_Realloc
0.06,0.1,python,set_traverse
0.06,0.09,python,vgetargs1_impl
0.06,0.06,[kernel.kallsyms],rmqueue
0.06,0.06,python,sre_ucs1_count
0.06,0.06,python,_PyUnicode_JoinArray.part.0
0.06,0.06,python,unicode_dealloc
0.06,0.06,python,PyUnicode_InternInPlace
0.06,0.06,python,build_indices_unicode
0.06,0.06,python,_PyTrash_begin
0.05,0.48,python,PyDict_SetDefault
0.05,0.45,python,PyObject_GetOptionalAttr
0.05,0.21,[kernel.kallsyms],link_path_walk.part.0
0.05,0.18,python,_Py_type_getattro
0.05,0.18,python,PyObject_IsInstance
0.05,0.18,python,PyType_GenericAlloc
0.05,0.15,python,subtype_traverse
0.05,0.14,python,meth_dealloc
0.05,0.13,python,PyList_Append
0.05,0.11,python,PyNumber_And
0.05,0.1,python,type_traverse
0.05,0.1,python,PyObject_VisitManagedDict
0.05,0.08,python,_PyCfg_OptimizeCodeUnit
0.05,0.06,python,PyDict_SetItem
0.05,0.06,[kernel.kallsyms],copy_pte_range.isra.0
0.05,0.05,python,_PyPegen_is_memoized
0.05,0.05,libc-2.31.so,malloc
0.05,0.05,python,_PyObject_GC_Link
0.05,0.05,python,set_lookkey
0.05,0.05,python,long_and
0.05,0.05,libmagic.so.1.0.0,0x000000000000f932
0.05,0.05,python,find_empty_slot
0.05,0.05,python,PyObject_Free
0.04,0.38,python,func_dealloc
0.04,0.28,python,PyObject_GetIter
0.04,0.27,python,_PyEval_Vector
0.04,0.19,python,_PyObject_FreeInstanceAttributes
0.04,0.19,python,unicode_decode_utf8
0.04,0.19,python,_PyObject_GC_NewVar
0.04,0.12,python,PyObject_RichCompareBool
0.04,0.11,python,_PyTuple_FromArraySteal
0.04,0.1,[kernel.kallsyms],release_pages
0.04,0.08,python,_PyTuple_MaybeUntrack
0.04,0.08,python,frame_dealloc
0.04,0.08,python,_PyDict_FromItems
0.04,0.07,python,_PyObject_Calloc
0.04,0.07,python,func_clear
0.04,0.07,python,PyList_New
0.04,0.04,[kernel.kallsyms],_raw_spin_lock
0.04,0.04,python,_PyDict_MaybeUntrack
0.04,0.04,python,_PyFunction_Vectorcall
0.04,0.04,python,PyDict_Next
0.03,8.03,python,_PyObject_MakeTpCall
0.03,6.09,python,type_call
0.03,0.7,python,PyObject_GetItem
0.03,0.63,[kernel.kallsyms],handle_mm_fault
0.03,0.52,python,PyObject_VectorcallMethod
0.03,0.27,python3.8,_PyEval_EvalFrameDefault
0.03,0.18,ld-2.31.so,_dl_catch_error
0.03,0.14,python,allocate_from_new_pool
0.03,0.13,python,new_keys_object
0.03,0.12,python,dict_merge
0.03,0.11,python,PyCMethod_New
0.03,0.11,python,PyUnicode_FromFormatV
0.03,0.09,python,_PyPegen_expect_token
0.03,0.08,python,list_traverse
0.03,0.07,python3.8,PyOS_strtoul
0.03,0.07,python,_PyDict_LoadGlobal
0.03,0.06,python,r_string (inlined)
0.03,0.05,python,_PyTuple_ClearFreeList
0.03,0.05,[kernel.kallsyms],kmem_cache_alloc
0.03,0.05,python,range_iter
0.03,0.04,[kernel.kallsyms],filemap_map_pages
0.03,0.04,[kernel.kallsyms],page_remove_rmap
