self,children,object,symbol
51.0,85.62,python,_PyEval_EvalFrameDefault
4.94,4.97,python,unicodekeys_lookup_unicode
3.89,4.43,python,_PyType_Lookup
2.82,3.24,python,_PyFrame_ClearExceptCode
2.23,6.38,python,PyObject_GenericGetAttr
1.85,4.26,python,_PyObject_GetMethod
1.69,3.58,python,_PyObject_GetInstanceAttribute
1.59,4.52,python,_PyEval_FrameClearAndPop
1.27,7.28,python,PyObject_GetAttr
1.17,3.35,python,gc_collect_main
1.1,1.21,python,_PyObject_Free
1.07,1.61,python,_PyObject_Malloc
0.88,2.17,python,_Py_dict_lookup
0.85,0.89,libc-2.31.so,__nss_database_lookup
0.71,1.36,python,PyDict_GetItemRef
0.6,1.99,python,_PyObject_GenericSetAttrWithDict
0.6,0.62,python,visit_decref
0.59,0.89,python,_PyObject_StoreInstanceAttribute
0.56,0.57,python,_PyThreadState_PopFrame
0.54,1.55,python,do_super_lookup
0.52,0.6,python,initialize_locals
0.45,0.47,python,visit_reachable
0.41,2.42,python,PyObject_SetAttr
0.39,0.39,python,_PyType_GetDict
0.36,1.78,python,_PySuper_Lookup
0.36,1.07,python,_PyEvalFramePushAndInit
0.35,0.55,python,tupledealloc
0.34,2.21,python,r_object
0.3,1.21,python,find_name_in_mro
0.27,0.41,python,_PyLong_Add
0.24,1.0,python,_PyUnicode_InternInPlace
0.24,0.88,python,update_one_slot
0.22,0.9,python,_PyDict_GetItem_KnownHash
0.21,0.28,python,_PyCode_Quicken
0.2,0.32,libc-2.31.so,pthread_attr_setschedparam
0.19,0.38,python,_Py_hashtable_get_entry_generic
0.18,0.18,python,siphash13
0.17,0.17,python,_PyUnicode_FromUCS1.part.0
0.16,0.39,python,dict_traverse
0.14,0.3,python,list_dealloc
0.13,0.14,python,intern_string_constants
0.12,0.56,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.12,0.34,python,type_ready
0.12,0.29,python,code_dealloc
0.12,0.12,python,PyObject_IS_GC
0.12,0.12,python,_PyIO_find_line_ending
0.12,0.12,[kernel.kallsyms],native_irq_return_iret
0.12,0.12,python,_Py_NewReference
0.11,0.5,python,free_keys_object
0.11,0.47,python,insertdict
0.11,0.14,[kernel.kallsyms],copy_user_enhanced_fast_string
0.1,0.16,python,_PyLong_Subtract
