self,children,object,symbol
40.03,85.44,python,_PyEval_EvalFrameDefault
5.3,6.49,python,PyNumber_AsSsize_t
4.01,4.05,python,_PyObject_Free
3.79,3.99,python,_PyObject_Malloc
3.43,13.91,array.cpython-313-x86_64-linux-gnu.so,array_subscr
3.21,3.61,python,PyFloat_FromDouble
2.4,2.4,python,PyType_GetModuleByDef
2.27,3.73,python,vgetargs1_impl
2.2,14.55,python,PyObject_GetItem
1.77,1.77,python,convertitem.constprop.0
1.66,1.66,python,PyLong_AsSsize_t
1.64,3.01,python,_PyLong_Add
1.46,1.46,python,float_dealloc
1.21,7.75,array.cpython-313-x86_64-linux-gnu.so,array_ass_subscr
1.21,2.58,python,PyLong_FromLong
1.05,1.05,python,_Py_NewReference
0.98,1.55,python,_PyFrame_ClearExceptCode
0.75,4.59,array.cpython-313-x86_64-linux-gnu.so,d_setitem
0.73,0.73,python,long_dealloc
0.72,0.72,python,PyIndex_Check
0.72,0.72,python,_PyFloat_ExactDealloc
0.71,3.91,python,PyArg_Parse
0.71,1.18,python,_PyLong_Multiply
0.69,0.69,python,PyObject_SetItem
0.55,1.1,python,_PyObject_GenericGetAttrWithDict
0.48,0.48,python,PyType_IsSubtype
0.46,0.64,python,tupledealloc
0.45,1.89,python,_PyEval_FrameClearAndPop
0.44,0.45,python,unicodekeys_lookup_unicode
0.41,1.23,python,gc_collect_main
0.38,0.45,python,_PyType_Lookup
0.36,0.36,array.cpython-313-x86_64-linux-gnu.so,d_getitem
0.35,0.57,python,_PyTuple_FromArraySteal
0.34,0.37,libc-2.31.so,__nss_database_lookup
0.34,0.34,python,_PyLong_Frexp
0.32,0.32,array.cpython-313-x86_64-linux-gnu.so,0x00000000000047e4
0.31,0.31,array.cpython-313-x86_64-linux-gnu.so,0x0000000000004644
0.3,0.36,python,float_richcompare
0.28,0.29,python,_PyLong_Subtract
0.26,0.26,python,PyObject_Malloc
0.24,1.36,python,object_isinstance
0.24,0.24,python,PyFloat_AsDouble
0.23,0.26,python,tuple_alloc
0.23,0.24,python,visit_decref
0.22,0.22,python,PyObject_Free
0.21,0.21,array.cpython-313-x86_64-linux-gnu.so,0x00000000000049c4
0.19,1.12,python,PyObject_GetOptionalAttr
0.19,0.19,python,_PyThreadState_PopFrame
0.18,0.55,python,_Py_dict_lookup
0.17,0.26,python,compute_range_length
0.17,0.18,python,visit_reachable
0.15,0.26,python,range_iter
0.15,0.24,python,getset_get
0.15,0.17,python,PyObject_IsInstance
0.14,0.95,python,r_object
0.14,0.56,python,PyObject_RichCompare
0.13,0.15,python,initialize_locals
0.12,0.12,array.cpython-313-x86_64-linux-gnu.so,0x0000000000004850
0.11,0.37,python,update_one_slot
0.11,0.12,python,PyObject_IsTrue
0.11,0.11,array.cpython-313-x86_64-linux-gnu.so,0x00000000000049c0
0.1,0.21,python,long_rshift
0.1,0.16,libc-2.31.so,pthread_attr_setschedparam
0.1,0.12,python,_PyCode_Quicken
0.1,0.1,python,_PyTrash_end
0.1,0.1,python,_PyType_GetDict
0.09,0.35,python,find_name_in_mro
0.09,0.09,python,PyObject_GC_UnTrack
0.09,0.09,array.cpython-313-x86_64-linux-gnu.so,0x0000000000004854
0.08,0.22,python,long_lshift
0.08,0.16,python,_Py_hashtable_get_entry_generic
0.08,0.15,python,long_lshift1
0.08,0.08,python,siphash13
0.08,0.08,python,PyLong_AsLong
0.08,0.08,python,_PyTrash_begin
0.07,0.52,python,float_add
0.07,0.23,python,_PyEvalFramePushAndInit
0.07,0.19,python,type_ready
0.07,0.12,python,long_rshift1
0.07,0.07,python,PyLong_AsLongAndOverflow
0.07,0.07,python,_Py_Dealloc
0.07,0.07,[kernel.kallsyms],smp_call_function_single
0.07,0.07,python,_PyUnicode_FromUCS1.part.0
0.07,0.07,python,float_vectorcall
0.07,0.07,array.cpython-313-x86_64-linux-gnu.so,0x0000000000004614
0.07,0.07,python,PyBool_FromLong
0.06,2.11,python,slot_mp_ass_subscript
0.06,0.58,python,binary_op1
0.06,0.38,python,range_vectorcall
0.06,0.17,python,dict_traverse
0.06,0.12,python,code_dealloc
0.06,0.06,libmagic.so.1.0.0,0x000000000000f936
0.05,0.26,python,_PyDict_GetItem_KnownHash
0.05,0.18,python,insertdict
0.05,0.11,ld-2.31.so,_dl_rtld_di_serinfo
0.05,0.06,python,intern_string_constants
0.05,0.05,[kernel.kallsyms],native_irq_return_iret
0.05,0.05,python,PyDescr_IsData
0.05,0.05,python,object_get_class
0.05,0.05,python,PyNumber_Index
