self,children,object,symbol
26.43,83.07,python,_PyEval_EvalFrameDefault
3.43,3.55,python,unicodekeys_lookup_unicode
2.89,3.6,python,_PyObject_Malloc
2.55,3.47,python,_PyType_Lookup
2.42,2.62,python,_PyObject_Free
2.04,3.06,python,tupledealloc
2.02,5.1,python,_Py_dict_lookup
1.96,5.35,python,gc_collect_main
1.73,1.82,libc-2.31.so,__nss_database_lookup
1.6,3.42,python,_PyFrame_ClearExceptCode
1.41,4.0,python,initialize_locals
1.18,3.24,python,PyObject_RichCompareBool
0.95,0.98,python,visit_decref
0.91,3.38,python,_PyObject_GenericGetAttrWithDict
0.91,0.91,python,PyType_IsSubtype
0.72,0.81,python,tuple_alloc
0.67,2.13,python,_Py_type_getattro
0.66,10.09,python,PyObject_GetAttr
0.66,0.68,python,visit_reachable
0.64,2.11,python,insertdict
0.63,0.64,python,PyObject_GC_UnTrack
0.62,1.63,python,PyDict_GetItemRef
0.59,1.98,python,_PyObject_GC_New
0.58,7.22,python,PyObject_GenericGetAttr
0.58,5.01,python,_PyEvalFramePushAndInit
0.56,0.56,python,_PyTrash_end
0.56,0.56,python,PyObject_GC_Del
0.51,0.52,python,setiter_iternext
0.48,3.86,python,_PyEval_FrameClearAndPop
0.48,0.49,python,_Py_NewReference
0.47,3.16,python,r_object
0.44,0.85,python,list_dealloc
0.43,0.54,python,_PyPegen_is_memoized
0.41,0.41,python,_PyTrash_begin
0.39,1.1,python,dict_dealloc
0.39,0.51,python,_PyCode_Quicken
0.39,0.41,python,dictiter_iternextitem
0.38,1.72,python,find_name_in_mro
0.38,1.19,python,free_keys_object
0.36,0.62,python,_PyTuple_FromArraySteal
0.34,11.05,python,PyObject_CallOneArg
0.34,9.92,python,slot_tp_richcompare
0.34,0.55,python,PyTuple_New
0.34,0.39,python,PyUnicode_RichCompare
0.32,1.75,python,_PyDict_GetItem_KnownHash
0.32,0.6,python,_PyTuple_FromArray
0.32,0.59,libc-2.31.so,pthread_attr_setschedparam
0.31,0.31,python,siphash13
0.3,0.3,python,_Py_Dealloc
0.29,27.84,python,_PyObject_MakeTpCall
0.28,3.25,python,PyObject_GetOptionalAttr
0.28,0.28,python,_PyObject_GC_Link
0.27,1.83,python,_PyEval_Vector
0.27,0.75,python,PyCMethod_New
0.25,1.04,python,update_one_slot
0.25,0.56,python,code_dealloc
0.24,0.27,python,PyDict_SetItem
0.24,0.25,python,PyObject_IS_GC
0.23,0.23,python,PyObject_Hash
0.22,0.87,python,meth_dealloc
0.22,0.73,python,PyFunction_NewWithQualName
0.22,0.22,python,_PyType_GetDict
0.21,0.59,python,dict_traverse
