self,children,object,symbol
14.27,80.59,python,_PyEval_EvalFrameDefault
4.76,4.76,python,PyType_GetModuleByDef
4.69,4.76,python,_PyObject_Free
4.2,4.57,python,_PyObject_Malloc
1.95,9.28,_decimal.cpython-313-x86_64-linux-gnu.so,nm_mpd_qadd
1.91,1.95,libc-2.31.so,__nss_database_lookup
1.88,1.88,python,PyContextVar_Get
1.79,3.04,_decimal.cpython-313-x86_64-linux-gnu.so,_mpd_qaddsub
1.73,2.35,python,tupledealloc
1.71,4.81,python,_PyObject_GC_New
1.66,1.66,python,PyObject_GC_Del
1.48,1.48,_decimal.cpython-313-x86_64-linux-gnu.so,mpd_setdigits
1.44,1.81,_decimal.cpython-313-x86_64-linux-gnu.so,_mpd_qmul
1.35,1.35,_decimal.cpython-313-x86_64-linux-gnu.so,_mpd_check_exp
1.26,7.66,_decimal.cpython-313-x86_64-linux-gnu.so,nm_mpd_qmul
1.26,1.66,python,_PyArg_UnpackKeywordsWithVararg
1.17,1.18,python,unicodekeys_lookup_unicode
1.14,4.28,python,PyObject_GenericGetAttr
1.07,1.07,python,vgetargskeywords.constprop.0
1.05,1.05,_decimal.cpython-313-x86_64-linux-gnu.so,_mpd_baseshiftr
1.0,2.93,python,gc_collect_main
0.99,1.18,python,_PyType_Lookup
0.92,0.92,python,convertitem.constprop.0
0.87,4.45,_decimal.cpython-313-x86_64-linux-gnu.so,PyDecType_New
0.84,2.56,_decimal.cpython-313-x86_64-linux-gnu.so,mpd_qquantize
0.83,2.23,_decimal.cpython-313-x86_64-linux-gnu.so,dec_addstatus
0.83,0.83,python,PyObject_GC_UnTrack
0.78,5.62,_decimal.cpython-313-x86_64-linux-gnu.so,dec_mpd_qquantize
0.76,4.62,_decimal.cpython-313-x86_64-linux-gnu.so,dec_dealloc
0.74,0.74,python,PyUnicode_AsUCS4
0.71,0.72,python,_Py_NewReference
0.7,1.19,python,vgetargs1_impl
0.69,1.79,python,PyCMethod_New
0.68,1.79,_decimal.cpython-313-x86_64-linux-gnu.so,mpd_qshiftr
0.66,2.24,python,meth_dealloc
0.62,1.13,python,_PyTuple_FromArray
0.58,0.59,python,visit_decref
0.57,1.51,python,_Py_dict_lookup
0.55,0.55,_decimal.cpython-313-x86_64-linux-gnu.so,mpd_qfinalize.part.0
0.53,0.53,python,_PyObject_GC_Link
0.53,0.53,python,_PyTrash_end
0.52,0.52,_decimal.cpython-313-x86_64-linux-gnu.so,_mpd_baseadd
0.5,0.59,python,tuple_alloc
0.47,0.86,python,PyDict_GetItemRef
0.46,0.73,python,PyTuple_New
0.45,3.43,python,PyObject_GetAttr
0.43,0.43,python,PyType_IsSubtype
0.42,4.09,_decimal.cpython-313-x86_64-linux-gnu.so,ctx_mpd_qquantize
0.42,2.6,_decimal.cpython-313-x86_64-linux-gnu.so,dec_str
0.42,0.42,_decimal.cpython-313-x86_64-linux-gnu.so,0x0000000000007b64
0.4,27.91,python,PyObject_Vectorcall
0.39,7.42,python,PyNumber_InPlaceAdd
0.38,1.08,python,write_str
0.38,0.39,python,visit_reachable
0.37,9.17,python,PyFile_WriteObject
0.37,0.37,python,_PyTrash_begin
0.35,0.35,_decimal.cpython-313-x86_64-linux-gnu.so,mpd_del
0.34,0.34,python,PyObject_Malloc
0.33,2.07,python,cfunction_vectorcall_O
0.32,7.05,python,binary_op1
0.32,0.76,_decimal.cpython-313-x86_64-linux-gnu.so,_mpd_to_string
0.31,11.72,python,_PyObject_MakeTpCall
0.31,7.85,python,PyNumber_Multiply
0.31,2.59,python,PyNumber_Add
0.31,0.31,python,_Py_Dealloc
0.28,1.23,_decimal.cpython-313-x86_64-linux-gnu.so,PyDecType_FromLongExact
0.28,0.7,python,PyObject_RichCompare
0.27,2.28,python,PyObject_CallOneArg
0.26,6.94,python,method_vectorcall_VARARGS_KEYWORDS
0.26,2.07,_decimal.cpython-313-x86_64-linux-gnu.so,mpd_qmul
0.26,0.8,python,PyUnicode_CompareWithASCIIString
0.25,2.93,_decimal.cpython-313-x86_64-linux-gnu.so,mpd_qadd
0.25,0.25,python,PyLong_AsSsize_t
0.23,11.64,python,builtin_print
0.23,2.5,python,_PyObject_GetMethod
0.23,0.52,_decimal.cpython-313-x86_64-linux-gnu.so,current_context
0.22,2.09,_struct.cpython-313-x86_64-linux-gnu.so,unpack
0.22,1.33,python,PyArg_ParseTuple
0.22,0.22,python,method_get
0.21,1.54,python,r_object
0.21,1.17,python,_io_BytesIO_read
0.21,1.16,python,_io_StringIO_write
0.21,0.77,python,update_one_slot
0.21,0.5,python,_PyFrame_ClearExceptCode
0.21,0.29,libc-2.31.so,pthread_attr_setschedparam
0.21,0.21,python,long_and
0.2,3.1,python,PyObject_Str
0.2,0.78,python,find_name_in_mro
0.2,0.33,python,unicode_decode_utf8
0.2,0.2,python,unicode_dealloc
0.2,0.2,_struct.cpython-313-x86_64-linux-gnu.so,bu_ulonglong
0.2,0.2,_decimal.cpython-313-x86_64-linux-gnu.so,0x0000000000007b60
0.19,0.19,python,PyObject_Free
0.19,0.19,python,_PyTrash_cond
0.18,1.29,_decimal.cpython-313-x86_64-linux-gnu.so,mpd_qfinalize (inlined)
0.18,0.18,python,_PyType_GetDict
0.17,0.78,python,PyBytes_FromStringAndSize
0.16,1.7,python,PyArg_ParseTupleAndKeywords
0.16,0.55,python,PyUnicode_New
0.16,0.22,_decimal.cpython-313-x86_64-linux-gnu.so,_mpd_get_rnd
0.16,0.16,_struct.cpython-313-x86_64-linux-gnu.so,s_unpack_internal.isra.0
0.16,0.16,python,PyLong_FromSsize_t
0.15,0.41,python,_Py_convert_optional_to_ssize_t
0.15,0.36,python,PyNumber_And
0.15,0.23,python,PyErr_CheckSignals
0.15,0.15,python,resize_buffer.isra.0
0.15,0.15,python,PyDescr_IsData
