self,children,object,symbol
46.84,90.29,python,_PyEval_EvalFrameDefault
4.15,4.15,python,set_lookkey
3.73,4.11,python,_PyObject_Free
3.19,3.74,python,_PyObject_Malloc
2.67,4.25,python,_PyLong_Add
2.62,3.37,python,_PyUnicode_Equal
2.53,2.72,python,unicodekeys_lookup_unicode
2.21,2.66,libc-2.31.so,__nss_database_lookup
2.07,2.07,python,PySequence_Contains
1.62,5.0,python,set_contains
1.39,2.45,python,_PyFrame_ClearExceptCode
1.35,3.56,python,_Py_dict_lookup
1.23,2.7,python,PyDict_GetItemRef
0.92,1.26,python,tupledealloc
0.77,2.94,python,_PyIncrementalNewlineDecoder_decode
0.76,0.76,python,long_dealloc
0.73,0.74,python,replace
0.63,0.63,python,_Py_NewReference
0.61,0.61,python,_PyUnicode_FromUCS4.part.0
0.6,0.73,python,PyNumber_AsSsize_t
0.54,1.01,python,_PyTuple_FromArraySteal
0.54,0.6,python,tuple_alloc
0.5,0.86,python,sre_ucs4_match
0.49,3.18,python,_PyEval_FrameClearAndPop
0.41,0.8,python,_PyObject_GenericGetAttrWithDict
0.38,0.38,python,siphash13
0.37,0.66,python,PyObject_GenericGetAttr
0.36,0.78,python,tuplesubscript
0.34,0.81,python,unicode_decode_utf8
0.34,0.57,python,initialize_locals
0.32,0.4,python,_PyBuildSlice_ConsumeRefs
0.31,0.31,python,PyType_IsSubtype
0.3,0.31,python,_PyType_Lookup
0.28,0.28,python,PySlice_AdjustIndices
0.28,0.28,python,memcmp@plt
0.26,2.05,python,PyDict_Contains
0.25,0.39,python,vgetargs1_impl
0.25,0.25,python,PyObject_Malloc
0.24,3.16,python,PyObject_GetItem
0.24,0.87,python,PyObject_GetAttr
0.24,0.75,python,_PyObject_GC_New
0.24,0.24,[kernel.kallsyms],clear_page_erms
0.23,0.23,[kernel.kallsyms],native_irq_return_iret
0.23,0.23,python,PyObject_GC_UnTrack
0.23,0.23,python,PyObject_Free
0.22,0.27,python,list_subscript
0.22,0.22,python,_PyTrash_end
0.21,0.68,python,_PyEval_SliceIndex
