self,children,object,symbol
26.62,83.85,python,_PyEval_EvalFrameDefault
3.6,4.52,libc-2.31.so,__nss_database_lookup
2.72,3.98,python,_PyObject_Malloc
2.55,7.06,python,gc_collect_main
2.37,2.45,python,unicodekeys_lookup_unicode
1.98,2.49,python,_PyObject_Free
1.57,3.12,python,_PyFrame_ClearExceptCode
1.33,1.38,python,visit_decref
1.24,1.72,python,_PyType_Lookup
1.18,3.18,python,_Py_dict_lookup
1.17,2.22,python,tupledealloc
1.08,1.1,python,visit_reachable
0.88,1.25,python,initialize_locals
0.8,1.29,libc-2.31.so,pthread_attr_setschedparam
0.68,0.76,[kernel.kallsyms],copy_user_enhanced_fast_string
0.58,3.6,python,r_object
0.52,0.52,python,PyObject_GC_UnTrack
0.47,1.69,python,update_one_slot
0.46,1.72,python,find_name_in_mro
0.46,0.5,python,tuple_alloc
0.45,1.16,python,_PyObject_GetMethod
0.44,3.49,python,_PyEval_FrameClearAndPop
0.42,0.66,python,sre_ucs1_match
0.41,1.08,python,PyDict_GetItemRef
0.41,0.42,[kernel.kallsyms],clear_page_erms
0.4,0.4,python,PyObject_GC_Del
0.39,1.91,python,PyObject_GenericGetAttr
0.37,1.75,python,_PyEvalFramePushAndInit
0.37,0.37,python,siphash13
0.34,28.42,python,PyObject_Vectorcall
0.34,0.45,python,_PyCode_Quicken
0.32,2.07,python,subtype_dealloc
0.32,1.16,python,insertdict
0.32,0.87,python,dict_traverse
0.32,0.32,python,PyType_IsSubtype
0.31,3.57,python,PyObject_GetAttr
0.31,0.31,python,_Py_Dealloc
0.3,1.4,python,_PyDict_GetItem_KnownHash
0.29,0.3,python,_Py_NewReference
0.29,0.29,[kernel.kallsyms],native_irq_return_iret
0.28,34.63,python,_PyObject_MakeTpCall
0.28,1.08,python,_PyObject_GC_New
0.27,0.82,python,list_dealloc
0.27,0.58,python,_Py_hashtable_get_entry_generic
0.27,0.27,python,_PyTrash_end
0.27,0.27,python,_PyUnicode_FromUCS1.part.0
0.26,0.5,python,_PyTuple_FromArray
0.24,1.06,python,free_keys_object
0.24,0.78,python,dict_dealloc
0.24,0.75,python,PyType_GenericAlloc
0.23,1.42,python,_PyEval_Vector
0.23,0.58,python,_Py_type_getattro
0.23,0.53,python,code_dealloc
0.22,0.93,python,_PyObject_GenericGetAttrWithDict
0.22,0.23,python,PyObject_IS_GC
0.22,0.22,python,_PyTrash_begin
0.22,0.22,[kernel.kallsyms],sync_regs
0.21,0.23,python,intern_string_constants
0.21,0.22,[kernel.kallsyms],_raw_spin_lock
0.21,0.21,python,PyUnicode_New.part.0
0.2,0.2,libc-2.31.so,malloc
0.19,0.72,python,PyObject_RichCompareBool
0.19,0.19,python,_PyType_GetDict
0.18,0.75,python,PyObject_IsTrue
0.18,0.35,ld-2.31.so,_dl_rtld_di_serinfo
0.18,0.34,python,_PyObject_Realloc
0.18,0.19,python,sre_ucs1_count
0.17,0.48,python,type_ready
0.17,0.47,python,tupletraverse
0.17,0.38,python,_PyTuple_FromArraySteal
0.17,0.2,python,set_lookkey
0.17,0.17,python,unicode_dealloc
0.17,0.17,python,_PyFunction_Vectorcall
0.17,0.17,python,_PyObject_GC_Link
0.16,1.01,python,_PyObject_FreeInstanceAttributes
0.16,0.34,python,PyObject_VisitManagedDict
0.16,0.27,[kernel.kallsyms],zap_pte_range.isra.0
0.15,0.52,python,subtype_traverse
0.15,0.22,python,_PyObject_Calloc
0.15,0.16,python,_PyThreadState_PopFrame
0.15,0.15,python,_PyErr_SetObject.part.0
0.14,15.55,python,type_call
0.14,1.31,python,_PyUnicode_InternInPlace
0.14,0.52,python,_PyObject_GC_NewVar
0.14,0.28,python,vgetargs1_impl
0.14,0.26,python,frame_dealloc
0.14,0.15,python,_PyPegen_is_memoized
0.13,0.38,python,PyUnicode_FromFormatV
0.13,0.32,python,_PyDict_FromItems
0.13,0.14,python,PyType_GetModuleByDef
0.13,0.13,[kernel.kallsyms],rmqueue
0.13,0.13,python,_Py_CheckFunctionResult
0.13,0.13,python,_PyIO_find_line_ending
0.13,0.13,python,_Py_GetBaseOpcode
0.12,78.79,python,PyObject_Call
0.12,33.83,python,method_vectorcall
0.12,4.06,python,list_extend
0.12,1.13,python,func_dealloc
0.12,0.92,python,_PyCode_New
0.12,0.42,python,PyFunction_NewWithQualName
0.12,0.27,python,split
0.12,0.12,[kernel.kallsyms],__d_lookup_rcu
0.11,1.38,[kernel.kallsyms],__handle_mm_fault
0.11,0.71,python,_PyObject_GenericSetAttrWithDict
0.11,0.54,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.11,0.35,python,_PyList_FromArraySteal
0.11,0.3,python,method_dealloc
0.11,0.26,python,PyTuple_New
0.11,0.13,python,ascii_decode
0.11,0.11,libpthread-2.31.so,__pthread_mutex_lock
0.11,0.11,python,convertitem.constprop.0
0.11,0.11,libpthread-2.31.so,pthread_mutex_unlock
0.11,0.11,python,PyObject_Malloc
0.1,0.79,python,PyDict_SetDefault
0.1,0.53,python,func_traverse
0.1,0.38,python,PyNumber_AsSsize_t
0.1,0.33,python,meth_dealloc
0.1,0.31,python,PyList_New
0.1,0.27,python,PyTraceBack_Here
0.1,0.24,python,insert_to_emptydict
0.1,0.11,python,PyContext_CopyCurrent
0.1,0.1,python,PySlice_AdjustIndices
0.1,0.1,[kernel.kallsyms],__fget_light
0.1,0.1,python,PyErr_Occurred
0.1,0.1,python,find_empty_slot
0.1,0.1,python,PyObject_Free
0.1,0.1,python,_PyUnicode_FromUCS4.part.0
0.09,2.24,python,bounded_lru_cache_wrapper
0.09,1.98,[kernel.kallsyms],__tcp_transmit_skb
0.09,1.1,python,PyObject_GetOptionalAttr
0.09,0.39,python,tb_dealloc
0.09,0.33,python,PyUnicode_Format
0.09,0.19,python,_PyObject_GetInstanceAttribute
0.09,0.18,python,_PyTuple_MaybeUntrack
0.09,0.1,[kernel.kallsyms],free_pcppages_bulk
0.09,0.09,libc-2.31.so,free
0.09,0.09,python,PyObject_Hash
0.09,0.09,python,vgetargskeywords.constprop.0
0.09,0.09,[kernel.kallsyms],memset_erms
0.09,0.09,[vdso],__vdso_clock_gettime
0.08,50.36,python,context_run
0.08,10.52,python,_PyObject_Call_Prepend
0.08,3.53,python,PyObject_VectorcallMethod
0.08,1.54,python,PyObject_GetItem
0.08,1.42,python,PyObject_IsInstance
0.08,0.55,python,func_clear
0.08,0.34,python,unicode_decode_utf8
0.08,0.26,python,PyCMethod_New
0.08,0.25,python,PyMethod_New
0.08,0.22,python,_PyPegen_expect_token
0.08,0.2,python,dict_merge
0.08,0.2,python,PyList_Append
0.08,0.17,python,type_traverse
0.08,0.11,python,getset_get
0.08,0.11,python,_PyThreadState_PushFrame
0.08,0.08,[kernel.kallsyms],copy_pte_range.isra.0
0.08,0.08,python,build_indices_unicode
0.08,0.08,[kernel.kallsyms],syscall_return_via_sysret
0.08,0.08,python,long_dealloc
0.08,0.08,[kernel.kallsyms],smp_call_function_single
0.08,0.08,python,_PyUnicode_JoinArray.part.0
0.07,8.34,python,slot_tp_init
0.07,2.56,python,PyObject_CallOneArg
0.07,2.52,python,method_vectorcall_FASTCALL_KEYWORDS_METHOD
