self,children,object,symbol
29.75,82.95,python,_PyEval_EvalFrameDefault
2.99,3.48,python,_PyObject_Malloc
2.96,5.53,python,_Py_dict_lookup
2.79,2.89,python,_PyObject_Free
2.45,3.38,python,tupledealloc
2.29,2.32,python,unicodekeys_lookup_unicode
2.11,2.39,python,_PyType_Lookup
1.81,23.37,python,_PyObject_MakeTpCall
1.55,2.48,python,_PyFrame_ClearExceptCode
1.52,3.36,python,_Py_type_getattro
1.52,2.87,python,_PyTuple_FromArray
1.51,2.47,python,PyObject_RichCompareBool
1.38,1.61,python,tuple_alloc
1.21,3.35,python,gc_collect_main
1.12,1.46,python,tuplehash
1.08,1.14,libc-2.31.so,__nss_database_lookup
1.07,5.94,python,bounded_lru_cache_wrapper
0.91,2.86,python,_PyObject_GC_New
0.83,10.94,python,PyObject_Vectorcall
0.82,0.82,python,_PyTrash_end
0.8,3.14,python,_PyEval_FrameClearAndPop
0.74,1.96,python,PyObject_GenericGetAttr
0.72,0.72,python,PyObject_GC_Del
0.71,1.16,python,frame_dealloc
0.7,1.19,python,set_lookkey
0.64,3.63,python,_PyDict_GetItem_KnownHash
0.63,0.63,python,PyObject_Hash
0.63,0.63,python,PyObject_GC_UnTrack
0.6,0.76,python,getset_get
0.6,0.6,python,_PyTrash_begin
0.59,0.59,python,_Py_NewReference
0.58,0.61,python,visit_decref
0.56,1.37,python,wrap_descr_get
0.53,4.34,python,PyObject_GetAttr
0.5,0.98,python,PyDict_GetItemRef
0.48,1.47,python,do_super_lookup
0.47,0.48,python,visit_reachable
0.47,0.47,python,PySequence_Contains
0.46,1.23,python,PyTraceBack_Here
0.46,0.46,python,PyArg_UnpackTuple
0.43,0.5,python,initialize_locals
0.43,0.43,python,lru_cache_make_key
0.41,0.47,python,tuplerichcompare
0.39,0.39,python,PyType_IsSubtype
0.35,0.43,python,weakref_richcompare
0.35,0.35,python,_PyObject_GC_Link
0.34,0.8,python,_Py_type_getattro_impl
0.32,2.79,python,_abc__abc_instancecheck
0.31,2.16,python,r_object
0.3,0.47,python,dict_dealloc
0.29,0.61,python,AttributeError_init
0.29,0.29,python,setiter_iternext
0.29,0.29,python,_Py_Dealloc
0.28,1.04,python,find_name_in_mro
0.28,0.28,python,object_richcompare
0.27,1.67,python,_PySuper_Lookup
0.27,0.27,python,wrapper_call
0.26,0.98,python,update_one_slot
0.26,0.71,python,PyMethod_New
0.25,1.0,python,PyDictProxy_New
0.25,0.86,python,_PyObject_GC_NewVar
0.25,0.36,libc-2.31.so,pthread_attr_setschedparam
0.25,0.35,python,method_dealloc
0.25,0.25,python,_PyTrash_cond
0.23,0.86,python,_PyEvalFramePushAndInit
0.23,0.25,python,_PyThreadState_PopFrame
0.22,1.55,python,tb_dealloc
0.22,0.23,python,PyWeakref_NewRef
0.21,1.22,python,PyObject_GetOptionalAttr
0.21,0.27,python,_PyCode_Quicken
0.21,0.21,python,PyObject_Malloc
0.21,0.21,python,vgetargskeywords.constprop.0
0.2,0.83,python,_PyEval_Vector
0.19,0.63,python,PyType_GenericAlloc
0.19,0.29,python,PyTuple_GetSlice
0.19,0.19,python,_PyType_GetDict
0.18,68.28,python,method_vectorcall
0.18,63.8,python,PyObject_IsInstance
0.18,0.3,python,_PyDict_FromItems
0.18,0.18,python,siphash13
0.18,0.18,python,PyThreadState_GetUnchecked
0.17,1.36,python,PyObject_GetIter
0.17,0.17,python,PyMapping_Check
0.16,1.22,python,infinite_lru_cache_wrapper
0.15,1.74,python,AttributeError_dealloc
0.15,1.1,python,_PyObject_GetMethod
0.15,1.0,python,PyDict_Contains
0.15,0.15,python,PyObject_GC_Track
0.14,1.05,python,builtin_getattr
0.14,0.41,python,dict_traverse
0.14,0.31,python,_Py_hashtable_get_entry_generic
0.14,0.15,python,intern_string_constants
0.14,0.14,python,_PyErr_SetObject.part.0
0.14,0.14,python,PyDescr_IsData
0.14,0.14,python,mappingproxy_dealloc
0.14,0.14,python,type_get_mro
0.14,0.14,python,_PyUnicode_FromUCS1.part.0
0.13,0.51,python,insertdict
0.13,0.26,python,list_dealloc
0.13,0.13,python,_PyIO_find_line_ending
0.12,0.39,python,type_ready
0.12,0.32,python,dict_get
0.12,0.28,python,code_dealloc
0.12,0.12,python,_Py_CheckFunctionResult
0.11,1.34,python,wrapperdescr_call
0.11,0.47,python,free_keys_object
0.11,0.22,python,_PyObject_LookupSpecial
0.11,0.12,python,PyObject_RichCompare
0.11,0.11,[kernel.kallsyms],native_irq_return_iret
0.1,0.92,python,tuplecontains
0.1,0.73,python,tuple_iter
0.1,0.31,python,set_iter
0.1,0.1,python,PyObject_Free
0.09,63.01,python,PyObject_CallOneArg
0.09,6.67,python,type_call
0.09,0.88,python,_PyFrame_MakeAndSetFrameObject
0.09,0.48,libpython3.11.so.1.0,_PyEval_EvalFrameDefault
0.09,0.34,python,_PyObject_GenericGetAttrWithDict
0.09,0.2,ld-2.31.so,_dl_rtld_di_serinfo
0.09,0.13,[kernel.kallsyms],copy_user_enhanced_fast_string
0.09,0.11,python,_PyThreadState_PushFrame
0.09,0.1,python,PyObject_IS_GC
0.09,0.09,python,_PyUnicode_FromUCS4.part.0
0.09,0.09,python,PyErr_GetRaisedException
0.09,0.09,python,PyUnicode_New.part.0
0.08,1.21,python,PySet_Contains
0.08,0.59,python,_PyCode_New
0.08,0.22,python,tupletraverse
0.08,0.14,python,_PyObject_RealIsSubclass
0.08,0.08,[kernel.kallsyms],__d_lookup_rcu
0.08,0.08,python,tupleiter_dealloc
0.08,0.08,python,subtype_dict
0.07,0.16,python,PyTuple_New
0.07,0.15,python,sre_ucs1_match
0.07,0.09,python,vgetargs1_impl
0.07,0.07,python,PyException_SetTraceback
0.07,0.07,libmagic.so.1.0.0,0x000000000000f936
0.07,0.07,python,PyErr_GivenExceptionMatches
0.07,0.07,python,_Py_GetBaseOpcode
0.07,0.07,python,_Py_HashPointer
0.07,0.07,[kernel.kallsyms],smp_call_function_single
0.07,0.07,[kernel.kallsyms],rmqueue
0.07,0.07,python,_PyFunction_Vectorcall
0.07,0.07,python,setiter_dealloc
0.06,0.76,python,_PyUnicode_InternInPlace
0.06,0.54,python,BaseException_new
0.06,0.47,python,PyDict_SetDefault
0.06,0.28,python,func_traverse
0.06,0.14,python,PyFunction_NewWithQualName
0.06,0.13,[kernel.kallsyms],zap_pte_range.isra.0
0.06,0.06,python,_PyErr_Restore
0.06,0.06,python,PyObject_GenericGetDict
0.06,0.06,python,unicode_dealloc
0.06,0.06,python,PyException_GetTraceback
0.06,0.06,[kernel.kallsyms],sync_regs
0.05,0.35,python,subtype_dealloc
0.05,0.33,python,PyArg_ParseTupleAndKeywords
0.05,0.15,python,subtype_traverse
0.05,0.11,python,PyList_Append
0.05,0.08,python,PyObject_IsTrue
0.05,0.07,python,set_traverse
0.05,0.06,python,_PyPegen_is_memoized
0.05,0.05,python,type_is_gc
0.05,0.05,[kernel.kallsyms],clear_page_erms
0.05,0.05,python,PyErr_SetRaisedException
0.05,0.05,python,object_get_class
0.05,0.05,python,build_indices_unicode
0.05,0.05,python,mappingproxy_contains
0.05,0.05,python,find_empty_slot
0.05,0.05,python,type_dict
0.04,1.5,python,type_new
0.04,0.72,python,_PyFrame_New_NoTrack
0.04,0.46,[kernel.kallsyms],__handle_mm_fault
0.04,0.18,python,unicode_decode_utf8
0.04,0.18,ld-2.31.so,_dl_catch_error
0.04,0.13,python,PyObject_IsSubclass
0.04,0.09,python,_PyTuple_FromArraySteal
0.04,0.09,python,_PyObject_Realloc
0.04,0.09,python,list_traverse
0.04,0.08,python,_PyTuple_MaybeUntrack
0.04,0.08,python,type_traverse
0.04,0.06,python,r_string (inlined)
0.04,0.06,python,ascii_decode
0.04,0.05,python,wrapperdescr_get
0.04,0.05,python,sre_ucs1_count
0.04,0.04,libc-2.31.so,malloc
0.04,0.04,python,memset@plt
0.04,0.04,[kernel.kallsyms],copy_pte_range.isra.0
0.04,0.04,python,_PyUnicode_JoinArray.part.0
0.04,0.04,python,weakref_hash
0.04,0.04,libmagic.so.1.0.0,0x000000000000f932
0.03,2.67,python,list_extend
0.03,0.61,python,PyObject_GetItem
0.03,0.33,python,func_dealloc
0.03,0.22,python3.8,_PyEval_EvalFrameDefault
0.03,0.12,python,allocate_from_new_pool
0.03,0.09,python,PyObject_VisitManagedDict
0.03,0.08,python,_PyDict_LoadGlobal
0.03,0.08,python,split
0.03,0.07,python,PyCMethod_New
0.03,0.06,python,func_clear
0.03,0.05,python,_PyObject_GetInstanceAttribute
0.03,0.05,python,set_dealloc
0.03,0.03,python,_PyEval_CheckExceptTypeValid
0.03,0.03,python,PyErr_Occurred
0.03,0.03,[kernel.kallsyms],_raw_spin_lock
0.03,0.03,python,convertitem.constprop.0
0.03,0.03,[kernel.kallsyms],free_pcppages_bulk
0.03,0.03,python,lru_cache_call
0.03,0.03,python,_PyPegen_update_memo
0.03,0.03,[kernel.kallsyms],copy_page
0.03,0.03,libpthread-2.31.so,__pthread_mutex_lock
0.03,0.03,python,PyDict_Next
0.02,17.1,python,PyObject_Call
0.02,12.36,python,PyImport_ImportModuleLevelObject
0.02,4.05,python,_PyObject_Call_Prepend
0.02,1.38,[kernel.kallsyms],do_syscall_64
0.02,0.86,[kernel.kallsyms],page_fault
0.02,0.51,python,slot_tp_iternext
0.02,0.5,[kernel.kallsyms],handle_mm_fault
0.02,0.36,python,cfunction_vectorcall_NOARGS
0.02,0.26,python,method_vectorcall_VARARGS
0.02,0.2,python,_PyObject_GenericSetAttrWithDict
0.02,0.19,python,_Py_HashBytes
0.02,0.16,python,_PyObject_FreeInstanceAttributes
0.02,0.13,python,new_keys_object
0.02,0.12,[kernel.kallsyms],lookup_fast
0.02,0.1,python,dict_merge
0.02,0.08,python,PyUnicode_FromFormatV
0.02,0.07,[kernel.kallsyms],release_pages
0.02,0.06,python,_PyPegen_expect_token
0.02,0.06,python,object_new
0.02,0.06,python,insert_to_emptydict
0.02,0.06,[kernel.kallsyms],do_wp_page
0.02,0.06,[kernel.kallsyms],mem_cgroup_try_charge
0.02,0.05,python,list_iter
0.02,0.05,python,_PyTuple_ClearFreeList
0.02,0.05,python,PyList_New
0.02,0.05,python,PyDict_GetItemWithError
0.02,0.05,libpython3.11.so.1.0,deduce_unreachable
0.02,0.05,python,_PyLong_New
0.02,0.05,python,_PyList_FromArraySteal
0.02,0.04,python,list_sort_impl
0.02,0.04,python,PyUnicode_Substring
0.02,0.04,python3.8,PyOS_strtoul
0.02,0.04,[kernel.kallsyms],inode_permission
0.02,0.04,python,PyLong_FromLong
0.02,0.04,python,_PyDict_MaybeUntrack
0.02,0.04,[kernel.kallsyms],copy_user_enhanced_fast_string
0.02,0.04,python,_PyObject_Calloc
0.02,0.04,[kernel.kallsyms],kmem_cache_alloc
0.02,0.04,python,build_string
0.02,0.04,python,tok_get_normal_mode
0.02,0.04,python,_PyCfg_OptimizeCodeUnit
0.02,0.04,[kernel.kallsyms],__pagevec_lru_add_fn
0.02,0.03,python,_PyFrame_Traverse
0.02,0.03,python,PyDict_New
