self,children,object,symbol
19.13,84.18,python,_PyEval_EvalFrameDefault
4.02,4.48,python,_PyObject_Malloc
2.95,3.08,python,_PyObject_Free
2.85,7.57,python,gc_collect_main
2.36,2.36,pyexpat.cpython-313-x86_64-linux-gnu.so,normal_updatePosition
2.01,2.01,pyexpat.cpython-313-x86_64-linux-gnu.so,normal_contentTok
2.0,2.12,python,_PyType_Lookup
1.91,2.02,libc-2.31.so,__nss_database_lookup
1.74,1.9,python,visit_decref
1.66,3.55,python,PyObject_GenericGetAttr
1.64,1.66,python,visit_reachable
1.51,8.91,python,_io_TextIOWrapper_write
1.45,2.44,python,_Py_dict_lookup
1.41,1.41,pyexpat.cpython-313-x86_64-linux-gnu.so,sip24_update
1.17,1.17,pyexpat.cpython-313-x86_64-linux-gnu.so,accountingDiffTolerated.part.0
1.13,1.13,pyexpat.cpython-313-x86_64-linux-gnu.so,normal_nameLength
1.01,1.63,_elementtree.cpython-313-x86_64-linux-gnu.so,expat_end_handler
0.99,19.12,pyexpat.cpython-313-x86_64-linux-gnu.so,doContent
0.96,1.1,python,initialize_locals
0.94,0.96,python,unicodekeys_lookup_unicode
0.93,0.93,pyexpat.cpython-313-x86_64-linux-gnu.so,lookup.constprop.0
0.88,1.71,python,tupledealloc
0.87,2.69,_elementtree.cpython-313-x86_64-linux-gnu.so,treebuilder_handle_start
0.84,2.07,python,_PyFrame_ClearExceptCode
0.77,2.49,_elementtree.cpython-313-x86_64-linux-gnu.so,element_gc_traverse
0.76,0.76,python,PyUnicode_Contains
0.68,0.76,_elementtree.cpython-313-x86_64-linux-gnu.so,elementiter_next
0.68,0.68,python,siphash13
0.63,3.96,python,PyObject_GetAttr
0.62,0.62,pyexpat.cpython-313-x86_64-linux-gnu.so,normal_getAtts
0.61,0.61,python,_copy_characters.part.0.constprop.0
0.6,1.23,python,_PyObject_GetMethod
0.59,1.83,python,_PyEvalFramePushAndInit
0.59,0.78,python,ascii_decode
0.59,0.59,python,PyUnicode_New.part.0
0.58,1.75,python,list_dealloc
0.58,0.58,pyexpat.cpython-313-x86_64-linux-gnu.so,sip24_final
0.57,1.33,python,_PyObject_GenericGetAttrWithDict
0.57,0.66,python,getset_get
0.55,0.55,python,PyObject_GC_UnTrack
0.48,3.95,pyexpat.cpython-313-x86_64-linux-gnu.so,storeAtts
0.48,2.11,_elementtree.cpython-313-x86_64-linux-gnu.so,expat_data_handler
0.48,0.49,python,_Py_NewReference
0.47,1.73,python,_PyObject_GC_New
0.47,0.47,python,_PyTrash_end
0.44,2.26,python,unicode_decode_utf8
